stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
complex network	complex networks	complex networks	2	4,72091812914	23,3009445856	773,999238422	2,0	5,0	 
21st century	21st century	21st century	2	7,86819688189	31,6253517632	269,66444622	5,0	32,0	 
network test	test network	test network	2	4,72091812914	23,3009445856	224,607319505	2,0	14,0	 
sprawl urban	urban sprawl	urban sprawl	2	6,29455750551	26,7048713263	305,627422141	4,0	19,0	 
analysis system transportation	transportation system analysis	transportation system analysis	3	5,95713542369	28,0169695754	396,123354443	2,0	7,0	 
path planning	path planning	path planning	2	6,29455750551	31,0679261141	251,253915464	2,0	6,0	 
flagship launch next vehicle	next flagship launch vehicle	next flagship launch vehicle	4	3,9714236158	21,430760799	302,054301498	1,0	4,0	 
analysis network	network analysis	network analysis	2	4,72091812914	21,386777006	253,436953904	3,0	20,0	 
future public transportation	future of public transportation	future of public transportation	4	3,9714236158	18,6779797169	209,781784217	2,0	32,0	 
mode transport	transport modes	transport modes|&|transport mode	2	7,86819688189	33,3810891578	220,965251063	4,0	35,0	 
Urban growth	Urban growth	Urban growth	2	9,44183625827	37,9504221158	256,609822571	5,0	11,0	 
area central urban	urban central area	urban central area	3	5,95713542369	32,1461411986	219,023715932	1,0	6,0	 
choice model route	route choice model	route choice model	3	3,9714236158	18,6779797169	268,561819085	2,0	17,0	 
information transportation	transportation information	transportation information	2	4,72091812914	21,386777006	243,585961085	3,0	14,0	 
development transportation urban	urban transportation development	urban transportation development|&|development of urban transportation	3	5,95713542369	25,6015590168	290,64400879	3,0	21,0	 
prototype system	prototype system	prototype system	2	4,72091812914	26,5732356764	246,121677405	1,0	1,0	 
choice route	route choice	route choice	2	6,29455750551	31,0679261141	244,480724757	3,0	27,0	 
growth impact urban	impacts of urban growth	impacts of urban growth	4	3,9714236158	18,6779797169	342,782017205	2,0	20,0	 
automobile dominance overall passenger transportation urban	overall dominance of automobiles in urban passenger transportation	overall dominance of automobiles in urban passenger transportation	8	3,9714236158	18,6779797169	209,781784217	2,0	32,0	 
emission vehicle	vehicle emissions	vehicle emissions	2	4,72091812914	21,386777006	206,566886912	3,0	25,0	 
cost travel	travel cost	travel cost|&|cost of travel	2	7,86819688189	33,3810891578	299,021612902	4,0	18,0	 
air network transportation	air transportation networks	air transportation networks	3	3,9714236158	18,6779797169	203,665822193	2,0	18,0	 
sustainable system transportation	sustainable transportation system	sustainable transportation system	3	7,94284723159	34,1354120225	212,197844289	3,0	19,0	 
length path	path length	path length	2	6,29455750551	31,0679261141	296,403922857	2,0	8,0	 
time travel	travel time	travel time|&|travel times	2	28,3255087748	94,2175198023	204,286113698	11,0	86,0	 
growth sustainable urban	sustainable urban growth	sustainable urban growth	3	3,9714236158	18,6779797169	342,782017205	2,0	20,0	 
network sensor wireless	wireless sensor network	wireless sensor network|&|wireless sensor networks	3	13,8999826553	55,738195222	668,47844415	4,0	16,0	 
consequence growth urban	consequences of urban growth	consequences of urban growth	4	3,9714236158	18,6779797169	342,782017205	2,0	20,0	 
equilibrium network	network equilibrium	network equilibrium	2	6,29455750551	31,0679261141	239,083465377	3,0	15,0	 
accident future motor vehicle	motor vehicle accidents and the future	motor vehicle accidents and the future	6	3,9714236158	18,6779797169	209,781784217	2,0	32,0	 
capacity network	network capacity	network capacity	2	12,589115011	57,0314053493	288,043415645	3,0	27,0	 
article email individual use	email articles for individual use	email articles for individual use	5	3,9714236158	18,6779797169	220,528791821	2,0	24,0	 
growth process urban	process of urban growth	process of urban growth	4	3,9714236158	18,6779797169	342,782017205	2,0	20,0	 
air transportation	air transportation	air transportation	2	4,72091812914	23,3009445856	327,745052152	4,0	30,0	 
development urban	urban development	urban development	2	12,589115011	50,6005628211	217,005711983	5,0	39,0	 
