stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
location residential	residential location	residential location	2	11,0154756347	41,2674313246	679,789786049	6,0	140,0	 
land plan policy transportation use	land use plans and transportation policies	land use plans and transportation policies	6	7,94284723159	31,1295492267	1005,45087465	4,0	84,0	 
government scenario short-term supply transportation	short-term government transportation supply scenarios	short-term government transportation supply scenarios	5	7,94284723159	31,1295492267	723,107709986	4,0	128,0	 
complex land urban use	complex urban land use	complex urban land use	4	7,94284723159	31,1295492267	456,089919274	4,0	168,0	 
design land optimal plan use	optimal design of land use plans	optimal design of land use plans	6	7,94284723159	31,1295492267	1005,45087465	4,0	84,0	 
affordability housing	housing affordability	housing affordability	2	22,0309512693	67,2641708918	2084,6874185	12,0	174,0	 
feedback large loop number structure	feedback loop structure between a large number	feedback loop structure between a large number	7	7,94284723159	31,1295492267	472,842573796	4,0	168,0	 
\nurban recreational trip	\nurban recreational trips	\nurban recreational trips	3	7,94284723159	31,1295492267	1527,10450066	4,0	44,0	 
Attraction-end choice study	Attraction-end choice studies	Attraction-end choice studies	3	7,94284723159	31,1295492267	1527,10450066	4,0	44,0	 
land planning use	planning of land use	planning of land use|&|land use planning	4	41,6999479659	100,710184258	1595,18186775	18,0	243,0	 
policy public transport	public transport policy	public transport policy	3	7,94284723159	31,1295492267	493,335761668	4,0	65,0	 
recreational trip urban	urban recreational trips	urban recreational trips	3	7,94284723159	31,1295492267	1527,10450066	4,0	44,0	 
integrated land use	integrated land use	integrated land use	3	11,9142708474	41,8635027228	774,137211832	13,0	130,0	 
continuous integrated land optimization use	continuous optimization of integrated land use	continuous optimization of integrated land use	6	7,94284723159	31,1295492267	1005,45087465	4,0	84,0	 
distribution employment household new pattern	new household and employment distribution patterns	new household and employment distribution patterns	6	9,92855903949	36,6964426098	575,5191507	5,0	180,0	 
link traffic variance volume	variance of the traffic volume on each link	variance of the traffic volume on each link	8	7,94284723159	31,1295492267	497,215911217	4,0	157,0	 
innovative land public use	Innovative land use and public	Innovative land use and public	5	7,94284723159	31,1295492267	493,335761668	4,0	65,0	 
environmental quality	environmental quality	environmental quality	2	22,0309512693	67,2641708918	2084,6874185	12,0	174,0	 
interaction land model transportation use	land use and transportation interaction model	land use and transportation interaction model|&|land use transportation interaction model	6	11,9142708474	46,69432384	723,107709986	4,0	128,0	 
analysis integrated model procedure sensitivity	sensitivity analysis procedure for the integrated model	sensitivity analysis procedure for the integrated model	7	7,94284723159	31,1295492267	1005,45087465	4,0	84,0	 
land model use	land use model	land use model|&|land use modeling|&|land use models	3	47,6570833896	120,71054939	798,646421085	21,0	221,0	 
congestion traffic	traffic congestion	traffic congestion	2	9,44183625827	35,3720839925	488,695623655	10,0	225,0	 
algorithm genetic	genetic algorithm	genetic algorithm|&|Genetic algorithm	2	22,0309512693	69,1811142981	496,106010742	11,0	239,0	 
birth rate regional	birth rate or regional	birth rate or regional	4	7,94284723159	31,1295492267	472,842573796	4,0	168,0	 
household new system transportation	transportation system with new household	transportation system with new household	5	7,94284723159	31,1295492267	497,215911217	4,0	157,0	 
cost travel	travel cost	travel cost|&|travel costs	2	12,589115011	45,2221580193	534,019409169	13,0	316,0	 
location-choice period process	location-choice process in the period	location-choice process in the period	5	7,94284723159	31,1295492267	723,107709986	4,0	128,0	 
intense pressure	intense pressure	intense pressure	2	22,0309512693	67,2641708918	2084,6874185	12,0	174,0	 
loss open space	loss of open space	loss of open space	4	27,7999653106	78,4120387786	2084,6874185	12,0	174,0	 
different industry location-choice process	location-choice processes of different industry	location-choice processes of different industry	5	7,94284723159	31,1295492267	723,107709986	4,0	128,0	 
analysis cost exogenous land model procedure sensitivity separate travel use	separate sensitivity analysis procedures for a land use model with exogenous travel costs	separate sensitivity analysis procedures for a land use model with exogenous travel costs	13	7,94284723159	31,1295492267	1005,45087465	4,0	84,0	 
area metropolitan	metropolitan areas	metropolitan areas|&|Metropolitan areas|&|metropolitan area	2	50,3564600441	123,22382295	1387,04395692	22,0	262,0	 
effect growth side sprawl such	side effects of growth such as sprawl	side effects of growth such as sprawl	7	27,7999653106	78,4120387786	2084,6874185	12,0	174,0	 
land-use pattern	land-use patterns	land-use patterns|&|land-use pattern	2	12,589115011	43,54111596	538,917032557	8,0	183,0	 
ability gap planner	gap in the ability of planners	gap in the ability of planners	6	23,8285416948	71,554775771	1795,81707671	10,0	150,0	 
different option policy range	range of different policy options	range of different policy options	5	7,94284723159	31,1295492267	723,107709986	4,0	128,0	 
assignment combine distribution model	combined distribution and assignment model	combined distribution and assignment model	5	15,8856944632	62,2590984533	517,37813003	4,0	157,0	 
index network reliability respect	network reliability index with respect	network reliability index with respect	5	7,94284723159	31,1295492267	497,215911217	4,0	157,0	 
interaction land-use transportation	transportation and land-use interaction	transportation and land-use interaction	4	15,8856944632	73,2702227817	1167,94500825	2,0	20,0	 
network origin set transportation	transportation network with a set of origins	transportation network with a set of origins	7	9,92855903949	36,6964426098	575,5191507	5,0	180,0	 
demand elastic network transportation	transportation network with elastic demand	transportation network with elastic demand	5	7,94284723159	31,1295492267	1005,45087465	4,0	84,0	 
change climate	climate change	climate change|&|Climate change	2	14,1627543874	50,8749277717	806,409962148	7,0	30,0	 
building group model	group model building	group model building	3	7,94284723159	31,1295492267	735,126787784	4,0	48,0	 
different scenario	different scenarios	different scenarios	2	9,44183625827	35,3720839925	629,70277337	6,0	148,0	 
least method overall square	Least square method and overall	Least square method and overall	5	7,94284723159	31,1295492267	472,842573796	4,0	168,0	 
central limit theorem	central limit theorem	central limit theorem	3	7,94284723159	31,1295492267	497,215911217	4,0	157,0	 
development land urban use	urban development for land use	urban development for land use	5	7,94284723159	31,1295492267	884,373746834	4,0	68,0	 
interaction land use-transportation	land use-transportation interactions	land use-transportation interactions	3	7,94284723159	31,1295492267	533,354035149	4,0	22,0	 
complementary land pattern use	land use patterns complementary	land use patterns complementary	4	7,94284723159	31,1295492267	756,989382198	4,0	128,0	 
certain function policy social surplus transportation	transportation policies so that certain social surplus functions	transportation policies so that certain social surplus functions	8	7,94284723159	31,1295492267	1005,45087465	4,0	84,0	 
approach long-term need	need for a long-term approach	need for a long-term approach	5	7,94284723159	31,1295492267	723,107709986	4,0	128,0	 
analysis continuous sensitivity	sensitivity analysis and continuous	sensitivity analysis and continuous	4	7,94284723159	31,1295492267	1093,97067093	4,0	84,0	 
model output	model outputs	model outputs	2	9,44183625827	37,0935342781	491,998284349	5,0	45,0	 
arrangement difference scenario spatial	differences in spatial arrangements between scenarios	differences in spatial arrangements between scenarios	6	7,94284723159	31,1295492267	723,107709986	4,0	128,0	 
explicit formula mean	Explicit formulae for the mean	Explicit formulae for the mean	5	7,94284723159	31,1295492267	497,215911217	4,0	157,0	 
choice mode	mode choice	mode choice	2	9,44183625827	37,0935342781	704,885338541	5,0	132,0	 
planning regional	regional planning	regional planning	2	9,44183625827	37,0935342781	569,80008878	5,0	39,0	 
traffic volume	traffic volume	traffic volume	2	12,589115011	47,1627786567	558,769567853	6,0	185,0	 
model such	such models	such models	2	9,44183625827	39,2004191517	958,212126522	4,0	40,0	 
analysis model performance policy tool	model performance as a policy analysis tool	model performance as a policy analysis tool	7	7,94284723159	31,1295492267	472,842573796	4,0	168,0	 
demand fluctuation short-term	short-term demand fluctuation	short-term demand fluctuation	3	7,94284723159	31,1295492267	497,215911217	4,0	157,0	 
land transportation use	land use transportation	land use transportation|&|land use and transportation|&|transportation and land use	3	27,7999653106	74,1266552268	557,915340265	18,0	170,0	 
land model transportation use	land use transportation models	land use transportation models|&|transportation models with the land use models	4	13,8999826553	51,3750196537	540,232745164	5,0	46,0	 
assignment cost function long-run model travel	assignment model with long-run travel cost functions	assignment model with long-run travel cost functions	7	7,94284723159	31,1295492267	497,215911217	4,0	157,0	 
emission gas greenhouse	greenhouse gas emissions	greenhouse gas emissions	3	15,8856944632	62,2590984533	1001,3267474	4,0	18,0	 
land transportation urban use	urban land use and transportation	urban land use and transportation|&|urban transportation and land use	5	7,94284723159	33,4145639794	554,068309185	3,0	30,0	 
land planning transportation use	land use and transportation planning	land use and transportation planning	5	13,8999826553	46,6980614007	705,104113945	7,0	55,0	 
land plan use	land use plans	land use plans|&|land use plan	3	7,94284723159	33,4145639794	653,854912022	10,0	147,0	 
federal mandate	federal mandates	federal mandates	2	22,0309512693	67,2641708918	2084,6874185	12,0	174,0	 
integrated land model system use-transportation	integrated land use-transportation modeling system	integrated land use-transportation modeling system	5	7,94284723159	31,1295492267	671,406778769	4,0	52,0	 
planning transportation	transportation planning	transportation planning	2	36,1937056567	90,2508544986	831,873190178	34,0	242,0	 
air planning quality transportation	transportation and air quality planning	transportation and air quality planning|&|transportation planning on air quality	5	7,94284723159	31,1295492267	1022,26434309	4,0	48,0	 
land policy use	land use policies	land use policies|&|land use policy	3	39,714236158	105,895221753	477,74429095	16,0	134,0	 
application development model	model development and application	model development and application	4	7,94284723159	31,1295492267	472,842573796	4,0	168,0	 
Attraction-end choice home-based model recreational\ntrips urban	Attraction-end choice models for home-based urban recreational\ntrips	Attraction-end choice models for home-based urban recreational\ntrips	7	7,94284723159	31,1295492267	1870,32361589	4,0	44,0	 
change land-use	Land-use change	Land-use change|&|Land-use changes	2	9,44183625827	39,2004191517	670,628740457	4,0	32,0	 
congestible location model network residential sub-model transportation	residential location model with a congestible transportation network sub-model	residential location model with a congestible transportation network sub-model	9	7,94284723159	31,1295492267	1005,45087465	4,0	84,0	 
land use various	Various land uses	Various land uses	3	7,94284723159	31,1295492267	723,107709986	4,0	128,0	 
link network	links in the network	links in the network	4	12,589115011	52,2672255356	517,37813003	4,0	157,0	 
example numerical	numerical example	numerical example	2	9,44183625827	35,3720839925	571,230986462	6,0	181,0	 
capacity-restrained network transportation	capacity-restrained transportation network	capacity-restrained transportation network	3	7,94284723159	31,1295492267	756,989382198	4,0	128,0	 
land model use-transportation	land use-transportation modeling	land use-transportation modeling|&|land use-transportation model	3	9,92855903949	36,6964426098	711,988424015	9,0	89,0	 
