stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
demand model travel	travel demand model	travel demand model	3	3,9714236158	15,5647746133	481,446010473	2,0	21,0	 
land plan policy transportation use	land use plans and transportation policies	land use plans and transportation policies	6	3,9714236158	15,5647746133	495,772043801	2,0	38,0	 
government scenario short-term supply transportation	short-term government transportation supply scenarios	short-term government transportation supply scenarios	5	3,9714236158	15,5647746133	317,854018129	2,0	63,0	 
design land optimal plan use	optimal design of land use plans	optimal design of land use plans	6	3,9714236158	15,5647746133	495,772043801	2,0	38,0	 
affordability housing	housing affordability	housing affordability	2	11,0154756347	33,6320854459	1124,6627551	6,0	87,0	 
city fastest-growing	fastest-growing city	fastest-growing city	2	4,72091812914	17,6860419963	896,489227654	3,0	60,0	 
action management	management actions	management actions	2	4,72091812914	19,6002095759	391,364440766	2,0	12,0	 
biogeochemical change cycle earth	changes in the biogeochemical cycles of the earth	changes in the biogeochemical cycles of the earth	8	3,9714236158	15,5647746133	410,806316448	2,0	36,0	 
land use-transportation	land use-transportation	land use-transportation	2	11,0154756347	33,6320854459	947,84439739	12,0	66,0	 
Attraction-end choice study	Attraction-end choice studies	Attraction-end choice studies	3	3,9714236158	15,5647746133	819,277257731	2,0	23,0	 
environmental impact	environmental impacts	environmental impacts	2	12,589115011	38,436669081	716,889677696	6,0	72,0	 
policy public transport	public transport policy	public transport policy	3	7,94284723159	25,6239870625	931,98734956	4,0	65,0	 
recreational trip urban	urban recreational trips	urban recreational trips	3	3,9714236158	15,5647746133	819,277257731	2,0	23,0	 
integrated land use	integrated land use	integrated land use	3	3,9714236158	15,5647746133	452,408728641	4,0	44,0	 
continuous integrated land optimization use	continuous optimization of integrated land use	continuous optimization of integrated land use	6	3,9714236158	15,5647746133	495,772043801	2,0	38,0	 
innovative land public use	Innovative land use and public	Innovative land use and public	5	7,94284723159	25,6239870625	931,98734956	4,0	65,0	 
environmental quality	environmental quality	environmental quality	2	11,0154756347	33,6320854459	1124,6627551	6,0	87,0	 
Chinese land such topic use	such topics as Chinese land use	such topics as Chinese land use	6	3,9714236158	15,5647746133	410,806316448	2,0	36,0	 
interaction land model transportation use	land use and transportation interaction model	land use and transportation interaction model|&|land use transportation interaction model	6	5,95713542369	23,34716192	317,854018129	2,0	63,0	 
integrated land participation urban use	participation in integrated urban land use	participation in integrated urban land use	6	3,9714236158	15,5647746133	553,142275714	2,0	37,0	 
macroeconomic model transportation	transportation models and macroeconomic	transportation models and macroeconomic	4	5,95713542369	20,9317513614	849,291973011	3,0	52,0	 
component model	component models	component models	2	4,72091812914	17,6860419963	849,291973011	3,0	52,0	 
land model use	land use model	land use model|&|land use modeling|&|land use models	3	19,857118079	59,6289798091	468,687830117	7,0	76,0	 
policy tax	tax policy	tax policy	2	4,72091812914	17,6860419963	849,291973011	3,0	52,0	 
instrument policy transportation	transportation policies and the instruments	transportation policies and the instruments	5	5,95713542369	20,9317513614	896,489227654	3,0	60,0	 
location-choice period process	location-choice process in the period	location-choice process in the period	5	3,9714236158	15,5647746133	317,854018129	2,0	63,0	 
density location	location and density	location and density	3	6,29455750551	21,77055798	857,13982313	4,0	66,0	 
growth rate	growth rates	growth rates	2	4,72091812914	17,6860419963	326,50525117	3,0	20,0	 
intense pressure	intense pressure	intense pressure	2	11,0154756347	33,6320854459	1124,6627551	6,0	87,0	 
loss open space	loss of open space	loss of open space	4	13,8999826553	39,2060193893	1124,6627551	6,0	87,0	 
different industry location-choice process	location-choice processes of different industry	location-choice processes of different industry	5	3,9714236158	15,5647746133	317,854018129	2,0	63,0	 
environmental management	environmental management	environmental management	2	6,29455750551	21,77055798	838,525181688	4,0	64,0	 
demand travel	travel demand	travel demand	2	6,29455750551	21,77055798	327,284566141	6,0	109,0	 
analysis cost exogenous land model procedure sensitivity separate travel use	separate sensitivity analysis procedures for a land use model with exogenous travel costs	separate sensitivity analysis procedures for a land use model with exogenous travel costs	13	3,9714236158	15,5647746133	495,772043801	2,0	38,0	 
area metropolitan	metropolitan areas	metropolitan areas|&|Metropolitan areas	2	22,0309512693	58,3313888537	969,512254012	9,0	101,0	 
effect growth side sprawl such	side effects of growth such as sprawl	side effects of growth such as sprawl	7	13,8999826553	39,2060193893	1124,6627551	6,0	87,0	 
agriculturally-developed dynamics earth land	dynamics of agriculturally-developed lands of the earth	dynamics of agriculturally-developed lands of the earth	7	3,9714236158	15,5647746133	410,806316448	2,0	36,0	 
actor different process	different actors or processes	different actors or processes	4	5,95713542369	20,9317513614	849,291973011	3,0	52,0	 
land planning use-transportation	land use-transportation planning	land use-transportation planning	3	5,95713542369	23,34716192	1234,00799978	2,0	5,0	 
