stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
large network	large networks	large networks|&|large network	2	6,29455750551	27,4110355806	265,48388158	4,0	25,0	 
network security	network security	network security	2	6,29455750551	27,4110355806	268,952081922	4,0	21,0	 
flow traffic	traffic flows	traffic flows	2	4,72091812914	21,9164001967	254,877431688	3,0	25,0	 
choice model	choice models	choice models|&|choice model	2	4,72091812914	23,8305677763	292,265963315	3,0	30,0	 
monitor network	monitoring network	monitoring network	2	4,72091812914	23,8305677763	262,509219497	2,0	15,0	 
path planning	path planning	path planning	2	7,86819688189	39,7176129605	254,621822083	2,0	9,0	 
multicommodity network transportation	multicommodity transportation network	multicommodity transportation network	3	3,9714236158	19,1235197559	343,76475334	2,0	9,0	 
network system	network system	network system|&|network systems|&|system network	2	23,6045906457	83,6497076311	485,242695275	16,0	59,0	 
container transportation	container transportation	container transportation	2	4,72091812914	23,8305677763	221,124879283	2,0	10,0	 
communication network	communication network	communication network|&|network communication	2	6,29455750551	29,2218669289	336,213000875	3,0	10,0	 
analysis network	network analysis	network analysis	2	9,44183625827	39,0096684972	247,166118344	5,0	36,0	 
different size	different sizes	different sizes	2	4,72091812914	23,8305677763	594,212537544	2,0	10,0	 
flow link	link flows	link flows|&|link and flow|&|link flow	2	7,86819688189	34,2637944757	261,865118128	4,0	33,0	 
network planning transportation	transportation network planning	transportation network planning	3	7,94284723159	38,2470395118	318,669367008	2,0	9,0	 
freight transportation	freight transportation	freight transportation	2	18,8836725165	66,9197661049	299,91559914	11,0	72,0	 
city growth	city growth	city growth	2	29,8991481512	105,956296333	1023,87526516	10,0	21,0	 
choice route	route choice	route choice	2	9,44183625827	41,1165533708	228,941029145	5,0	53,0	 
national network rail	national rail network	national rail network	3	3,9714236158	19,1235197559	1340,04681104	2,0	3,0	 
area network	area network	area network	2	18,8836725165	87,6656007867	321,527819841	3,0	13,0	 
congestion traffic	traffic congestion	traffic congestion	2	4,72091812914	21,9164001967	304,506121642	3,0	16,0	 
layout network transportation	transportation network layout	transportation network layout	3	9,92855903949	43,7831151254	243,409358016	3,0	23,0	 
different mode	different modes	different modes	2	4,72091812914	21,9164001967	209,676707905	3,0	23,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	38,2470395118	470,750161826	2,0	12,0	 
air network transportation	air transportation network	air transportation network|&|air transportation networks	3	5,95713542369	26,2698690752	361,893139476	3,0	17,0	 
length path	path length	path length	2	7,86819688189	36,5273336611	326,801385883	3,0	18,0	 
cost travel	travel cost	travel cost|&|cost of travel	2	6,29455750551	27,4110355806	346,851578119	4,0	21,0	 
different strategy	different strategies	different strategies	2	4,72091812914	21,9164001967	329,936643434	3,0	12,0	 
level low	lower level	lower level	2	7,86819688189	32,508057081	259,913980506	5,0	47,0	 
system transportation	transportation system	transportation system|&|transportation systems	2	102,286559465	226,529323293	238,260206644	49,0	314,0	 
equilibrium problem user	user equilibrium problem	user equilibrium problem	3	3,9714236158	19,1235197559	235,23383438	2,0	26,0	 
network sensor transportation	transportation sensor network	transportation sensor network	3	5,95713542369	28,6852796338	280,896787558	2,0	10,0	 
log n	log n	log n|&|n log	2	4,72091812914	23,8305677763	628,0018807	2,0	7,0	 
city dynamics growth	city growth dynamics	city growth dynamics	3	3,9714236158	19,1235197559	789,513299809	2,0	9,0	 
network performance transportation	transportation network performance	transportation network performance|&|performance of a transportation network|&|performance of the transportation network	3	7,94284723159	32,7414773476	639,315419417	4,0	21,0	 
mode transportation	transportation mode	transportation mode|&|transportation modes	2	7,86819688189	32,508057081	240,461970868	5,0	41,0	 
monitor system	monitoring system	monitoring system|&|monitoring systems|&|system monitoring	2	9,44183625827	43,8328003934	216,495279366	5,0	33,0	 
public transport	public transport	public transport	2	4,72091812914	23,8305677763	282,329634109	2,0	16,0	 
network system transportation	transportation network system	transportation network system|&|transportation network systems	3	7,94284723159	32,7414773476	443,848121076	6,0	29,0	 
air transportation	air transportation	air transportation	2	7,86819688189	34,2637944757	481,498063652	6,0	34,0	 
chain network	chain network	chain network	2	4,72091812914	23,8305677763	465,675675592	2,0	12,0	 
sensor wireless	wireless sensor	wireless sensor	2	4,72091812914	23,8305677763	695,665305455	18,0	112,0	 
city size	city size	city size	2	7,86819688189	34,2637944757	845,265006783	4,0	16,0	 
planning process	planning process	planning process	2	4,72091812914	23,8305677763	269,243620029	2,0	10,0	 
area infrastructure network	area network infrastructure	area network infrastructure	3	3,9714236158	21,876300838	315,612972721	1,0	6,0	 
growth population	population growth	population growth	2	4,72091812914	23,8305677763	225,9627201	2,0	3,0	 
network public transportation	public transportation network	public transportation network|&|public transportation networks	3	13,8999826553	51,6616273882	526,314388621	7,0	33,0	 
air system transportation	air transportation system	air transportation system|&|air transportation as a system	3	7,94284723159	38,2470395118	308,220144647	2,0	18,0	 
network performance	network performance	network performance	2	12,589115011	47,7770036448	211,760544689	7,0	62,0	 
constraint equilibrium	equilibrium constraints	equilibrium constraints	2	6,29455750551	31,7740903684	215,869598873	2,0	17,0	 
design network	network design	network design|&|design network|&|design of a network	2	61,3719356788	159,905815932	214,093664062	44,0	359,0	 
mean transport	means of transport	means of transport|&|transport means	3	6,29455750551	29,2218669289	244,41508505	3,0	11,0	 
network structure	network structure	network structure	2	6,29455750551	27,4110355806	268,246433358	4,0	28,0	 
ITS zone	zone ITS	zone ITS	2	4,72091812914	27,1028588671	258,911492178	1,0	6,0	 
network sensor	sensor network	sensor network|&|sensor networks|&|network sensor	2	23,6045906457	78,9129580101	748,136341188	24,0	137,0	 
