stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
environment urban	urban environments	urban environments|&|urban environment|&|environment and the urban	2	11,0154756347	38,9462389384	260,941027674	6,0	32,0	 
activity urban	urban activity	urban activity|&|urban activities	2	15,7363937638	53,211708401	343,474454524	7,0	26,0	 
sprawl urban	urban sprawl	urban sprawl	2	11,0154756347	40,954597605	210,983168565	5,0	37,0	 
activity space	activity spaces	activity spaces	2	6,29455750551	29,1702719064	2686,08977197	2,0	4,0	 
previous study	previous studies	previous studies	2	4,72091812914	19,9635363502	269,850948871	3,0	17,0	 
copyright holder listserv	listserv without the copyright holder	listserv without the copyright holder	5	3,9714236158	17,4806932153	268,874080503	2,0	26,0	 
future public transportation	future of public transportation	future of public transportation	4	3,9714236158	17,4806932153	296,268019072	2,0	32,0	 
growth transportation urban	urban growth and transportation	urban growth and transportation|&|urban transportation growth	4	7,94284723159	34,9613864306	342,228511446	2,0	14,0	 
dynamics system	system dynamics	system dynamics	2	6,29455750551	26,6180484669	255,886578342	3,0	19,0	 
development transportation urban	urban transportation development	urban transportation development|&|development urban transportation|&|development of urban transportation	3	3,9714236158	17,4806932153	241,833876305	4,0	41,0	 
network planning	network planning	network planning	2	6,29455750551	29,1702719064	334,114003435	2,0	11,0	 
automobile dominance overall passenger transportation urban	overall dominance of automobiles in urban passenger transportation	overall dominance of automobiles in urban passenger transportation	8	3,9714236158	17,4806932153	296,268019072	2,0	32,0	 
system transportation urban	urban transportation system	urban transportation system|&|urban transportation systems|&|transportation systems and urban|&|Urban transportation system	3	27,7999653106	80,5515530524	223,706827404	9,0	77,0	 
design urban	urban design	urban design	2	6,29455750551	29,1702719064	283,457674789	2,0	20,0	 
congestion traffic	traffic congestion	traffic congestion	2	14,1627543874	44,3312330392	228,700282696	12,0	106,0	 
analysis robustness	robustness analysis	robustness analysis	2	4,72091812914	25,1499950207	264,711579062	1,0	8,0	 
cost travel	travel costs	travel costs	2	6,29455750551	29,1702719064	428,269306924	2,0	17,0	 
energy use	energy use	energy use	2	4,72091812914	21,8777039298	377,642303823	2,0	4,0	 
comparison direct result	direct comparisons of results	direct comparisons of results	4	3,9714236158	17,4806932153	265,737251933	2,0	27,0	 
analytic finding method	analytic methods and findings	analytic methods and findings	4	3,9714236158	17,4806932153	296,268019072	2,0	32,0	 
behavior travel	travel behavior	travel behavior	2	6,29455750551	29,1702719064	444,236371916	2,0	12,0	 
form more sustainable	more sustainable forms	more sustainable forms	3	3,9714236158	17,4806932153	307,13923617	2,0	10,0	 
area extent urban	extent of the urban area	extent of the urban area	5	3,9714236158	17,4806932153	329,034239824	2,0	9,0	 
rail rapid transit	rail rapid transit	rail rapid transit|&|rapid rail transit	3	3,9714236158	17,4806932153	580,985496948	2,0	10,0	 
time travel	travel times	travel times	2	4,72091812914	21,8777039298	242,665587614	2,0	19,0	 
strategy transportation	transportation strategy	transportation strategy	2	4,72091812914	21,8777039298	229,382887672	2,0	11,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	15,7363937638	51,1104058269	259,347010453	8,0	48,0	 
system urban	urban system	urban system	2	4,72091812914	19,9635363502	231,452025558	3,0	20,0	 
traffic urban	urban traffic	urban traffic|&|traffic and urban	2	4,72091812914	19,9635363502	204,754570527	4,0	26,0	 
planning transportation use	use and transportation planning	use and transportation planning	4	3,9714236158	17,4806932153	276,560399074	2,0	10,0	 
activity moderate-to-vigorous physical	moderate-to-vigorous physical activity	moderate-to-vigorous physical activity	3	3,9714236158	17,4806932153	865,141307303	2,0	6,0	 
area research	research area	research area|&|research in this area	2	4,72091812914	21,8777039298	340,162791242	2,0	9,0	 
equilibrium network	network equilibrium	network equilibrium	2	4,72091812914	21,8777039298	613,031691643	2,0	7,0	 
activity pattern urban	urban activity patterns	urban activity patterns	3	3,9714236158	17,4806932153	466,044031517	2,0	10,0	 
accident future motor vehicle	motor vehicle accidents and the future	motor vehicle accidents and the future	6	3,9714236158	17,4806932153	296,268019072	2,0	32,0	 
air quality standard	air quality standards	air quality standards	3	3,9714236158	17,4806932153	209,666989281	2,0	21,0	 
article email individual use	email articles for individual use	email articles for individual use	5	3,9714236158	17,4806932153	268,874080503	2,0	26,0	 
analysis basis factual policy	factual basis for policy analysis	factual basis for policy analysis	5	3,9714236158	17,4806932153	296,268019072	2,0	32,0	 
planning process	planning process	planning process	2	17,3100331402	58,5328792411	255,374130712	12,0	78,0	 
consumption energy transportation	transportation energy consumption	transportation energy consumption	3	3,9714236158	17,4806932153	299,254684135	2,0	16,0	 
development urban	urban development	urban development|&|development urban	2	12,589115011	44,5099873582	236,317853639	8,0	57,0	 
planner transportation	transportation planners	transportation planners	2	4,72091812914	19,9635363502	219,199670462	3,0	22,0	 
maker policy	policy makers	policy makers	2	4,72091812914	19,9635363502	237,527533982	3,0	24,0	 
approach case promising	promising approaches in each case	promising approaches in each case	5	3,9714236158	17,4806932153	296,268019072	2,0	32,0	 
energy transportation	transportation energy	transportation energy	2	7,86819688189	31,0090213982	255,656901521	4,0	23,0	 
activity physical	physical activity	physical activity	2	9,44183625827	39,9270727004	887,730336936	3,0	12,0	 
investment transportation	transportation investments	transportation investments|&|transportation investment	2	9,44183625827	35,1039408043	307,973396623	5,0	29,0	 
growth relationship urban	relationship between urban growth	relationship between urban growth|&|relationship with urban growth	4	5,95713542369	26,221039823	232,02375629	2,0	17,0	 
forecasting model	forecasting models	forecasting models	2	4,72091812914	25,1499950207	212,272438616	1,0	14,0	 
air congestion pollution traffic	traffic congestion and air pollution	traffic congestion and air pollution	5	3,9714236158	17,4806932153	236,849994428	2,0	19,0	 
great involvement potential public	greatest potential for public involvement	greatest potential for public involvement	5	3,9714236158	17,4806932153	265,737251933	2,0	27,0	 
ownership vehicle	vehicle ownership	vehicle ownership	2	4,72091812914	19,9635363502	195,627601368	3,0	26,0	 
instrument policy	policy instruments	policy instruments	2	4,72091812914	21,8777039298	233,952408826	2,0	13,0	 
structure urban	urban structures	urban structures	2	4,72091812914	21,8777039298	223,873213571	2,0	18,0	 
passenger transportation	passenger transportation	passenger transportation	2	6,29455750551	26,6180484669	242,742542901	5,0	50,0	 
activity pattern	activity patterns	activity patterns	2	11,0154756347	46,5815848171	579,68840719	4,0	16,0	 
development socio-economic	socio-economic development	socio-economic development	2	4,72091812914	21,8777039298	736,603436482	2,0	5,0	 
development planning	planning and development	planning and development|&|development planning	3	4,72091812914	19,9635363502	196,031756788	3,0	24,0	 
growth management	growth management	growth management	2	6,29455750551	29,1702719064	205,27329821	2,0	25,0	 
emission gas greenhouse	greenhouse gas emissions	greenhouse gas emissions	3	3,9714236158	17,4806932153	248,782129483	2,0	19,0	 
decision maker	decision makers	decision makers|&|Decision makers	2	6,29455750551	24,8072171186	245,632204872	4,0	35,0	 
consumption energy	energy consumption	energy consumption	2	4,72091812914	19,9635363502	295,043471025	5,0	31,0	 
growth rapid	rapid growth	rapid growth	2	6,29455750551	26,6180484669	214,325138235	5,0	41,0	 
health official public	public health officials	public health officials	3	3,9714236158	20,2334742974	564,158510476	1,0	6,0	 
problem salient several transportation urban	several salient problems of urban transportation	several salient problems of urban transportation	6	3,9714236158	17,4806932153	331,199162181	2,0	32,0	 
activity pattern travel	activity and travel patterns	activity and travel patterns	4	3,9714236158	17,4806932153	462,12128167	2,0	13,0	 
air concentration pollution	air pollution concentration	air pollution concentration	3	3,9714236158	17,4806932153	578,814323953	2,0	10,0	 
advantage own perspective planning relative	own relative advantages from a planning perspective	own relative advantages from a planning perspective	7	3,9714236158	17,4806932153	265,737251933	2,0	27,0	 
expansion spatial urban	urban spatial expansion	urban spatial expansion|&|urban expansion and spatial	3	3,9714236158	17,4806932153	221,550585674	2,0	22,0	 
health impact	health impacts	health impacts|&|health impact	2	6,29455750551	26,6180484669	490,143993813	3,0	18,0	 
development future goal regional	regional development goals for the future	regional development goals for the future	6	3,9714236158	17,4806932153	316,351058366	2,0	27,0	 
motor vehicle	motor vehicle	motor vehicle	2	6,29455750551	29,1702719064	221,226472348	4,0	44,0	 
land-use planning	land-use planning	land-use planning	2	7,86819688189	31,0090213982	206,471577244	4,0	23,0	 
planning process transportation	transportation planning process	transportation planning process	3	15,8856944632	50,021763109	285,091739434	7,0	44,0	 
approach different	different approach	different approach	2	4,72091812914	19,9635363502	266,282386849	3,0	30,0	 
accident cost motor vehicle	costs of motor vehicle accidents	costs of motor vehicle accidents	5	3,9714236158	17,4806932153	331,199162181	2,0	32,0	 
density population	population density	population density	2	6,29455750551	24,8072171186	280,21627033	4,0	22,0	 
air pollution urban	urban air pollution	urban air pollution	3	21,8428298869	68,7799242748	248,541645236	7,0	51,0	 
infrastructure transport	transport infrastructure	transport infrastructure	2	4,72091812914	19,9635363502	242,55744832	3,0	14,0	 
