stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
automobile ownership	automobile ownership	automobile ownership	2	3,14727875276	12,7352074716	212,839267694	2,0	11,0	 
activity urban	urban activity	urban activity|&|urban activities	2	14,1627543874	41,7490576108	537,246003324	6,0	16,0	 
rail transit	rail transit	rail transit	2	4,72091812914	17,1886436278	290,368730381	3,0	13,0	 
sprawl urban	urban sprawl	urban sprawl	2	6,29455750551	22,9181915037	265,728962175	3,0	8,0	 
activity space	activity spaces	activity spaces|&|activity space	2	9,44183625827	38,2056224148	2278,33734617	2,0	3,0	 
context transportation	context of transportation	context of transportation	3	3,14727875276	12,7352074716	30,3465451139	2,0	60,0	 
body fat	body fat	body fat	2	4,72091812914	22,3751022983	412,867430322	1,0	6,0	 
local state	state and local	state and local	3	3,14727875276	12,7352074716	30,3465451139	2,0	60,0	 
future public transportation	future of public transportation	future of public transportation	4	3,9714236158	15,1463433733	167,464174482	2,0	30,0	 
agency land planning responsible use	agencies responsible for land use planning	agencies responsible for land use planning	6	3,9714236158	15,1463433733	30,3465451139	2,0	60,0	 
design urban	urban design	urban design	2	6,29455750551	25,4704149432	180,549683583	2,0	16,0	 
evolutionary manner	evolutionary manner	evolutionary manner	2	3,14727875276	14,9167348655	265,69946121	1,0	4,0	 
city function	functioning of cities	functioning of cities	3	3,14727875276	12,7352074716	311,45444252	2,0	8,0	 
development transportation urban	urban transportation development	urban transportation development|&|development of urban transportation	3	5,95713542369	20,3041045013	244,90818059	3,0	20,0	 
person travel	person travel	person travel	2	3,14727875276	14,9167348655	625,675249688	1,0	3,0	 
coordination transportation	coordination of transportation	coordination of transportation	3	3,14727875276	12,7352074716	30,3465451139	2,0	60,0	 
management resource	resource management	resource management	2	3,14727875276	12,7352074716	274,18063257	2,0	3,0	 
automobile dominance overall passenger transportation urban	overall dominance of automobiles in urban passenger transportation	overall dominance of automobiles in urban passenger transportation	8	3,9714236158	15,1463433733	167,464174482	2,0	30,0	 
goal individual right	right of the individual versus the goal	right of the individual versus the goal	7	3,9714236158	15,1463433733	30,3465451139	2,0	60,0	 
system transportation urban	urban transportation systems	urban transportation systems	3	5,95713542369	20,3041045013	410,323473662	3,0	8,0	 
life quality	quality of life	quality of life	3	4,72091812914	19,1028112074	129,626196373	2,0	10,0	 
growth transportation urban	urban growth and transportation	urban growth and transportation|&|urban transportation growth	4	7,94284723159	30,2926867465	260,179892284	2,0	11,0	 
congestion traffic	traffic congestion	traffic congestion	2	6,29455750551	21,1073601554	187,876804679	5,0	43,0	 
pattern travel	travel patterns	travel patterns	2	4,72091812914	19,1028112074	398,936789703	2,0	7,0	 
approach organizational	organizational approaches	organizational approaches	2	3,14727875276	12,7352074716	30,3465451139	2,0	60,0	 
analytic finding method	analytic methods and findings	analytic methods and findings	4	3,9714236158	15,1463433733	167,464174482	2,0	30,0	 
long-standing resident	long-standing residents	long-standing residents	2	3,14727875276	14,9167348655	1242,00321027	1,0	2,0	 
adaptation salinity	salinity adaptation	salinity adaptation	2	3,14727875276	14,9167348655	499,783452503	1,0	5,0	 
model transportation	transportation model	transportation model|&|transportation models	2	4,72091812914	19,1028112074	297,956528011	2,0	11,0	 
time travel	travel times	travel times	2	4,72091812914	19,1028112074	230,539129575	2,0	14,0	 
