" A micro-simulator of urban land use dynamics integrating a multi-agent model of land development and an activity-based model of transport demand","8457668460887267734","2004",7
"A constrained cellular automata model to simulate the potential effects of high-speed train stations on land-use dynamics in trans-border regions","17712004929438830860","2013",8
"The New Cispadana Motorway. Impact on Industrial Buildings Property Values","12673480682749692953","2012",3
"SYSTEME TERRITORIAL ET DEVELOPPEMENT: Impact de la route Nouakchott-Nouadhibou sur le Parc National du Banc d'Arguin","17558306378352069107","2012",10
" Logiques urbanistiques et logiques de transports au sein d'une intercommunalité périurbaine. L'exemple de la construction territoriale du Pays Voironnais","11803165925574305142","2007",9
" Integration of LUTI models into Sustainable Urban Mobility Plans (SUMPs)","9963644515348597670","2016",7
"Joint accessibility design: framework developed with practitioners to integrate land use and transport planning in the Netherlands","9279271717247468535","2008",8
"Dispersion of agglomeration through transport infrastructure","17788582081915489899","2013",8
"Potential Impact of Housing Policy on Transportation Infrastructure in Chinese Cities","14631122393807503549","2007",7
" Evolving transportation networks","8258101384876010326","2011",12
" A model of road network and buildings extension co-evolution","14739715137994834697","2014",12
"Evaluating transport externalities of urban growth: a critical review of scenario-based planning methods","11057429637195491539","2016",7
"Rail system development and urban transformations: Towards a spatial decision support system","7608690871700860183","2008",2
"Heuristic urban transportation network design method, a multilayer coevolution approach","9433653206824619514","2017",12
" Amarrer le développement urbain aux infrastructures de transport publics: examen comparatif des politiques locales de quatre agglomérations suisses","9544277750994587809","2009",9
" Desserte ferroviaire à grande vitesse, activation des ressources spécifiques et développement du tourisme: le cas de l'agglomération rémoise","14900532297166432212","2010",3
"Mathematics and morphogenesis of cities: A geometrical approach","11819818561854891580","2011",12
"Le réseau autoroutier français: un outil rapidement valorisé, des effets controversés","9388458379846447123","1997",3
" Elementary processes governing the evolution of road networks","3086518878428601412","2012",12
"The evolution and planning of hierarchical transport networks","15548407300627151288","2014",12
"La planification métropolitaine et le transit-oriented development (TOD): les nouveaux instruments de la gouvernance du Grand Montréal","16767933415430308127","2016",9
"Transportation implications of metropolitan spatial planning in mega-city Beijing","16645999085681599203","2009",7
"Measuring TOD around transit nodes-Towards TOD policy","2461466985030055448","2017",11
"Growth Patterns of Subway/Metro Systems Tracked by Degree Correlation","4196851619316729988","2012",12
" Developing a Tool for Evaluating Land Use-Transport Integration","5135111128672754351","",8
"Measuring regional cohesion effects of large-scale transport infrastructure investments: an accessibility approach","15923103254121616546","2008",8
" Impacts on Land Use Characteristics from Fixed Link Projects: Four Case Studies from Norway","12319656594235031992","2016",7
"Can we integrate land-use and transport planning? An investigation into the use of travel planning in regulation","2508096719201861342","2015",7
" Territorial implications of high speed rail: a Spanish perspective","7238773654311666897","2016",7
"Assessing the accessibility impact of transport policy by a land-use and transport interaction model–The case of Madrid","7403034735160752310","2015",8
" Generative network models for simulating urban networks, the case of inter-city transport network in Southeast Asia","1727240970915573682","2016",12
"The organizational learning of a new realtion between road projets planning and territory stakeholders: the case of the Quebec ministry of tranportation","10902935719250740304","2008",10
" Accessibility Planning tools for sustainable and integrated Land Use/Transport (LUT) development: an application to Rome","7106520131778669231","2013",8
"Shape grammars overview and assessment for transport and urban design: Review, terminology, assessment, and application","803086432938124946","2016",12
" De l'évaluation de l'effet structurant d'un projet urbain à l'analyse des congruences entre stratégies d'acteurs: le réaménagement du Vieux-Port de …","13524558818340642580","2003",3
"Injecting a rapid rail link into a metropolis","12888682099709140912","2009",7
" Le mythe du développement économique induit par les grandes infrastructures de transports","10856658103118340902","2002",6
"Accessibility and territorial cohesion in a case of transport infrastructure improvements with changing population distributions","7376709710337748824","2016",7
"Exploring the relationship between street centrality and land use in Stockholm","14186537126402816131","2014",12
"The effects of the high-speed railway on urban development: International experience and potential implications for China","13868211247859932084","2015",11
" Benchmarking Public Transport and Land Use Integration in Melbourne and Hamburg: Hints for Policy Makers","17672215516746545062","2009",11
"Cities and highway networks in Europe","8195558924340493347","1996",8
" Urban growth modeling based on land-use changes and road network expansion","8911748967759297223","2013",12
"Measuring one century of railway accessibility and population change in France. A historical GIS approach","7622033396544392224","2016",7
"A design framework for measuring transit oriented development","445792216820660267","2012",11
