"The adaptive efficiency of land use planning measured by the control of urban sprawl. The cases of the Netherlands, Belgium and Poland","8635210426419881284","2012",7
" Réseaux et services de transport à l'épreuve des territoires: la démarche des schémas multimodaux en Alsace, Nord-Pas de Calais et Rhône-Alpes","12418371069597707113","2003",10
"Road project opportunity costs subject to a regional constraint on greenhouse gas emissions","3721656126911183780","2012",3
" Accessibility and ict: A review of literature, a conceptual model and a research agenda","4534801189194599913","2009",10
"From low-cost airlines to low-cost high-speed rail? The French case","16904070787712754462","2015",3
"Complexity in future cities: the rise of networked infrastructure","5592500605969596110","2016",12
"Trojan horses in transitions: A dialectical perspective on innovation 'capture'","1922854736028122315","2016",11
" Information géographique et Internet: les sites territoriaux ou l'émergence d'une intelligence collective du territoire","9892970102224080072","",10
" A micro-simulator of urban land use dynamics integrating a multi-agent model of land development and an activity-based model of transport demand","8457668460887267734","2004",7
"Capacity constrained accessibility of high-speed rail","7778154447193023682","",8
"Key research themes on urban space, scale, and sustainable urban mobility","3016226949146313026","2016",7
"Active accessibility: A review of operational measures of walking and cycling accessibility","1267188293821233825","2015",8
"Facility allocation strategies and the sustainability of service delivery: Modelling library patronage patterns and their related CO 2-emissions","8750030037013010383","2013",11
" Research progress on accessibility to regional transportation infrastructure","13107331166412297346","2013",8
"Urban transitions: scaling complex cities down to human size","10775461139251911303","2016",7
" Le détroit de Gibraltar dans la mondialisation des transports maritimes. Capter les circulations marchandes pour créer du développement","5425989015682556676","2012",3
"Stratégies territoriales des États, mobilités individuelles et espaces transnationaux en Afrique de l'Ouest","8536845003781310315","2012",10
"High Speed Rail and the tourism market: Evidence from the Madrid case study","16485866343166832902","2015",3
"Activity–travel behaviour research: conceptual issues, state of the art, and emerging perspectives on behavioural analysis and simulation modelling","6951511480201978870","2007",7
"When are decentralized infrastructure networks preferable to centralized ones?","18273376608021000273","2017",12
" 区域综合交通可达性评价","13777139021243387109","2012",8
"Mapping the Distortions in Time and Space: The French Railway Network 1830–1930","15625978323252922964","2013",10
"Une inondation négociée? Politisation d'un risque naturel sur le Rhône.","12297306512367587441","2014",10
"An Accessible City An investigation using GIS into the potential for further development of the proposed major cycleways network for Christchurch, New Zealand","13363229591455282010","2015",7
" Relating land use and human intra-city mobility","4644037014558817094","2015",12
" Analyse comparative des schémas multimodaux de services de transport Alsace Nord-Pas-de-Calais Rhône-Alpes","12870019429585779151","2003",10
"Transport infrastructure evaluation using cost-benefit analysis: improvements to valuing the asset through residual value—a case study","16811064584481091986","2014",1
" GaWC Research Bulletin 231","12411931834632245970","2010",10
" SOURCE (OR PART OF THE FOLLOWING SOURCE): Type PhD thesis Title Disconnected innovations: new urbanity in large-scale development projects: …","12072968633112740289","2008",11
"Building a multimodal urban network model using openstreetmap data for the analysis of sustainable accessibility","9655426278371511198","2015",7
" Mobilité et motilité: de l intention à l action","1434610994546635752","2004",10
"A constrained cellular automata model to simulate the potential effects of high-speed train stations on land-use dynamics in trans-border regions","17712004929438830860","2013",8
"Accessibility and complex network analysis of the US commuting system","2834206805691534430","2013",12
" Métropolisation, mobilités quotidiennes et forme urbaine: le cas de Londres","6681898867340783235","2004",9
"A firmographic microsimulation model of small and medium-sized business establishments: application to the city of Hamilton, Canada","2804984430394631167","2011",2
"Public transport lifestyle: how to promote public transport orientated behaviour?","3039314018535761576","2012",11
" An approach for integrating valuable flexibility during conceptual design of networks","1762928889125704934","2016",12
"The Impact of Service Refusal to the Supply–Demand Equilibrium in the Taxicab Market","223439719895151836","2016",12
" Vybrané prístupy k hodnoteniu dopravnej dostupnosti vo vzťahu k rozvoju cestovného ruchu","11030520681973092649","2014",8
" Mobility patterns and urban structure","17876882181790297967","2015",11
"Use of a collaborative GIS-based planning-support system to assist in formulating a sustainable-development scenario for Hervey Bay, Australia","11280461060480310548","2005",7
" Les territoires de la mobilité: migration et communautés transnationales entre le Mexique et les États-Unis","81895632582862094","2003",10
"The New Cispadana Motorway. Impact on Industrial Buildings Property Values","12673480682749692953","2012",3
" La guerre de l'eau de Cochabamba, Bolivie: un problème géopolitique et de territoralité","12204532235979545014","2005",10
"Uma ferramenta para planejamento da mobilidade sustentável com base em modelo de uso do solo e transportes","9888646341617101005","2010",7
"A multi-agent planning support system for assessing the role of transportation and environmental objectives in urban planning","9955804905617547368","2014",7
" Determination of the complexity of distance weights in Mexican city systems","13187902128431496889","2017",12
