"Analysis of the impact of high-speed railroad service on air transport demand";"2741168611238703427";"2006";NA
"Roads, land use, and deforestation: a spatial model applied to Belize";"10120413830864362824";"1996";NA
"Spatiotemporal urbanization processes in the megacity of Mumbai, India: A Markov chains-cellular automata urban growth model";"5526883927689977429";"2013";NA
"Analyse économique des configurations urbaines et de leur étalement";"4261196624544641724";"2000";NA
"Modeling the spatial dynamics of regional land use: the CLUE-S model";"11472243155749927644";"2002";NA
"Modelling the joint access mode and railway station choice";"7836108439721214640";"2009";NA
"Why do the poor live in cities? The role of public transportation";"4592975781722496335";"2008";NA
" Handbook of regional and urban economics: cities and geography";"12440628822469350927";"2004";NA
"Modeling urban expansion scenarios by coupling cellular automata model and system dynamic model in Beijing, China";"5280571749216175921";"2006";NA
" Ecogenèse territoriale et territorialité";"17145424911259202104";"1986";NA
"Alternative transportation modes in an urban land use model: a general equilibrium approach";"3165364121707577821";"1979";NA
"The land use and transit connection in Toronto: Some lessons for Australian cities";"2456603338811174337";"1991";NA
"Can the high speed rail reinforce tourism attractiveness? The case of the high speed rail between Perpignan (France) and Barcelona (Spain)";"12567231728166421187";"2009";NA
"The effects of urban spatial structure on travel demand in the United States";"8979905650138042379";"2005";NA
"Multiple criteria decision-making techniques and their applications–a review of the literature from 2000 to 2014";"1709037592918865759";"2015";NA
"Do plans matter? The effects of light rail plans on land values in station areas";"5893033290987527886";"2001";NA
"Reducing energy consumption through trajectory optimization for a metro network";"9996518109486866181";"1975";NA
"An integrated model of facility location and transportation network design";"13527409584934730161";"2001";NA
"Accessibility evaluation of land-use and transport strategies: review and research directions";"14903997275377177864";"2004";NA
"Current operational urban land‐use–transport modelling frameworks: A review";"17564692245329390408";"2005";NA
"Urban form and travel behaviour: micro-level household attributes and residential context";"6816438350432176732";"2002";NA
"A TOD planning model to review the regulation of allowable development densities around subway stations";"17412736314612590072";"2006";NA
"A study of on integrated intercity travel demand model";"9428224722855847242";"2005";NA
"Evolution of the transit-oriented development model for low-density cities: a case study of Perth's new railway corridor";"18352831680500291924";"2008";NA
"Transport networks and spatial choices: A European perspective";"5327509358687884035";"2007";NA
"Network design and transportation planning: Models and algorithms";"13527193772942453318";"1984";NA
"Transportation and Land Use";"8660477253315319284";"2007";NA
"Light rail proximity: Benefit or detriment in the case of Santa Clara County, California?";"6642187910472493264";"2001";NA
" A land-use/transport interaction model for Austria";"12023503774881923572";"2009";NA
"A coverage model for improving public transit system accessibility and expanding access";"7714873155324269506";"2003";NA
"On the development of raem: The dutch spatial general equilibrium model and it's first application to a new railway link";"14419148078104479576";"2001";NA
"Measuring territorial cohesion impacts of High-Speed Rail at different planning levels";"11015756863966592631";"2010";NA
" The effect of infrastructure on long run economic growth";"18091431345429858831";"2004";NA
"Rail transit and joint development: Land market impacts in Washington, DC and Atlanta";"17274035543169056854";"1994";NA
" The saga of integrated land use-transport modeling: how many more dreams before we wake up?";"17733260940907186980";"2003";NA
"La Performance territoriale des réseaux de transport";"14348395245465787968";"1997";NA
"Infrastructure, long‐run economic growth and causality tests for cointegrated panels";"3411011351715304243";"2008";NA
"The connection between public transit and employment: the cases of Portland and Atlanta";"9782602539524643904";"1999";NA
"Multiple‐criteria decision support system in highway infrastructure management";"9673759713056410648";"2008";NA
"Does high-speed rail accessibility influence residential property prices? Hedonic estimates from southern Taiwan";"7207311748950739271";"2010";NA
"Transit-oriented land planning model considering sustainability of mass rail transit";"2024160217331154543";"2010";NA
"High speed rail: implication for cities";"18210480312465665176";"2012";NA
"Impact of rapid transit on suburban residential property values and land development";"10362761944235665290";"1972";NA
"An application of an integrated transport network–multiregional CGE model: a framework for the economic analysis of highway projects";"7946482934883538573";"2004";NA
" Aménagement du territoire et utilisation du sol";"16967190880366879666";"1984";NA
"A unifying modelling framework to simulate the Spatial Economic Transport Interaction process at urban and national scales";"8447436889705718760";"2012";NA
" Les territoires du tramway moderne: de la ligne à la ville durable";"10809851577547721507";"2005";NA
"Light-rail-transit impacts in Portland: The first ten years";"13938663556136217211";"1999";NA
"LUTI model for the metropolitan area of Santander";"11426798802384056706";"2013";NA
"How accessibility shapes land use";"15575741556156415962";"1959";NA
"Territorial cohesion impacts of high-speed rail at different planning levels";"2882196390170800133";"2012";NA
"Transit's value-added effects: light and commuter rail services and commercial land values";"6684170136495887910";"2002";NA
"Optimal Land Use—Transport Strategies: Methodology and Application to European Cities";"9935339511624817265";"2005";NA
"Rules for biologically inspired adaptive network design";"17893242022307076992";"2010";NA
"The land-use impacts of urban rail transit systems";"14078813764339021668";"1996";NA
"Calibrating the Naples land-use and transport model";"4797711363877193555";"1994";NA
" Commercial Property Values and Proximity to Light Rail: Calculating Benefits with a Hedonic Price Model";"5195046070265209607";"";NA
"Bus rapid transit impacts on land uses and land values in Seoul, Korea";"1786504861447836048";"2011";NA
"Combined impacts of highways and light rail transit on residential property values: A spatial hedonic price model for Phoenix, Arizona";"4911806436491011149";"2014";NA
" The strategic, dynamic and integrated urban land use and transport model MARS (Metropolitan Activity Relocation Simulator)";"13172227782021916588";"2003";NA
"Accessibility modeling and evaluation: The TIGRIS XL land-use and transport interaction model for the Netherlands";"13076030584230478433";"2015";NA
"Land-use/transport interaction models: Past and future";"9333134823238281996";"1998";NA
"Multiagent land-use and transport model for the policy evaluation of a compact city";"14256171076146454580";"2005";NA
"Measuring regional cohesion effects of large-scale transport infrastructure investments: an accessibility approach";"15923103254121616546";"2008";NA
"Impacts on accessibility of China's present and future HSR network";"1497411548457644019";"2014";NA
" Evaluating transit-oriented development using a sustainability framework: Lessons from Perth's network city";"1874975002961414310";"2009";NA
"The impact of transit-oriented development on housing prices in San Diego, CA";"3443722888458689953";"2011";NA
"Impact of proximity to light rail rapid transit on station-area property values in Buffalo, New York";"2184418343986277380";"2007";NA
"Overview of land use transport models";"3647216975258379343";"2004";NA
" Territorial implications of high speed rail: a Spanish perspective";"7238773654311666897";"2016";NA
"Relationship between transport accessibility and land value: Local model approach with geographically weighted regression";"4418397137131889429";"2006";NA
"Assessing the accessibility impact of transport policy by a land-use and transport interaction model–The case of Madrid";"7403034735160752310";"2015";NA
"Linking urban transport and land use in developing countries";"581933628528961027";"2013";NA
"Measuring the neighborhood benefits of rail transit accessibility";"4393706071311534606";"1997";NA
" Towards a land use and transport interaction framework";"1710252771559171104";"2000";NA
"A physarum network evolution model based on IBTM";"16487236950183891908";"2013";NA
"A GIS‐based land use and public transport accessibility indexing model";"12077705089835878954";"2007";NA
"The role of the transport system in destination development";"1650848833307333103";"2000";NA
" The impact of railway stations on residential and commercial property value: a meta-analysis";"13445798032165848396";"2007";NA
"Integrated urban models for simulation of transit and land-use policies";"3781617263417430270";"1998";NA
"Urban concentration: the role of increasing returns and transport costs";"18272623801279535261";"1996";NA
"Reaction of house prices to a new rapid transit line: Chicago's midway line, 1983–1999";"2016332858113242291";"2004";NA
" LUTI modelling in the Netherlands: Experiences with TIGRIS and a framework for a new LUTI model";"12775946050966369604";"2004";NA
" Modèles d'intégration spatiale et réseau des villes en Europe occidentale";"14436860538273457118";"1998";NA
"Transport planning with multiple criteria: the analytic hierarchy process applications and progress review";"14117261840986233099";"1995";NA
"Multiregional model with endogenous price system for evaluating road construction projects";"8323240285143884679";"1987";NA
" Modeling long-range transportation and land use scenarios for the Sacramento region, using citizen-generated policies";"16243496654184230401";"2008";NA
"Transit-oriented development in San Diego County: The incremental implementation of a planning idea";"2711632327760691846";"1999";NA
"Chinese edition of transit-oriented development";"14424316244410372379";"2007";NA
"UrbanSim: Modeling urban development for land use, transportation, and environmental planning";"10961332031865325758";"2002";NA
"Applied models of urban land use, transport and environment: state of the art and future developments";"6377202254643625039";"1998";NA
"Railway station site selection using analytical hierarchy process and data envelopment analysis";"9937513993046226542";"2010";NA
"Leeds Integrated Land-Use Transport Model (LILT)";"17246353187156135543";"1983";NA
"MASTER model (micro-analytical simulation of transport, employment and residence)";"15933226690278854311";"1990";NA
"Effects of urban rail transit expansions: Evidence from sixteen cities, 1970-2000 ";"14049005034234653393";"2005";NA
"Capitalization of BRT network expansions effects into prices of non-expansion areas";"14930612208324155397";"2009";NA
" Future forms and design for sustainable cities";"2370741951161166355";"2005";NA
"Redistributive effects of bus rapid transit (BRT) on development patterns and property values in Seoul, Korea";"2765907686933992521";"2012";NA
"L'évolution des villes dans l'espace post-soviétique. Observation et modélisations.";"1307757021320289647";"2014";NA
"Comparing the output of cost benefit and multi-criteria analysis: An application to urban transport investments";"11119730724381419043";"2006";NA
"Is investment in high speed rail socially profitable?";"8971822581675494264";"2007";NA
"Territorial cohesion impacts of high-speed rail under different zoning systems";"1194486642962524679";"2014";NA
"Infrastructure, geographical disadvantage, transport costs, and trade";"3890467767525018910";"2001";NA
"The multi‐actor, multi‐criteria analysis methodology (MAMCA) for the evaluation of transport projects: Theory and practice";"16783901319221212720";"2009";NA
"Development of a temporal and spatial linkage between transit demand and land-use patterns";"8612868363866879140";"2013";NA
"Les interactions entre système de transport et système de localisation en milieu urbain et leur modélisation";"13649329046387955180";"2000";NA
