"TITLE";"ID";"YEAR";"CITCOM";"MODEL";"TYPE";"TEMPSCALE";"SPATSCALE";"METHODO";"EQU";"THEME";"CASE";"DISCIPLINE";"PROCESSES";"OBSERVATION";"LINK";"INTERDISC";"SEMCOM"
"Analysis of the impact of high-speed railroad service on air transport demand";"2741168611238703427";2006;NA;"no";"";NA;"";"survey";"";"";"";"transportation";"";"";"";0.785714285714286;"hsr"
"Roads, land use, and deforestation: a spatial model applied to Belize";"10120413830864362824";1996;NA;"yes";"territory";NA;"country";"stat";NA;"sustainibility";"Belize";"economics";"market,luc";"";"";0.73828125;"networks"
"Spatiotemporal urbanization processes in the megacity of Mumbai, India: A Markov chains-cellular automata urban growth model";"5526883927689977429";2013;NA;"yes";"territory";50;"metro";"ca";"no";"urban growth";"Mumbai";"geography";"luc";"";"";0.676242459063487;"networks"
"Analyse économique des configurations urbaines et de leur étalement";"4261196624544641724";2000;NA;"yes";"territory";25;"metro";"stat";NA;"urban growth";"stat";"economics";"micro-eco,transport cost,market,amenities";"";"";NA;NA
"Modeling the spatial dynamics of regional land use: the CLUE-S model";"11472243155749927644";2002;NA;"yes";"territory";25;"region";"ca";"no";"sustainibility";"Philippines, Malaysia";"environment";"luc";"";"";0.730034722222222;"tod"
"Modelling the joint access mode and railway station choice";"7836108439721214640";2009;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";0.664176960643493;"hedonic"
"Why do the poor live in cities? The role of public transportation";"4592975781722496335";2008;NA;"hs";"";NA;"";"";"";"";"";"economics";"";"";"";0.680384087791495;"infra planning"
" Handbook of regional and urban economics: cities and geography";"12440628822469350927";2004;NA;"hs";"";NA;"";"";"";"";"";"economics";"";"";"";NA;NA
"Modeling urban expansion scenarios by coupling cellular automata model and system dynamic model in Beijing, China";"5280571749216175921";2006;NA;"yes";"territory";30;"metro";"ca,systemdynamics";"no";"urban growth";"Beijing";"geography";"luc";"";"";0.746877054569362;"infra planning"
" Ecogenèse territoriale et territorialité";"17145424911259202104";1986;NA;"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"Alternative transportation modes in an urban land use model: a general equilibrium approach";"3165364121707577821";1979;NA;"yes";"network";0;"metro";"eq";"yes";"transportation";"stat";"economics";"transportation demand";"";"";0.732510288065844;"networks"
"The land use and transit connection in Toronto: Some lessons for Australian cities";"2456603338811174337";1991;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Can the high speed rail reinforce tourism attractiveness? The case of the high speed rail between Perpignan (France) and Barcelona (Spain)";"12567231728166421187";2009;NA;"yes";"territory";20;"region";"eq";"yes";"hsr";"Perpignan";"economics";"agglomeration,dispersion";"";"";0.728550295857988;"tod"
"The effects of urban spatial structure on travel demand in the United States";"8979905650138042379";2005;NA;"hs";"";NA;"";"";"";"";"";"economics";"urban form";"";"";0.775554353704705;"infra planning"
"Multiple criteria decision-making techniques and their applications–a review of the literature from 2000 to 2014";"1709037592918865759";2015;NA;"hs";"";NA;"";"";"";"";"";"economics";"decision making";"";"";0.669444444444445;"networks"
"Do plans matter? The effects of light rail plans on land values in station areas";"5893033290987527886";2001;NA;"yes";"territory";5;"metro";"stat";NA;"tod";"Oregon";"planning";"land value";"";"";0.693028095733611;"hedonic"
"Reducing energy consumption through trajectory optimization for a metro network";"9996518109486866181";1975;NA;"hs";"";NA;"";"";"";"";"";"engineering";"";"";"";NA;NA
"An integrated model of facility location and transportation network design";"13527409584934730161";2001;NA;"hs";"";NA;NA;"ro";"no";"network design";"abstract";"transportation";"";"Co-design network/facility";"";0.756143667296786;"tod"
"Accessibility evaluation of land-use and transport strategies: review and research directions";"14903997275377177864";2004;NA;"no";"";NA;"";"";"";"accessibility";"";"geography";"accessiblity";"compares measures";"";0.491126543209877;"tod"
"Current operational urban land‐use–transport modelling frameworks: A review";"17564692245329390408";2005;NA;"review";"";NA;"";"";"";"luti";"";"transportation";"";"";"";0.733506944444444;"tod"
"Urban form and travel behaviour: micro-level household attributes and residential context";"6816438350432176732";2002;NA;"hs";"";NA;"";"";"";"";"";"economics";"";"";"";0.795277344620183;"hsr"
"A TOD planning model to review the regulation of allowable development densities around subway stations";"17412736314612590072";2006;NA;"yes";"territory";NA;"local";"ro";"";"tod";"Taipei";"planning";"density regulation";"";"";0.685185185185185;"tod"
"A study of on integrated intercity travel demand model";"9428224722855847242";2005;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";0.698567708333333;"hsr"
"Evolution of the transit-oriented development model for low-density cities: a case study of Perth's new railway corridor";"18352831680500291924";2008;NA;"no";"";NA;"";"";"";"tod";"Perth";"planning";"";"";"";0.665351742274819;"tod"
"Transport networks and spatial choices: A European perspective";"5327509358687884035";2007;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"Network design and transportation planning: Models and algorithms";"13527193772942453318";1984;NA;"hs";"";NA;"";"";"";"network design";"";"transportation";"";"";"";0.498765432098765;"tod"
"Transportation and Land Use";"8660477253315319284";2007;NA;"no";"";NA;"";"";"";"";"";"geography";"";"conceptual";"";0.562787639710717;"tod"
"Light rail proximity: Benefit or detriment in the case of Santa Clara County, California?";"6642187910472493264";2001;NA;"yes";"territory";NA;"region";"stat";NA;"housing market";"Santa Clara";"transportation";"housing market";"";"";0.653061224489796;"hedonic"
" A land-use/transport interaction model for Austria";"12023503774881923572";2009;NA;"yes";"territory";30;"country";"sim";"no";"luti";"Austria";"transportation";"active relocation,employment relocation,housing market";"";"";0.496301775147929;"tod"
"A coverage model for improving public transit system accessibility and expanding access";"7714873155324269506";2003;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";0.714710743801653;"infra planning"
"On the development of raem: The dutch spatial general equilibrium model and it's first application to a new railway link";"14419148078104479576";2001;NA;"yes";"territory";20;"region";"eq";"yes";"transportation";"Amsterdam";"economics";"market,monopolistic competition";"";"";0.65310650887574;"tod"
"Measuring territorial cohesion impacts of High-Speed Rail at different planning levels";"11015756863966592631";2010;NA;"hs";"";NA;"";"";"";"hsr";"";"economics";"";"";"";0.362112;"tod"
" The effect of infrastructure on long run economic growth";"18091431345429858831";2004;NA;"yes";"territory";50;"country";"stat";NA;"economic growth";"stat";"economics";"economic growth";"";"";0.688395061728395;"tod"
"Rail transit and joint development: Land market impacts in Washington, DC and Atlanta";"17274035543169056854";1994;NA;"yes";"territory";10;"local";"stat";NA;"office market";"Washington, Atlanta";"planning";"";"";"";0.746717971933001;"infra planning"
" The saga of integrated land use-transport modeling: how many more dreams before we wake up?";"17733260940907186980";2003;NA;"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"La Performance territoriale des réseaux de transport";"14348395245465787968";1997;NA;"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"Infrastructure, long‐run economic growth and causality tests for cointegrated panels";"3411011351715304243";2008;NA;"yes";"territory";50;"country";"stat";NA;"economic growth";"";"economics";"economic growth";"";"";0.670138888888889;"infra planning"
"The connection between public transit and employment: the cases of Portland and Atlanta";"9782602539524643904";1999;NA;"yes";"territory";10;"local";"stat";NA;"";"Washington, Atlanta";"economics";"employment";"";"";0.695652173913043;"infra planning"
"Multiple‐criteria decision support system in highway infrastructure management";"9673759713056410648";2008;NA;"hs";"";NA;"";"";"";"";"";"transportation";"decision making";"";"";0.631472423680216;"networks"
"Does high-speed rail accessibility influence residential property prices? Hedonic estimates from southern Taiwan";"7207311748950739271";2010;NA;"yes";"territory";0;"region";"stat";NA;"hsr";"Taiwan";"transportation";"housing market";"";"";0.693576388888889;"hedonic"
"Transit-oriented land planning model considering sustainability of mass rail transit";"2024160217331154543";2010;NA;"yes";"territory";0;"local";"ro";NA;"sustainibility";"Shenzhen";"planning";"";"";"";0.58;"tod"
"High speed rail: implication for cities";"18210480312465665176";2012;NA;"hs";"";NA;"";"";"";"hsr";"";"transportation";"";"";"";0.619113573407202;"tod"
"Impact of rapid transit on suburban residential property values and land development";"10362761944235665290";1972;NA;"no";"";NA;"";"";"";"land development";"";"economics";"";"";"";0.3422248661511;"hedonic"
"An application of an integrated transport network–multiregional CGE model: a framework for the economic analysis of highway projects";"7946482934883538573";2004;NA;"yes";"territory";0;"country";"eq";"yes";"transportation";"South Korea";"economics";"";"";"";0.6611328125;"tod"
" Aménagement du territoire et utilisation du sol";"16967190880366879666";1984;NA;"hs";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"A unifying modelling framework to simulate the Spatial Economic Transport Interaction process at urban and national scales";"8447436889705718760";2012;NA;"yes";"strong";NA;"country";"eq";NA;"";"";"economics";"";"conceptual";"";0.559766763848397;"tod"
" Les territoires du tramway moderne: de la ligne à la ville durable";"10809851577547721507";2005;NA;"hs";"";NA;"";"";"";"";"";"geography";"";"";"";0.375;"tod"
"Light-rail-transit impacts in Portland: The first ten years";"13938663556136217211";1999;NA;"yes";"territory";10;"local";"stat";NA;"";"Portland";"economics";"active relocation";"";"";0.769770408163265;"infra planning"
"LUTI model for the metropolitan area of Santander";"11426798802384056706";2013;NA;"yes";"territory";NA;"metro";"sim,stat";"yes";"luti";"Santander";"planning";"transportation policy";"";"";0.686380674718867;"tod"
