"The land-use impacts of urban rail transit systems";"14078813764339021668";"1996";"This article reviews research regarding the impacts of urban rail transit systems on real estate development in the United States and Canada. Transit played an instrumental role in urban expansion during the nineteenth century. More recently, rail transit has also often influenced urban development, but in conjunction with favorable zoning, attractive sites, and a strong market for development. Numerous examples of station-area projects can be found in San Francisco, Toronto, and Washington, D.C. In several cities, land near transit stations has realized rent premiums. The effects of rail transit on development, independent of zoning and other factors, are not readily identified. Most research has not examined specific real estate projects from the developer's perspective. It is not clear whether rail transit is the most cost-effective means of directing development, but if rail transit is built, then station-area development should be encouraged to enhance the returns on the investment.";"Herman Huang,"
"Transportation implications of metropolitan spatial planning in mega-city Beijing";"16645999085681599203";"2009";"In the mega-cities of developing countries, access to workplaces has become increasingly difficult due to dramatic rises in commuting times, reflecting both limited transport infrastructure and particular forms of metropolitan spatial planning. In the light of this, this article examines the impact of spatial planning on workers' commuting time, using the case of Beijing. The analysis, using travel data collected from 613 households in 2006, shows that workers' commuting time has a statistically significant relationship with location variables related to spatial planning, when socio-economic factors and transport provision are controlled for. Self-contained and high-density development as well as compact land use in the peripheral constellations could play a positive role in shortening workers' commuting times. At the same time, longer commuting times will result from illegal and dispersed development in green belts and outer suburban areas. The results suggest that better metropolitan spatial planning would be one efficient way of containing the dramatic growth of commuting times and congestion in central Beijing, particularly where local government has limited financial capacity to produce transport infrastructure in the context of a growing urban population. © Liverpool University Press 2009.";"B Lü,P Zhao,"
"Cities and highway networks in Europe";"8195558924340493347";"1996";"The highway system - a communications network on a national or international scale par excellence - is here examined in light of the relationships which it makes possible between cities (or poles) of European significance. The 'rank' of each of these cities, in terms of accessibility to the other poles, can be calculated mathematically and a hierarchy of these cities can thus be established. While the position of a given city within this hierarchy is linked to physical and human geography (natural barriers in the first case  boundary effects, extremely variable density according to country and region in the second), it is also linked to the characterics (especially topological) of the national highway systems. Copyright © 1996 Elsevier Science Ltd.";"Gabriel Dupuy,Vaclav Stransky,"
" Injecting a rapid rail link into a metropolis";"15543094506723780834";"2009";"The Gautrain Project being developed in the Gauteng province of South Africa is currently the largest construction project on the African continent. At an estimated cost of some US$3000 million, it surpasses any previous single project in South Africa, and will result in a vital rapid rail link between Johannesburg, Pretoria and Johannesburg's OR Tambo International Airport. The total route length of 80 km will comprise some 15 km in tunnels in Johannesburg, about 10.5 km on viaducts along various sections of the route, and the balance on the surface or in shallow open cuts. The Gautrain is being developed by the Gauteng Provincial Government through a Public Private Partnership concession contract with an international consortium of major players in the construction, public transport vehicle manufacturing and operations fields. While construction will take place over a period of some four years to 2011, the Concessionaire will operate the full system for a further 15 years, after which the Province will assume the responsibility. With ten stations being built along the route, some in virtual green field surroundings and others in high density urban areas, and some deep underground and others using air rights above ground, profound land use challenges and opportunities arise. Superimposing a rapid rail artery of this magnitude onto the urban landscape of three metropolitan areas is bound to have considerable environmental and land use impacts. This paper demonstrates, at a critical stage in the civil construction programme, how these impacts are being addressed and how the natural and built environment is being considered and perhaps even enhanced, rather than being adversely affected. © 2009 WIT Press.";"J. P. Du Plessis,"
"Transit-oriented development in San Diego County: The incremental implementation of a planning idea";"2711632327760691846";"1999";"Although transit-oriented development (TOD) has become an increasingly\npopular planning idea, very few studies have examined how localities\nplan for and implement transit-oriented projects. This article helps\nfill that gap by studying the TOD implementation process near stations\non the oldest of the current generation of light rail lines in the\nUnited States-the San Diego Trolley. Some parts of the San Diego Trolley\nhave been in operation since 1981, but there are still only a few\nprojects that both incorporate TOD concepts and were built after\nplanning for the nearby rail line began. TOD projects were pursued most\naggressively in the City of La Mesa, largely because TOD was consistent\nwith local goals that went beyond transportation. Elsewhere in the San\nDiego region  several barriers have limited TOD implementation. Overall,\nthe cities along trolley routes, though sympathetic to regional rail\nobjectives, have approached TOD from a perspective of local goals,\nopportunities, and constraints. The result is that regional TOD\nimplementation resembles the incremental model of policy-making. One\nimplication of the San Diego experience is that incorporating TOD\nconcepts into station-area developments is likely to be a slow process.";"N S Compin,M G Boarnet,"
"Analysis of the impact of high-speed railroad service on air transport demand";"2741168611238703427";"2006";"There has recently been a rather large reduction of between 34% and 75% in domestic aviation demand in Korea. The two primary causes were the introduction of several new highway services and the fact that Korea Train Express (KTX) began operating a route between Seoul and Daegu in April 2004. This study analyzes the effects on air traffic demand in terms of the impact of the opening of KTX by applying the Stated Preference (SP) survey method. The survey was conducted 8 months prior to the opening of the KTX. ?? 2005 Elsevier Ltd. All rights reserved.";"Yonghwa Park,Hun Koo Ha,"
" Developing a sustainability assessment model: the sustainable infrastructure, land-use, environment and transport model";"10547017315451312407";"2010";"Measuring the comparative sustainability levels of cities, regions, institutions and projects is an essential procedure in creating sustainable urban futures. This paper introduces a new urban sustainability assessment model: “The Sustainable Infrastructure, Land-use, Environment and Transport Model (SILENT)”. The SILENT Model is an advanced geographic information system and indicator-based comparative urban sustainability indexing model. The model aims to assist planners and policy makers in their daily tasks in sustainable urban planning and development by providing an integrated sustainability assessment framework. The paper gives an overview of the conceptual framework and components of the model and discusses the theoretical constructs, methodological procedures, and future development of this promising urban sustainability assessment model.";"Fatih Dur,Tan Yigitcanlar,"
"An integrated model of facility location and transportation network design";"13527409584934730161";"2001";"Network location models have been used extensively for siting public and private facilities. In this paper, we investigate a model that simultaneously optimizes facility locations and the design of the underlying transportation network. Motivated by the simple observation that changing the network topology is often more cost-effective than adding facilities to improve service levels, the model has a number of applications in regional planning, distribution, energy management, and other areas. The model generalizes the classical simple plant location problem. We show how the model can be solved effectively. We then use the model to analyze two potential transportation planning scenarios. The fundamental question of resource allocation between facilities and links is investigated, and a detailed sensitivity analysis provides insight into the model's usefulness for aiding budgeting and planning decisions. We conclude by identifying promising research directions. © 2001 Elsevier Science Ltd. All rights reserved.";"M.S. Daskin,S. Melkote,"
"Calibration of an integrated land-use and transportation model using maximum-likelihood estimation";"9299535133961645220";"2014";"The focus of this work is calibration of the land-use module of an integrated land-use and transportation model (ILUTM). The calibration task involves estimating key parameters that dictate the output of the land-use module. Hence, an algorithm based on maximum-likelihood estimation (MLE) is developed for calibration. Furthermore, the observed values of the outputs from the land-use module are assumed to admit a Gaussian error. The ILUTM methodology used here is TRANUS which is used to model the city of Grenoble in France. The aforementioned algorithm is then applied to calibrate the land-use module of the Grenoble model. The covariance of the Gaussian error term is assumed to be unknown. It is represented as a function of the land-use module inputs and hyperparameters.â' The resulting MLE optimization problem has 111 parameters to be estimated, 90 of which are land use parameters and 21 are hyperparameters of the Gaussian covariance kernel. The performance of the proposed calibration methodology is then compared to the traditional calibration techniques used for land use and transportation models, when applied to the Grenoble land-use model. It is observed that the proposed method outperforms the traditional technique when compared based upon a given quantity of interest. [ABSTRACT FROM AUTHOR]";"Emmanuel Prados,Elise Arnaud,Parikshit Dutta,Mathieu Saujot,"
" Towards a land use and transport interaction framework";"1710252771559171104";"2012";"The on-going globalisation and the increasing demand for flexibility in modern businesses have made transport, together with business logistics, a major functional domain. Transport growth is essentially for economic growth but is not without negative impacts. External effects such as pollution, congestion, accidents and damage to infrastructure generate considerable social costs that impose a heavy burden on society. This title addresses the need to develop new freight transport models and scientific tools to provide sound solutions that consider the wide range of internal and external impacts. The international contributions push forward frontiers in freight transport modelling and analysis.";"Advance Program,Andre Tok,Ozlem Yanmaz-tuzel,Herbert S. Levinson,Ali Gul Qureshi,John McDaniel,Final Report,Magnus Johansson,Wiljar Hansen,Jeff Ban,Joseph Y J Chow,Stephen G Ritchie,Adam Zaranko,Angel Medina,Justin Ryan,A Perujo,N Tzelepi,Satish Ukkusuri,Thierry Vanelslander,Tom Petersen,Maria Lindholm,Abdus Salam,Wilfredo F. Yushimito,Michael Brooks, Oregon DoT,Stacey Darville Hodge,Funded By,Peter Foytik,Jeff Coughlin,Miguel Jaller,Qi Gong,Fredrik Ikevall,James P. Dobbins,Alexandra Soto,Hugh Gunn,Vittorio Marzano,Arjan Van Binsbergen,Brian Alstadt,Armin H Meyburg,Raymond K Cheung,Yamilka López-genao,C Macharis,Jonathan Skolnik,D Patier,Wilbur Associates,Michael a. Silas,Freightvision Forum,Mehrdad Shahabi,Fulvio Simonelli,Gunyoung Kim,Rinaldo Cavalcante,Jean-Daniel Saphores, Cambridge Systematics,Marvin Kraus,Ph.D. Li, Wei, Jean-Daniel Saphores,Mona Pettersson,Conference Summary,Jan C. Fransoo,Robert E Paaswell, MDS Transmodal Limited,Igor Davydenko,Urban Björketun,Richard Williams,Arild Vold,Socrates Basbas,Ross Sheckler,Rune Karlsson,Mariana Figueiredo Penaforte,Gordon Wilmsmeier,Christine Gurganus,Iván Sánchez,Denis Bolduc, BMVBS, Trafikanalys,Franziska Knaack,Prepared N Kouvaritakis,Christophe Grigentin,Jean-Paul Rodrigue,Tabitha Maes,J.J Trip,Frank Southworth,Todd Litman,M Volny,Model Description,Kazuya Kawamura,Pierre Vilain,Executive Vice President,Jose Holguin-Veras,Erin Kersh,Reggio Calabria,Brian Slack,T O Process,A Winder,Mikal Holmblad Dtf,Antonio Comi,Anna Mellin,Robyn Marquis,D G Tren,Katrien Ramaekers,Michael J Demetsky,Low-carbon Future,Gerard Jong,Stephan Müller,Deepak Baindur,T. Cherrett,Woongyi Kim,J.M. Giannopoulos, G.A.  Mitsakis, E. Salanova,Ernst Riehle,Efstathios Bouhouras,José Manuel Viegas,Helen Kwan,Newell Brooks,Alan Horowitz,Yeow Chern,Qian Wang,Christian Würtz Ctt,KM Chase,Juan C Zorrilla,Xuegang (Jeff) Ban,Ulrich Glöckl,Stephan Moll,Demand Models,Jinge Hu,Gopal R Patil,Viggo Jean-Hansen,Thomas Isrealsen,Miyuan Zhao,Jon Williams,Natalia Anders,Carsten Sachse,Tor Vergata,Arturo Bujanda,The Microsimulation Team,Anne Strauss-Wieder,Kitae Jang,Harry Cohen,Carlos Moran Toledo,Viktor Prasanna,M Pregl,Ram Pendyala, TRB,Shmuel Yahalom,Werner Jammernegg,Iván Sánchez-Díaz,Jens Klauenberg,William M. Lyons,Jan R Eriksson,Maritime Program,Truck Trip,Axel Wolfermann,Kermit Wies,Haley Peckett,Shih Miao Chin,Mark Ferguson,Leonardo J. Basso,Drew Harbinson,Jeppe Rich,Michael Browne,Nielsen Ctt, Trafikverket,Astrid Cullmann,Mattias Dahlb,William H Hart,Stephen Hansen,Sönke Behrends,Dirk Zumkeller, Shanshan Zhang,Karsten Sten Pedersen,Nathan Eckstein,Kristin Stefan,Eiichi Taniguchi,Gregory Larson,Marin Marinov,Sergio Jara-Díaz, Global Insight,C.O. Christian Overgård Overgaard Hansen,Paolo Delle Site,Markus Hesse,Panayotis Christidis, Parsons Brinckerhoff,John Norris,Modelling Applications,Matthew Barth,Carlos González-Calderón,Jeffrey Wojtowicz,Jaco van Meijeren,Matthew J. Roorda,National Freight,Ching-yao Chan,Christian von Hirschhausen,Bo Zhang,Rick Schuman,Jan A. Persson,Antonio Gschwender,Yoshitsugu Kanemoto,Ribeiro De Souza,Stephen Anderson,Asad Khattak,Cristiane Duarte,Catherine T. Lawson,Analysis Tool,Prospective Technological Studies,Erica Levine Powers,Ellen Thorson,Sylvia Yngström-Wang,Qiang Meng,H. Murat Celik,Linda Ramstedt,Cristiano Farias Almeida,Vehicle Demand,California Path,Framework Programme,Judy H Tong,Agostino Nuzzolo,Institute of Transportation Engineers,Jean-loup Madre, Antwerp Unviersity,Yaeko Yamashita,Petter Wikström,Yi-ru Chen,Lóránt A Lori Lóri Lóránt Tavasszy, Trafikkontoret,Kathleen l. Hancock,Kaan OZBAY,Lisa Destro,Jenny Karlsson,Pavlos Kanaroglou,Bruce Lambert,Gerhard Bauer,Ho-ling Hwang,Xiaokun (Cara) Wang,European Commission,Inger Beate Hovi,Education August, Stephen Hansen,V Panos,R. Michael Robinson,Iván Sarmiento,Andrew Nash, European Commission,Joel S. E. Teo,Ulrich Weidmann,Mark D. Abkowitz,F O R Commercial,Michael Lawrence,David Sackey, jara Diaz,Generation Data,Kanok Boriboonsomsin, Allan Woodburn,Paul Davidsson,Jason Yao,Wei Li,Juan Carlos Villa,Alain Kornhauser, Christian Overgaard,Tadashi Yamada,César Ducruet,Urban Planning,J.Enrique Fernández,Jean-François Perrin,Public Affairs,JOSEPH BERECHMAN,Guillaume Leduc,BEKIR BARTIN,François Combes,Inge Vierth,José Holguín-Veras,Christian Overgaard,Matthew a. Brom,C Vellay,Jeffrey Short,Jessica Y Guo, Transek,Danmarks Transportforskning,Norfolk Southern Corporation,L Mantzos,Julian Allen,Carlos Bastida,Ramakrishna Soma,Randy Mullett, Jeffery Karafa,Qin Chen,Terry L Friesz,Stephanie McCabe,Peter W. de Langen,Shrisan Iyer,Amol Bakshi,Ronald Apriliyanto Halim,Chen-fu Liao,Y.M Bontekoning,Ed Howard,Theo Notteboom,Thomas H Zunder,Karel H. van Donselaar,P a P Moran,Huili Wang,Jie (Jane) Lin,Stefan Huber,Brandon Allen,Miguel Figliozzi,Policy Program,Mikal Holmblad,Niklas Arvidsson,Sergio R. Jara-Dı́az,Qunzhi Zhou,Avinash Unnikrishnan,Jay Q Park,Olga Ivanova,Dimitri Arkhipov,Sebastian Schneider,H.M. Michael Zhang,Brenda Cruz,Joaquı́n de Cea Chicano,Christer Persson,Amir H Meimand,Michiel Minderhoud,Deborah H Butler,Eddy Van de Voorde,George F List,Shuaian Wang,Barbara Lenz,Erik T Verhoef,D Ph,T Phelan,Peter W de Langen,Jason Monios,Herbert Mohring,Ole Kveiborg,Bruce E Peterson,Franciscco Martinez,Hanna Maoh,Freight Transportation Modal,Jardar Andersen,Francesco Filippi,Kees Ruijgrok,Hulian Teng,Takamasa Nakamura,Morten Steen,Mariano Gallo,B. Starr McMullen,Jun Duanmu,Francesco Russo,Stephanie Camay,Shama Campbell,Paul Kauffmann,David Bonilla,Nickas Lord,Gerrit K Janssens, SIKA,Roel Geavers, Vägverket,Tingsong Wang,Robert Baker,Marcus Wigan,Ellen Zielinski,Francisco Moraes Oliveira-Neto,Tom Bellemans,Taha Hossein Rashidi,Johan Holmgren,Morten Steen Petersen,Tetsuro Hyodo,J Nicolas Ibanez,Stefan Rommerskirchen,Rick Donnelly,Michael Fischer,Koji Imai,Zhen (Sean) Qian,Moshe Ben-akiva,Robert Lim,Russell G Thompson,Lorant A Tavazzy,Christian Overgård,Dieter Wild,An Caris,Behzad Kordnejad,Otto Anker,Jacques Leonardi,Roy Booth,Noel Pérez,Frank P. van den Heuvel,John Polimeni,Wonmongo L. Soro,Jerome Verny,P Anater,Talha Muhammad,Passively-collected G P S Data,Johan Visser,Sajjad Hussain,Peter Sch,"
