id	title_en	keywords_en	authors	date	langue	translated
88	A trip by Paul Vidal de la Blache to the Valencia huerta of Spain (1906)	history of geography,Spain,Vidal de la Blache	Courtot Roland	2006-10-13	fr	1
26749	Sala Pala V., 2013, Discriminations ethniques. Les politiques du logement social en France et au Royaume-Uni, Rennes, Presses Universitaires de Rennes, collection « Res Publica », 302 p.		Saint-Julien Thérèse	2015-02-17	fr	0
90	Katrina and the New Orleans : Analyzing New-Orleans' recent disaster	actors' strategy,crisis,environment,hazard,land planning,sustainability,urban development	Mancebo François	2006-10-12	fr	1
7242	Choluteca : honduran city of the world system?	agricultural processing industry,enclave,Honduras,intermediate city,urban actors,world system	Hardy Sébastien	2007-06-22	fr	1
2856	The use of Remote Sensing Technology in geological Investigation and mineral Detection in El Azraq-Jordan	data fusion,lineament,lithology,minerals detection,ratio	Rawashdeh Samih Al,Saleh Bassam,Hamzah Mufeed	2006-10-23	en	1
129	Anamorphosis Mapping	anamorphosis,cartography	Langlois Patrice,Denain Jean-Charles	1996-04-14	fr	1
137	The price of private housing in the Rouen urban area in 1993	house price,interpolation,France	Freire-Diaz Sylviano	1996-06-03	fr	1
145	Interpolation de données ponctuelles		Langlois Patrice	1996-06-05	fr	0
146	Bibliographie sur les transformations cartographiques		Cauvin Colette	1996-06-14	fr	0
148	The debate on the standardization of statistical maps and diagrams (1857-1901). elements for the history of graphical language. 	cartogram,diagram,graphical semiotic,international congresses,map,statistic	Palsky Gilles	1999-03-16	en	1
361	Predicting Wine Quality from Terrain Characteristics by Regression Trees	wine quality,terrain characteristic,regression classification,CART,ecology of wine cultivation	Schwarz Reiner	1997-11-07	en	1
153	Paleohydrography and archaeology in the Tricastin Region : From aeral archaeology to satellite remote sensing	remote sensing,photointerpretation,archaeology,antiquity,centuriation	Tounsi Ibtissem,Jung Cécile,Berger Jean-François,Chouquer Gérard	1999-03-17	fr	1
168	Distribution of Online Cartographic Products in Australia	internet,GIS,cadastral databases,health,Victoria,Australia,data dissemination	Escobar Francisco J.,Polley Iestyn S.,Williamson Ian P.	2000-03-07	en	1
4133	La mobilisation contre Le Pen  entre les deux tours de l’élection présidentielle de 2002 : le sursaut et les fissures		Bussi Michel,Colange Céline,Gosset Jean-Paul	2002-06-13	fr	0
194	Cognitive and cartographic representations : towards a comprehensive approach	bidimensional regression,cartographic comparison,Cognitive representation,sketch map,spatial cognition,spatial knowledge,spatial learning,survey technics,textual analysis	Cauvin Colette	2002-01-15	en	1
213	Geography in the European School Programs	teaching geography,Europe	Chevalier Jean-Pierre	2000-03-15	fr	1
219	L'île mystérieuse - JULES VERNE - 1874 <br />HYDROGRAPHIE ET OROGRAPHIE. L'ÎLE EST-ELLE HABITÉE ?<br />BAPTÊME DES BAIES, CAPS, GOLFES, RIVIÈRES...		TISSIER Jean-Louis	1996-04-25	fr	0
221	Progresses in Theoretical and Quantitative Geography in France	theoretical and quantitative geography,spatial analysis	Pumain Denise,Rozenblat Céline,Mathian Hélène	1996-05-03	fr	1
227	The Intellectual Construction of &quot;Social Distance&quot;: Toward a Recovery of Georg Simmel’s Social Geometry		Ethington Philip J.	1997-09-16	en	1
5782	Once forgotten reefs… historical images in the scramble for the south china sea	South China Sea,China,Vietnam,Philippines,territorial conflict,territorial image,law of the sea,border	Lasserre Frédéric	1999-04-22	en	1
4020	A field-based crop and land use map over Sanjiang plain in Heilongjiang derived from multi-temporal imagery of Landsat7-ETM+	CGMS,China,maximum Likelihood classification,per-field filter,post-classification,segmentation	Eerens Herman,Dong Qinghan,Ozer Pierre,Li Xiufen	2003-09-19	en	1
22410	Cultural and educative action and urban policy	city,urban policy,education,urban geography,cultural geography,pedagogy,teenagers,arts	Dumont Gérard-François	1999-02-10	fr	1
22447	OSIRIS-Multirisques: a method and decision support tool for localities exposed to major hazards	crisis preparation,decision support,Local Emergency Plan,multiple hazards	Morel Gilles,Hissel François,Aunay Sylvain,Démotier Sabrina	2009-07-02	fr	1
4036	What is landscape in the Muslim culture ?		Latiri Lamia	2001-10-16	fr	1
5284	Les géographes ont-ils quelque chose de spécifique à dire sur l´exclusion ?		Guermond Yves	1996-04-25	Fr	0
1796	Pierre Deffontaines' biography and bibliography	history of geography,biography	Delfosse Claire	2000-03-09	fr	1
274	Présentation du Programme Interdisciplinaire de Recherche sur la ville du CNRS			1996-04-16		0
275	Lines of sociological analysis of times policies in the city		Belloni Carmen	1996-04-12	en	1
277	Urban biodiversity: is there such a thing?		Clergeau Philippe	1996-04-12	en	1
279	L’information routière : quel effet sur le trafic ?		Cohen Simon	1996-04-12	fr	0
281	Mobility in Strasbourg form 1870 to 1940		Hahn Franz Joseph,Pinol Jean-Luc	1996-04-12	en	1
284	Cityrhythms		Henckel Dietrich	1996-04-12	en	1
6085	La densité a-t-elle une influence sur les comportements sociaux ? Des échelles territoriales différentes		Le Bras Hervé	1996-04-12	fr	0
286	Modélisation des tassements du sous-sol urbain		Kastner Richard	1996-04-12	fr	0
288	La densité a-t-elle une influence sur les comportements sociaux ? Des échelles territoriales différentes		Le Bras Hervé	1996-04-12	fr	0
6736	Quality of the supply and use of the public transportation in urban areas	bus transportation supply,modal choice,modal efficiency,urban mobility	Genre-Grandpierre Cyrille	2007-06-05	fr	1
22918	Process of job allocation for primary school teachers beginners in north of France	beginner,IUFM,mobility,North of France,primary school teacher	Leroux Xavier	2010-02-10	fr	1
290	Psychotropic drug use : its social and geographical context		Le Moigne Philippe	1996-04-12	en	1
292	Urban rain water drainage networks		Miramond Marcel	1996-04-12	fr	0
