stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
microcirculation network one-way organization traffic	one-way traffic organization of microcirculation network	one-way traffic organization of microcirculation network	6	3,9714236158	19,5966857103	157,408028086	1,0	8,0	 
complex network	complex networks	complex networks|&|Complex networks	2	6,29455750551	28,1609858749	371,135464103	2,0	3,0	 
21st century	21st century	21st century	2	7,86819688189	27,9916764642	230,513071925	5,0	23,0	 
distance exit motorway	distance from a motorway exit	distance from a motorway exit	5	3,9714236158	19,5966857103	365,35555589	1,0	7,0	 
network system	system of networks	system of networks|&|network system|&|system network|&|system networks	3	6,29455750551	25,6087624354	152,262137912	4,0	26,0	 
growth process urban	process of urban growth	process of urban growth	4	3,9714236158	16,8439046282	337,715941477	2,0	20,0	 
future public transportation	future of public transportation	future of public transportation	4	3,9714236158	16,8439046282	222,265412685	2,0	28,0	 
network public transportation	public transportation network	public transportation network	3	5,95713542369	22,8504463837	288,287693529	3,0	9,0	 
choice model route	route choice model	route choice model	3	3,9714236158	16,8439046282	178,237650486	2,0	14,0	 
development transportation urban	urban transportation development	urban transportation development|&|development of urban transportation	3	5,95713542369	22,8504463837	191,828570122	3,0	20,0	 
network planning	network planning	network planning	2	6,29455750551	28,1609858749	129,341636878	2,0	11,0	 
reliability time travel	travel time reliability	travel time reliability	3	9,92855903949	42,1097615705	166,571006418	2,0	21,0	 
growth impact urban	impacts of urban growth	impacts of urban growth	4	3,9714236158	16,8439046282	337,715941477	2,0	20,0	 
automobile dominance overall passenger transportation urban	overall dominance of automobiles in urban passenger transportation	overall dominance of automobiles in urban passenger transportation	8	3,9714236158	16,8439046282	222,265412685	2,0	28,0	 
bi-level model program	bi-level program model	bi-level program model	3	3,9714236158	19,5966857103	177,58907855	1,0	7,0	 
growth transportation urban	urban growth and transportation	urban growth and transportation|&|urban transportation growth	4	7,94284723159	33,6878092564	231,482046374	2,0	13,0	 
congestion traffic	traffic congestion	traffic congestion	2	9,44183625827	33,590011757	128,455074279	6,0	64,0	 
algorithm genetic	genetic algorithm	genetic algorithm	2	4,72091812914	19,2065718266	140,403210447	3,0	31,0	 
development regional	regional development	regional development	2	9,44183625827	42,2414788124	231,955212241	2,0	9,0	 
network traffic transportation	traffic and transportation network	traffic and transportation network|&|traffic network transportation	4	7,94284723159	33,6878092564	303,967429899	2,0	5,0	 
cost travel	travel cost	travel cost|&|cost of travel	2	4,72091812914	19,2065718266	279,794675816	3,0	10,0	 
analytic finding method	analytic methods and findings	analytic methods and findings	4	3,9714236158	16,8439046282	222,265412685	2,0	28,0	 
energy passenger transportation	passenger transportation energy	passenger transportation energy	3	3,9714236158	19,5966857103	152,650706444	1,0	4,0	 
length path	path length	path length	2	6,29455750551	28,1609858749	248,826694043	2,0	8,0	 
city new	new cities	new cities	2	4,72091812914	21,1207394062	261,373930525	2,0	6,0	 
time travel	travel time	travel time|&|travel times	2	22,0309512693	74,3599767667	190,532410387	7,0	47,0	 
demand travel	travel demand	travel demand|&|travel demands|&|demand for travel	2	17,3100331402	49,5832875547	144,005864942	10,0	77,0	 
strategy transportation	transportation strategy	transportation strategy	2	4,72091812914	21,1207394062	206,331419688	2,0	12,0	 
growth sustainable urban	sustainable urban growth	sustainable urban growth	3	3,9714236158	16,8439046282	337,715941477	2,0	20,0	 
growth sprawl urban	urban growth and sprawl	urban growth and sprawl	4	5,95713542369	25,2658569423	337,715941477	2,0	20,0	 
consequence growth urban	consequences of urban growth	consequences of urban growth	4	3,9714236158	16,8439046282	337,715941477	2,0	20,0	 
policy transportation	transportation policy	transportation policy	2	6,29455750551	28,1609858749	170,490201063	2,0	11,0	 
accident future motor vehicle	motor vehicle accidents and the future	motor vehicle accidents and the future	6	3,9714236158	16,8439046282	222,265412685	2,0	28,0	 
sprawl urban	urban sprawl	urban sprawl	2	6,29455750551	23,7979310871	252,604925896	4,0	18,0	 
network performance transportation	transportation network performance	transportation network performance|&|performance of a transportation network	3	3,9714236158	16,8439046282	284,045261317	2,0	10,0	 
transportation trend urban	urban transportation trends	urban transportation trends|&|trends in urban transportation	3	3,9714236158	16,8439046282	301,214877658	2,0	11,0	 
capacity network	network capacity	network capacity	2	12,589115011	51,2175248709	179,396393823	3,0	24,0	 
analysis basis factual policy	factual basis for policy analysis	factual basis for policy analysis	5	3,9714236158	16,8439046282	222,265412685	2,0	28,0	 
consumption energy transportation	transportation energy consumption	transportation energy consumption	3	3,9714236158	16,8439046282	256,812288694	2,0	12,0	 
mode transport	transport modes	transport modes|&|transport mode	2	6,29455750551	25,6087624354	152,352171865	3,0	28,0	 
development urban	urban development	urban development	2	11,0154756347	41,6463794024	178,889246948	4,0	27,0	 
planning urban	urban planning	urban planning	2	7,86819688189	27,9916764642	311,845748146	5,0	23,0	 
control simple strategy	simple control strategies	simple control strategies	3	3,9714236158	19,5966857103	155,027731872	1,0	5,0	 
method solution	solution methods	solution methods	2	6,29455750551	25,6087624354	253,823357538	3,0	9,0	 
form urban	urban form	urban form	2	7,86819688189	27,9916764642	252,775245808	5,0	28,0	 
growth population	population growth	population growth	2	7,86819688189	29,7474138589	192,40118941	5,0	30,0	 
approach case promising	promising approaches in each case	promising approaches in each case	5	3,9714236158	16,8439046282	222,265412685	2,0	28,0	 
penalty turn	turn penalty	turn penalty|&|turn penalties	2	4,72091812914	24,393030497	435,33131527	1,0	3,0	 
layout network planning	network layout planning	network layout planning	3	3,9714236158	19,5966857103	216,631930181	1,0	3,0	 
growth population rapid	rapid population growth	rapid population growth	3	3,9714236158	16,8439046282	166,742334756	2,0	22,0	 
growth relationship urban	relationship between urban growth	relationship between urban growth|&|relationship with urban growth	4	5,95713542369	25,2658569423	131,227257192	2,0	14,0	 
empirical model theoretical	theoretical model and empirical	theoretical model and empirical	4	3,9714236158	19,5966857103	414,619022848	1,0	3,0	 
design network problem	network design problem	network design problem	3	9,92855903949	38,0840773062	189,081294193	3,0	31,0	 
design network	network design	network design	2	6,29455750551	23,7979310871	246,387594392	6,0	41,0	 
model programming	programming model	programming model|&|programming models	2	9,44183625827	33,590011757	189,613288497	5,0	38,0	 
growth management urban	urban growth management	urban growth management	3	5,95713542369	25,2658569423	273,070381702	2,0	11,0	 
emission vehicular	vehicular emissions	vehicular emissions	2	6,29455750551	28,1609858749	133,437914681	2,0	16,0	 
system transportation	transportation system	transportation system|&|transportation systems	2	61,3719356788	119,56075638	147,890818843	29,0	160,0	 
land transportation use	transportation and land use	transportation and land use|&|land use transportation	4	3,9714236158	16,8439046282	205,29950336	2,0	11,0	 
network optimization transportation	transportation network optimization	transportation network optimization	3	3,9714236158	16,8439046282	185,091435161	2,0	14,0	 
growth management	growth management	growth management	2	15,7363937638	59,4948277177	267,105854677	4,0	19,0	 
freight network transportation	freight transportation network	freight transportation network	3	7,94284723159	33,6878092564	309,971568636	2,0	8,0	 
consumption energy	energy consumption	energy consumption|&|energy consumptions	2	11,0154756347	41,6463794024	178,099426898	6,0	38,0	 
growth rapid	rapid growth	rapid growth	2	6,29455750551	25,6087624354	242,949247844	3,0	11,0	 
assignment traffic	traffic assignment	traffic assignment	2	9,44183625827	38,4131436532	230,477551279	3,0	17,0	 
road transportation	road transportation	road transportation|&|transportation by road	2	6,29455750551	28,1609858749	185,254383104	3,0	27,0	 
problem salient several transportation urban	several salient problems of urban transportation	several salient problems of urban transportation	6	3,9714236158	16,8439046282	222,265412685	2,0	28,0	 
equilibrium network transportation	equilibrium of the transportation network	equilibrium of the transportation network|&|transportation network equilibrium	5	3,9714236158	16,8439046282	284,687150762	2,0	7,0	 
clearance network time	network clearance time	network clearance time	3	3,9714236158	16,8439046282	403,83100885	2,0	9,0	 
infrastructure transportation	transportation infrastructure	transportation infrastructure	2	7,86819688189	35,2012323436	249,265967706	2,0	14,0	 
planning transportation	transportation planning	transportation planning	2	9,44183625827	33,590011757	227,184049534	10,0	50,0	 
design network transportation	transportation network design	transportation network design	3	7,94284723159	30,4672618449	195,01264157	3,0	22,0	 
analysis growth urban	analysis of urban growth	analysis of urban growth	4	3,9714236158	16,8439046282	337,715941477	2,0	20,0	 
container network system transportation	containers transportation network system	containers transportation network system	4	3,9714236158	19,5966857103	245,868460535	1,0	5,0	 
pattern process undesirable	undesirable pattern or process	undesirable pattern or process	4	3,9714236158	16,8439046282	337,715941477	2,0	20,0	 
groundwater level	groundwater levels	groundwater levels	2	4,72091812914	24,393030497	265,513952775	1,0	2,0	 
quality service	service quality	service quality|&|quality of service	2	4,72091812914	21,1207394062	333,809269093	2,0	6,0	 
growth smart	smart growth	smart growth|&|Smart growth	2	14,1627543874	50,3850176355	361,905914915	5,0	17,0	 
economic growth	economic growth	economic growth|&|Economic growth	2	6,29455750551	23,7979310871	207,586638699	4,0	21,0	 
density link	link densities	link densities	2	4,72091812914	24,393030497	155,027731872	1,0	5,0	 
growth urban	urban growth	urban growth|&|Urban growth|&|growth urban	2	48,7828206677	108,423276448	267,70197371	24,0	107,0	 
planning transportation urban	urban transportation planning	urban transportation planning	3	9,92855903949	35,2278088652	222,441040281	4,0	20,0	 
development growth urban	urban growth and development	urban growth and development|&|urban growth so that development	4	3,9714236158	16,8439046282	254,556552623	2,0	8,0	 
equilibrium user	user equilibrium	user equilibrium	2	7,86819688189	40,6550508284	195,074255432	3,0	27,0	 
network transportation	transportation network	transportation network|&|transportation networks|&|network transportation	2	110,154756347	162,823094138	234,06855224	53,0	241,0	 
degree distribution	degree distribution	degree distribution	2	4,72091812914	21,1207394062	296,043103763	2,0	7,0	 
performance system	system performances	system performances|&|system performance	2	4,72091812914	19,2065718266	223,719905445	3,0	16,0	 
network road	road network	road network	2	11,0154756347	41,6463794024	135,816080162	5,0	48,0	 
level service	service level	service level|&|level of service	2	4,72091812914	19,2065718266	131,476806519	3,0	16,0	 
information system	information systems	information systems	2	6,29455750551	25,6087624354	217,857821748	3,0	13,0	 
equilibrium model user	user equilibrium model	user equilibrium model	3	3,9714236158	16,8439046282	145,603174291	2,0	22,0	 
area urban	urban areas	urban areas|&|urban area	2	23,6045906457	61,4205728754	161,222640473	13,0	91,0	 
efficiency network transportation	transportation network efficiency	transportation network efficiency|&|efficiency of the transportation network	3	9,92855903949	42,1097615705	336,464780865	2,0	12,0	 
choice route	route choice	route choice	2	6,29455750551	28,1609858749	174,439579938	3,0	23,0	 
air pollution	air pollution	air pollution	2	6,29455750551	23,7979310871	184,386880747	4,0	43,0	 
transportation urban	urban transportation	urban transportation|&|Urban transportation|&|transportation and urban	2	18,8836725165	56,0804526244	136,664229416	14,0	110,0	 
demand traffic	traffic demand	traffic demand	2	12,589115011	47,5958621742	140,695701954	4,0	45,0	 
public transportation	public transportation	public transportation	2	9,44183625827	38,4131436532	223,094802624	5,0	40,0	 
land use	land use	land use|&|land uses	2	20,4573118929	58,5984307465	248,403070472	11,0	70,0	 
Indian city	Indian cities	Indian cities|&|Indian city	2	4,72091812914	21,1207394062	278,40020873	2,0	9,0	 
