stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
land rent	land rent	land rent|&|land rents	2	17,3100331402	66,5771467101	313,697441978	6,0	35,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	92,862010536	1076,63255841	3,0	11,0	 
environment urban	urban environment	urban environment|&|urban environments	2	22,0309512693	71,3808020073	295,438656151	11,0	60,0	 
metropolitan region	metropolitan region	metropolitan region	2	4,72091812914	21,4296947391	309,167203304	3,0	19,0	 
center city	city center	city center	2	6,29455750551	26,7620949704	546,596865783	4,0	26,0	 
parameter structure	structure parameters	structure parameters	2	4,72091812914	23,3438623187	317,328891599	2,0	10,0	 
heat island	heat islands	heat islands|&|heat island	2	6,29455750551	28,5729263188	570,664107785	3,0	21,0	 
analysis regression	regression analyses	regression analyses	2	4,72091812914	21,4296947391	444,566699625	3,0	20,0	 
spatial variation	spatial variation	spatial variation	2	4,72091812914	23,3438623187	388,567788206	2,0	12,0	 
metric spatial	spatial metrics	spatial metrics	2	9,44183625827	46,6877246374	270,81744391	2,0	16,0	 
public space	public spaces	public spaces|&|public space	2	6,29455750551	28,5729263188	341,849095178	3,0	13,0	 
gravity model	gravity model	gravity model	2	4,72091812914	23,3438623187	523,057306142	2,0	12,0	 
spatial structure urban	urban spatial structure	urban spatial structure|&|Urban spatial structure|&|urban spatial structures|&|spatial structure and urban	3	97,299878587	185,72842881	481,914212083	35,0	185,0	 
expansion land urban	urban land expansion	urban land expansion	3	7,94284723159	34,2076202219	295,356351154	3,0	20,0	 
enforcement law	law enforcement	law enforcement	2	4,72091812914	23,3438623187	553,192570503	2,0	10,0	 
population size	population size	population size	2	7,86819688189	35,7161578985	328,201911576	3,0	16,0	 
development process	development process	development process|&|processes of development|&|development processes	2	6,29455750551	28,5729263188	262,655939263	3,0	15,0	 
congestion traffic	traffic congestion	traffic congestion	2	4,72091812914	21,4296947391	491,405415375	3,0	12,0	 
density housing	housing density	housing density	2	6,29455750551	28,5729263188	306,379492675	3,0	26,0	 
forest urban	urban forests	urban forests	2	4,72091812914	23,3438623187	384,181578957	2,0	19,0	 
bird community	bird communities	bird communities|&|bird community	2	12,589115011	62,2502995165	414,850233205	3,0	33,0	 
demand elasticity housing price	price elasticity of demand for housing	price elasticity of demand for housing	6	5,95713542369	28,071125725	584,554972117	2,0	13,0	 
system transportation	transportation system	transportation system	2	9,44183625827	40,1431424556	391,899553344	4,0	20,0	 
