stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
analysis function stability transient	function for transient stability analysis	function for transient stability analysis|&|function of transient stability analysis	5	3,9714236158	21,5557147704	295,96823965	1,0	7,0	 
critical point	critical points	critical points	2	4,72091812914	21,5353125251	391,334654967	3,0	14,0	 
information power system	power system information	power system information	3	3,9714236158	18,8029336883	378,820657886	2,0	12,0	 
analysis power system tool	power system analysis tool	power system analysis tool	4	3,9714236158	18,8029336883	185,956835696	2,0	8,0	 
calculation result	calculation results	calculation results	2	6,29455750551	26,9029186852	181,31952075	4,0	21,0	 
flow load	load flow	load flow|&|load flows	2	6,29455750551	26,9029186852	197,240493714	4,0	21,0	 
result simulation	simulation results	simulation results|&|simulation result|&|result of the simulation	2	12,589115011	46,760769854	211,618516909	7,0	53,0	 
power system voltage	power system voltage	power system voltage	3	3,9714236158	18,8029336883	346,248738599	2,0	11,0	 
good performance	better performance	better performance|&|better performances	2	4,72091812914	21,5353125251	197,954929532	3,0	21,0	 
issue stability	stability issues	stability issues	2	4,72091812914	23,4494801047	246,330158318	2,0	13,0	 
network system	system network	system network|&|system networks|&|network system|&|systems network	2	34,6200662803	99,9724501024	262,043789323	48,0	217,0	 
bus infinite machine power single system	single machine infinite bus power system	single machine infinite bus power system	6	3,9714236158	18,8029336883	193,155802206	2,0	35,0	 
information medical network system	medical information system network	medical information system network	4	3,9714236158	21,5557147704	448,193463796	1,0	5,0	 
city system	city system	city system	2	31,4727875276	102,67669287	489,552238779	16,0	62,0	 
Power quality	Power quality	Power quality	2	6,29455750551	28,7137500335	181,973272108	3,0	13,0	 
area network	area network	area network	2	17,3100331402	85,9814270507	266,824513118	2,0	9,0	 
city world	world city	world city	2	4,72091812914	23,4494801047	335,193264735	6,0	39,0	 
design system	system design	system design	2	4,72091812914	23,4494801047	184,438320033	2,0	15,0	 
real world	real world	real world	2	4,72091812914	21,5353125251	413,393692028	3,0	15,0	 
bus infinite machine system	machine infinite bus system	machine infinite bus system	4	3,9714236158	18,8029336883	174,944373943	2,0	14,0	 
network planning	network planning	network planning	2	7,86819688189	35,8921875419	178,289085933	4,0	19,0	 
power quality	power quality	power quality	2	9,44183625827	36,5260428686	313,568533375	7,0	50,0	 
system world	world system	world system|&|system world	2	7,86819688189	35,8921875419	213,335427578	4,0	41,0	 
protection relay	relay protection	relay protection	2	4,72091812914	23,4494801047	214,031968948	2,0	6,0	 
inverse network neural system	neural network inverse system	neural network inverse system	4	5,95713542369	32,3335721556	183,674385399	1,0	8,0	 
network topology	network topology	network topology	2	7,86819688189	33,6286483565	369,338622323	6,0	28,0	 
algorithm genetic	genetic algorithm	genetic algorithm|&|algorithm and the genetic	2	7,86819688189	31,8729109618	180,052860215	5,0	35,0	 
analysis stability	stability analysis	stability analysis	2	4,72091812914	21,5353125251	174,453110552	6,0	42,0	 
expert system	expert system	expert system	2	6,29455750551	26,9029186852	276,301200959	4,0	21,0	 
area such	areas such	areas such|&|such areas	2	4,72091812914	21,5353125251	184,514334895	3,0	18,0	 
saturated steam	saturated steam	saturated steam	2	6,29455750551	35,6290282608	174,422701794	1,0	6,0	 
control signal supplementary	supplementary control signal	supplementary control signal|&|supplementary control signals	3	5,95713542369	25,7889899739	190,987108951	3,0	41,0	 
security system	system security	system security	2	6,29455750551	31,265973473	199,455867673	2,0	18,0	 
power stability system transient	power system transient stability	power system transient stability	4	5,95713542369	28,2044005324	195,874104842	4,0	28,0	 
configuration network	network configuration	network configuration	2	4,72091812914	23,4494801047	363,07216255	2,0	5,0	 
relay system	relay systems	relay systems	2	4,72091812914	21,5353125251	314,084815912	3,0	10,0	 
decision management risk	risk management decisions	risk management decisions	3	5,95713542369	25,7889899739	3986,16630605	3,0	5,0	 
dynamic power system	power system dynamic	power system dynamic	3	13,8999826553	56,1755341217	215,536007919	4,0	29,0	 
communication network system	communication network system	communication network system|&|system communication network	3	3,9714236158	18,8029336883	201,039144433	2,0	17,0	 
error identification topology	topology error identification	topology error identification	3	7,94284723159	37,6058673766	341,05575337	2,0	14,0	 
information technology	information technology	information technology	2	6,29455750551	26,9029186852	282,101061271	4,0	25,0	 
assessment risk	risk assessment	risk assessment	2	6,29455750551	35,6290282608	220,538355208	1,0	12,0	 
bulk power system	bulk power system	bulk power system	3	7,94284723159	37,6058673766	321,522292082	2,0	12,0	 
