stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
network security	network security	network security	2	3,14727875276	12,70004198	165,761259891	2,0	10,0	 
city system	city system	city system|&|city systems|&|cities in the system	2	29,8991481512	67,0783169885	139,526587639	17,0	61,0	 
flow load	load flows	load flows	2	3,14727875276	12,70004198	59,4209480567	2,0	7,0	 
result simulation	simulation results	simulation results	2	3,14727875276	12,70004198	137,873453338	2,0	9,0	 
building data model	building model data	building model data	3	3,9714236158	17,8547505455	125,396939063	1,0	7,0	 
research work	research work	research work|&|work and the research	2	3,14727875276	12,70004198	37,5876667149	2,0	5,0	 
network system	system network	system network|&|system networks|&|systems network|&|network system	2	29,8991481512	60,4065148887	131,385804907	42,0	130,0	 
information medical network system	medical information system network	medical information system network	4	3,9714236158	17,8547505455	126,380625864	1,0	6,0	 
analysis network	network analysis	network analysis	2	3,14727875276	12,70004198	46,6436836995	2,0	15,0	 
network observability	network observability	network observability	2	6,29455750551	25,40008396	54,2329959384	2,0	9,0	 
design system water	water system design	water system design	3	3,9714236158	17,8547505455	116,337463127	1,0	10,0	 
real world	real world	real world	2	4,72091812914	17,1358953904	147,633589737	3,0	18,0	 
city large	large cities	large cities	2	3,14727875276	12,70004198	98,4244766821	2,0	8,0	 
common exchanger heat layout network	common heat exchanger network layout	common heat exchanger network layout	5	3,9714236158	17,8547505455	116,337463127	1,0	10,0	 
network planning	network planning	network planning	2	3,14727875276	12,70004198	89,2925163654	3,0	9,0	 
analogue natural	natural analogue	natural analogue	2	3,14727875276	14,8815693739	340,410074881	1,0	2,0	 
system world	world system	world system|&|system world	2	7,86819688189	28,5598256507	45,1294443915	4,0	32,0	 
assignment mode-split model	mode-split assignment model	mode-split assignment model|&|mode-split assignment models	3	3,9714236158	17,8547505455	173,403231871	1,0	6,0	 
area network	area network	area network|&|area networks	2	18,8836725165	68,5435815617	147,206968876	3,0	14,0	 
network synthesis	network synthesis	network synthesis	2	3,14727875276	14,8815693739	116,337463127	1,0	10,0	 
network wireless	wireless networks	wireless networks	2	3,14727875276	12,70004198	142,630153092	2,0	10,0	 
important part	important part	important part	2	3,14727875276	12,70004198	138,239071101	2,0	11,0	 
mathematical technique	mathematical technique	mathematical technique	2	3,14727875276	14,8815693739	116,337463127	1,0	10,0	 
technology wireless	wireless technology	wireless technology	2	3,14727875276	12,70004198	126,380625864	2,0	6,0	 
city distribution size	city size distributions	city size distributions	3	5,95713542369	26,7821258183	108,304624659	1,0	3,0	 
solution time	solution time	solution time	2	3,14727875276	14,8815693739	116,337463127	1,0	10,0	 
category various	various categories	various categories	2	3,14727875276	14,8815693739	25,782321117	1,0	4,0	 
city international role system	role of cities in the international system	role of cities in the international system	7	3,9714236158	15,1019694634	68,1140307478	2,0	21,0	 
environment network system	system network environment	system network environment	3	5,95713542369	22,6529541951	117,152434439	2,0	8,0	 
immune network system	immune system network	immune system network	3	3,9714236158	15,1019694634	236,718515603	2,0	5,0	 
propagation sag voltage	propagation of voltage sag	propagation of voltage sag	4	5,95713542369	26,7821258183	35,890526755	1,0	5,0	 
evolvement formation mechanism	formation and evolvement mechanism	formation and evolvement mechanism	4	3,9714236158	17,8547505455	108,304624659	1,0	3,0	 
city world	world city	world city	2	4,72091812914	19,05006297	78,3521222898	6,0	34,0	 
stream utility	utility stream	utility stream	2	3,14727875276	14,8815693739	116,337463127	1,0	10,0	 
network system topology	system network topology	system network topology	3	3,9714236158	15,1019694634	39,1751817809	2,0	6,0	 
network power propulsion system	propulsion system network power	propulsion system network power	4	3,9714236158	17,8547505455	67,1897200109	1,0	7,0	 
building model	building model	building model	2	3,14727875276	14,8815693739	125,396939063	1,0	7,0	 
real time	real time	real time	2	3,14727875276	12,70004198	51,0102844222	2,0	15,0	 
design parallel	parallel design	parallel design	2	3,14727875276	14,8815693739	116,337463127	1,0	10,0	 
control network	control network	control network|&|network control	2	3,14727875276	12,70004198	132,834563519	2,0	6,0	 
area infrastructure network	area network infrastructure	area network infrastructure	3	3,9714236158	17,8547505455	114,965210895	1,0	4,0	 
architectural object virtual	virtual architectural objects	virtual architectural objects	3	3,9714236158	15,1019694634	151,313570401	2,0	11,0	 
cold duty process requirement	cold process duty requirements	cold process duty requirements	4	3,9714236158	17,8547505455	116,337463127	1,0	10,0	 
city intelligent system	intelligent city system	intelligent city system	3	5,95713542369	26,7821258183	20,2744934475	1,0	1,0	 
implementation software	software implementation	software implementation	2	3,14727875276	14,8815693739	126,380625864	1,0	6,0	 
immune response	immune response	immune response	2	3,14727875276	14,8815693739	137,01449966	1,0	2,0	 
design model network	network design model	network design model	3	3,9714236158	17,8547505455	173,403231871	1,0	6,0	 
optimal placement	optimal placement	optimal placement|&|Optimal placement	2	3,14727875276	14,8815693739	51,5872937255	1,0	4,0	 
effector function	effector function	effector function	2	4,72091812914	22,3223540609	107,878654512	1,0	3,0	 
control system	control system	control system	2	6,29455750551	29,7631387479	132,834563519	1,0	6,0	 
city system world	world city system	world city system	3	9,92855903949	30,8729709533	74,3993744798	4,0	32,0	 
exchanger heat process	process heat exchangers	process heat exchangers	3	3,9714236158	17,8547505455	116,337463127	1,0	10,0	 
electric power system	electric power system	electric power system	3	3,9714236158	15,1019694634	74,9086540781	2,0	10,0	 
architecture network	network architecture	network architecture	2	3,14727875276	14,8815693739	73,6777709017	1,0	3,0	 
delay transfer	transfer delays	transfer delays	2	3,14727875276	14,8815693739	173,403231871	1,0	6,0	 
mobile phone	mobile phones	mobile phones	2	6,29455750551	25,40008396	151,313570401	2,0	11,0	 
operation power system	power system operation	power system operation	3	5,95713542369	26,7821258183	44,3583079596	1,0	10,0	 
power system	power system	power system|&|power systems|&|Power system|&|system power	2	33,046426904	74,1391924609	111,798422289	24,0	91,0	 
normal power system	power system normal	power system normal	3	3,9714236158	17,8547505455	72,2630911675	1,0	6,0	 
flow rate	flow rate	flow rate	2	6,29455750551	29,7631387479	116,337463127	1,0	10,0	 
computer network	computer network	computer network	2	3,14727875276	12,70004198	17,0532788745	2,0	2,0	 
city system virtual	virtual city system	virtual city system	3	7,94284723159	30,2039389268	126,823590247	2,0	8,0	 
limbic network system	limbic system network	limbic system network	3	3,9714236158	17,8547505455	8,52663943726	1,0	1,0	 
branch location	branch locations	branch locations	2	3,14727875276	12,70004198	68,1140307478	2,0	21,0	 
multi-agent system	multi-agent system	multi-agent system	2	3,14727875276	12,70004198	119,764480732	2,0	9,0	 
Simulation result	Simulation results	Simulation results	2	3,14727875276	12,70004198	47,7152423764	2,0	8,0	 
analytic network	network analytic	network analytic	2	3,14727875276	12,70004198	68,1140307478	2,0	21,0	 
hierarchy urban	urban hierarchy	urban hierarchy	2	3,14727875276	12,70004198	95,441123776	2,0	9,0	 
