stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
change land	land change	land change|&|changes in land|&|land changes	2	12,589115011	41,8497928751	283,930039102	7,0	37,0	 
estimate parameter	parameter estimates	parameter estimates	2	4,72091812914	21,6078637377	247,254875112	2,0	16,0	 
length trip	trip lengths	trip lengths	2	4,72091812914	24,8801548285	348,012597689	1,0	5,0	 
function land	land functions	land functions	2	4,72091812914	24,8801548285	378,705269197	1,0	6,0	 
gas greenhouse	greenhouse gas	greenhouse gas	2	4,72091812914	19,6936961581	481,470984461	5,0	32,0	 
sprawl urban	urban sprawl	urban sprawl	2	4,72091812914	21,6078637377	371,531014168	2,0	3,0	 
change land-cover land-use	land-use and land-cover change	land-use and land-cover change|&|land-cover and land-use change	4	5,95713542369	25,8805394111	399,979646183	2,0	19,0	 
land model use	land use model	land use model|&|land use models	3	19,857118079	64,4531907646	355,552387145	6,0	52,0	 
approach modeling	modeling approach	modeling approach|&|modeling approaches	2	4,72091812914	19,6936961581	314,232512707	3,0	21,0	 
interaction transport	transport interaction	transport interaction|&|transport interactions	2	4,72091812914	19,6936961581	358,742264861	13,0	119,0	 
land reclamation	land reclamation	land reclamation	2	4,72091812914	21,6078637377	298,421683055	2,0	14,0	 
cover land use	land use and land cover	land use and land cover|&|land cover and land use|&|use land cover	5	17,8714062711	58,0078716882	224,856192727	6,0	54,0	 
carbon sequestration	carbon sequestration	carbon sequestration	2	4,72091812914	21,6078637377	377,566960101	2,0	13,0	 
dynamics system	system dynamics	system dynamics	2	4,72091812914	19,6936961581	226,637856285	3,0	23,0	 
integrated land use	integrated land use	integrated land use	3	5,95713542369	23,4651288525	268,503997256	3,0	18,0	 
computer interrelationship model review	review of computer models of the interrelationships	review of computer models of the interrelationships	7	7,94284723159	34,5073858815	272,963918496	2,0	43,0	 
accessibility issue	accessibility issues	accessibility issues	2	7,86819688189	41,4669247142	1350,27028486	1,0	3,0	 
different environment world	different environments around the world	different environments around the world	5	3,9714236158	17,2536929407	438,346368188	2,0	21,0	 
approach weakness	weaknesses of each approach	weaknesses of each approach	4	6,29455750551	28,8104849835	272,963918496	2,0	43,0	 
Integrated analysis ecosystem interaction	Integrated analysis of ecosystem interactions	Integrated analysis of ecosystem interactions	5	3,9714236158	17,2536929407	342,216838177	2,0	11,0	 
interaction model transport	transport interaction model	transport interaction model|&|transport interaction models	3	13,8999826553	47,6515000124	293,405055444	6,0	63,0	 
issue special	special issue	special issue	2	6,29455750551	26,2582615441	255,546557703	3,0	23,0	 
interaction society-nature	society-nature interaction	society-nature interaction	2	9,44183625827	43,2157274753	238,85940477	2,0	13,0	 
case city many study world	many case studies around the world of cities	many case studies around the world of cities	8	3,9714236158	17,2536929407	539,672341088	2,0	21,0	 
land limited resource	limited land resources	limited land resources	3	3,9714236158	17,2536929407	513,099065957	2,0	12,0	 
congestion traffic	traffic congestion	traffic congestion	2	4,72091812914	19,6936961581	368,260149277	3,0	13,0	 
consequent demand effect travel	consequent effects on travel demand	consequent effects on travel demand	5	7,94284723159	34,5073858815	272,963918496	2,0	43,0	 
pattern travel	travel patterns	travel patterns	2	6,29455750551	28,8104849835	314,18092925	2,0	13,0	 
city consequent	cities and the consequent	cities and the consequent	4	6,29455750551	28,8104849835	272,963918496	2,0	43,0	 
land strategy use	land use strategies	land use strategies|&|land use and strategies	3	5,95713542369	25,8805394111	457,837899509	2,0	10,0	 
change cover land	land cover change	land cover change	3	3,9714236158	17,2536929407	281,883373547	5,0	51,0	 
planning transport	transport planning	transport planning	2	6,29455750551	26,2582615441	277,385188473	4,0	27,0	 
computing time	computing times	computing times	2	4,72091812914	21,6078637377	256,664219065	2,0	17,0	 
model new	new models	new models	2	4,72091812914	19,6936961581	238,415503872	3,0	24,0	 
change technological	technological changes	technological changes	2	9,44183625827	36,6711452936	226,019203857	4,0	58,0	 
major model type	major types of model	major types of model	4	7,94284723159	34,5073858815	272,963918496	2,0	43,0	 
ecosystem service	ecosystem services	ecosystem services|&|ecosystem service	2	20,4573118929	71,1594219578	267,329252409	6,0	47,0	 
carbon indirect leakage	carbon leakage and indirect	carbon leakage and indirect|&|Carbon leakage and indirect	4	3,9714236158	20,0064740228	393,340107624	1,0	5,0	 
old people	older people	older people	2	6,29455750551	28,8104849835	1011,70482426	2,0	4,0	 
development urban	urban development	urban development	2	11,0154756347	40,32497049	236,792288537	5,0	61,0	 
model parameter	model parameters	model parameters|&|Parameters of all models|&|parameters of this model	2	6,29455750551	24,4474301957	415,022138456	4,0	31,0	 
change cost effect term transport	term effects of changes in transport costs	term effects of changes in transport costs	7	7,94284723159	34,5073858815	272,963918496	2,0	43,0	 
change climate	climate change	climate change	2	20,4573118929	65,2742200757	325,860650801	10,0	57,0	 
ecosystem response	ecosystem responses	ecosystem responses	2	11,0154756347	45,9519577021	335,017803444	3,0	18,0	 
