stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
datum land-use	land-use data	land-use data|&|Land-use data	2	4,72091812914	25,9520744636	441,420690249	4,0	88,0	 
estimate parameter	parameter estimates	parameter estimates	2	4,72091812914	22,6797833727	662,432233965	2,0	11,0	 
gas greenhouse	greenhouse gas	greenhouse gas|&|greenhouse gases	2	9,44183625827	34,9866494045	411,988318339	9,0	64,0	 
ecosystem service	ecosystem services	ecosystem services	2	9,44183625827	36,7080996901	324,155953373	5,0	39,0	 
interaction transport	transport interaction	transport interaction|&|transport interactions	2	4,72091812914	20,7656157931	711,737426506	13,0	102,0	 
land planning use	land use planning	land use planning	3	7,94284723159	30,8053063605	364,476658036	4,0	48,0	 
carbon sequestration	carbon sequestration	carbon sequestration	2	7,86819688189	34,6093596552	328,880376795	3,0	21,0	 
classification system	classification system	classification system	2	7,86819688189	34,6093596552	422,653460958	3,0	83,0	 
integrated land use	integrated land use	integrated land use	3	5,95713542369	24,8177408349	471,725635272	3,0	17,0	 
computer interrelationship model review	review of computer models of the interrelationships	review of computer models of the interrelationships	7	7,94284723159	36,3108685247	335,683658942	2,0	39,0	 
approach weakness	weaknesses of each approach	weaknesses of each approach|&|weaknesses of this approach	4	7,86819688189	34,6093596552	333,831662044	3,0	49,0	 
cover land map planning product value	value of a land cover mapping product for the planning	value of a land cover mapping product for the planning	10	5,95713542369	24,8177408349	422,653460958	3,0	83,0	 
interaction model transport	transport interaction model	transport interaction model|&|transport interaction models	3	13,8999826553	50,807594638	545,116742285	6,0	52,0	 
issue special	special issue	special issue	2	6,29455750551	27,6874877242	335,008825824	3,0	24,0	 
datum set	data sets	data sets	2	4,72091812914	20,7656157931	394,785784818	3,0	16,0	 
cover land product	land cover product	land cover product	3	7,94284723159	30,8053063605	419,431628683	4,0	88,0	 
datum flexible land-use	flexible land-use data	flexible land-use data	3	5,95713542369	24,8177408349	422,653460958	3,0	83,0	 
land model use	land use model	land use model|&|land use models	3	15,8856944632	58,0658224434	455,061095625	5,0	44,0	 
land survey	land survey	land survey	2	6,29455750551	30,2397111636	314,99282064	2,0	12,0	 
congestion traffic	traffic congestion	traffic congestion	2	4,72091812914	20,7656157931	544,645736145	3,0	9,0	 
consequent demand effect travel	consequent effects on travel demand	consequent effects on travel demand	5	7,94284723159	36,3108685247	335,683658942	2,0	39,0	 
city consequent	cities and the consequent	cities and the consequent	4	6,29455750551	30,2397111636	335,683658942	2,0	39,0	 
class land-use	land-use classes	land-use classes	2	9,44183625827	41,5312315862	422,653460958	3,0	83,0	 
integrated model	integrated models	integrated models	2	4,72091812914	22,6797833727	373,820767676	2,0	11,0	 
development policy	policy development	policy development|&|development policy|&|development policies	2	4,72091812914	20,7656157931	333,619005521	5,0	52,0	 
planning transport	transport planning	transport planning	2	6,29455750551	27,6874877242	422,117569876	4,0	26,0	 
