stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
network security	network security	network security|&|security network|&|security of these networks	2	31,4727875276	106,809590819	317,504271307	20,0	103,0	 
city system	city system	city system|&|cities in the system	2	33,046426904	117,244199533	444,35842938	16,0	66,0	 
power system	power system	power system|&|power systems|&|Power system|&|system power	2	180,968528284	322,897536833	217,721506953	98,0	506,0	 
Network information	Network information	Network information	2	4,72091812914	23,2937535436	337,16372581	3,0	15,0	 
flow load	load flow	load flow|&|load flows	2	6,29455750551	29,2475067098	293,107081915	4,0	23,0	 
access control	access control	access control	2	7,86819688189	42,013201872	388,638112204	2,0	6,0	 
configuration network	network configuration	network configuration	2	4,72091812914	25,2079211232	522,342911524	2,0	7,0	 
distribution power	power distribution	power distribution|&|distribution power|&|distribution of power	2	4,72091812914	23,2937535436	246,348552056	6,0	44,0	 
good performance	better performance	better performance|&|better performances	2	4,72091812914	23,2937535436	260,210078616	3,0	20,0	 
information resource	information resources	information resources	2	4,72091812914	25,2079211232	253,230808027	2,0	6,0	 
monitoring system	monitoring system	monitoring system|&|system monitoring	2	4,72091812914	25,2079211232	229,060722506	5,0	28,0	 
network protocol	network protocol	network protocol	2	4,72091812914	23,2937535436	211,361827737	3,0	16,0	 
network system	system network	system network|&|network system|&|system networks|&|systems network|&|network systems	2	48,7828206677	143,505756534	208,555430955	62,0	299,0	 
information medical network system	medical information system network	medical information system network	4	3,9714236158	23,034985115	405,760013112	1,0	5,0	 
communication network	communication network	communication network|&|communication networks	2	14,1627543874	55,9900168245	195,97543007	11,0	77,0	 
analysis network	network analysis	network analysis|&|analysis of network	2	7,86819688189	36,5593833873	289,871887777	6,0	49,0	 
network power structure	power network structure	power network structure	3	7,94284723159	40,5644080658	292,854381148	2,0	13,0	 
real world	real world	real world	2	4,72091812914	23,2937535436	268,114245244	3,0	16,0	 
design network system	system network design	system network design	3	3,9714236158	20,2822040329	600,058918706	2,0	4,0	 
distribution network power	power distribution network	power distribution network|&|distribution power network|&|distribution network power	3	17,8714062711	74,8945142163	366,345697152	5,0	30,0	 
system world	world system	world system|&|system world	2	7,86819688189	38,8229225727	237,173702528	4,0	45,0	 
detection intrusion	intrusion detection	intrusion detection	2	4,72091812914	25,2079211232	205,29139333	2,0	7,0	 
economy world	world economy	world economy	2	4,72091812914	25,2079211232	317,13044377	2,0	8,0	 
area network	area network	area network	2	14,1627543874	69,8812606309	294,701675613	5,0	30,0	 
assessment datum dose-response hazard identification	hazard identification and dose-response assessment data	hazard identification and dose-response assessment data	6	3,9714236158	20,2822040329	3244,00492005	2,0	4,0	 
network wireless	wireless networks	wireless networks|&|wireless network	2	11,0154756347	46,7167457231	305,767373719	6,0	44,0	 
distribution network system	distribution system network	distribution system network|&|system in the distribution network	3	3,9714236158	20,2822040329	207,854896005	2,0	15,0	 
disaster information network	disaster information network	disaster information network	3	5,95713542369	30,4233060494	271,209795787	2,0	16,0	 
mobile phone	mobile phones	mobile phones	2	6,29455750551	33,6105614976	500,241206667	2,0	11,0	 
power security system	power system security	power system security	3	9,92855903949	46,6798258179	228,918463005	3,0	18,0	 
network service	network services	network services|&|network service	2	7,86819688189	38,8229225727	233,320967584	3,0	13,0	 
equivalent network	network equivalent	network equivalent|&|network equivalents	2	4,72091812914	25,2079211232	495,446933676	2,0	7,0	 
design implementation	design and implementation	design and implementation	3	4,72091812914	23,2937535436	243,168704429	3,0	21,0	 
network neural	neural network	neural network|&|neural networks|&|Neural networks	2	33,046426904	112,15007036	198,042471314	14,0	69,0	 
information management	information management	information management|&|management information	2	22,0309512693	78,1627996888	214,738062195	16,0	92,0	 
city world	world city	world city	2	4,72091812914	25,2079211232	421,207797463	6,0	40,0	 
information security	information security	information security|&|security information	2	6,29455750551	29,2475067098	270,310398843	6,0	31,0	 
plant power	power plants	power plants	2	7,86819688189	42,013201872	222,263272679	2,0	12,0	 
forecast load	load forecasting	load forecasting	2	7,86819688189	36,5593833873	195,124969283	4,0	23,0	 
city size	city size	city size	2	6,29455750551	33,6105614976	484,77056916	2,0	4,0	 
error identification topology	topology error identification	topology error identification	3	7,94284723159	40,5644080658	370,491947765	2,0	15,0	 
architectural object virtual	virtual architectural objects	virtual architectural objects	3	3,9714236158	20,2822040329	235,465992939	2,0	11,0	 
information network security	network information security	network information security	3	5,95713542369	30,4233060494	237,771482266	2,0	13,0	 
information technology	information technology	information technology	2	4,72091812914	23,2937535436	207,941610673	3,0	11,0	 
