stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
network security	network security	network security	2	3,14727875276	14,4663566208	278,615256054	2,0	12,0	 
excitation system	excitation system	excitation system	2	3,14727875276	14,4663566208	214,445420363	2,0	8,0	 
city system	city system	city system|&|city systems|&|cities in the system	2	34,6200662803	94,3280074009	240,966567226	17,0	63,0	 
information power system	power system information	power system information	3	3,9714236158	17,3308103855	206,461548035	2,0	11,0	 
flow load	load flows	load flows	2	3,14727875276	14,4663566208	79,0576332135	2,0	8,0	 
result simulation	Simulation results	Simulation results|&|simulation results	2	9,44183625827	33,0261525215	139,037296373	6,0	35,0	 
building data model	building model data	building model data	3	3,9714236158	20,0835914676	216,57739158	1,0	7,0	 
fault tolerance	fault tolerance	fault tolerance	2	3,14727875276	14,4663566208	94,8130531291	2,0	6,0	 
research work	research work	research work|&|work and the research	2	3,14727875276	14,4663566208	95,3707541474	2,0	6,0	 
agent negotiation process	negotiation process between agents	negotiation process between agents	4	3,9714236158	17,3308103855	165,317858288	2,0	15,0	 
network system	system network	system network|&|system networks|&|network system|&|systems network	2	31,4727875276	79,2177443908	186,923963067	44,0	161,0	 
exchanger heat layout network	heat exchanger network layout	heat exchanger network layout	4	3,9714236158	20,0835914676	360,702244742	1,0	7,0	 
network power quality	network power quality	network power quality|&|power quality in a network	3	5,95713542369	25,9962155782	200,652208292	2,0	11,0	 
bulk power system	bulk power system	bulk power system	3	3,9714236158	20,0835914676	175,162840967	1,0	7,0	 
network observability	network observability	network observability	2	6,29455750551	28,9327132416	76,5630852318	2,0	12,0	 
real world	real world	real world	2	4,72091812914	19,7853673516	281,366876064	3,0	18,0	 
power stability system	power system stability	power system stability|&|stability in power system	3	3,9714236158	17,3308103855	158,011153155	2,0	10,0	 
artificial network neural	artificial neural network	artificial neural network	3	11,9142708474	41,075495202	171,739830004	5,0	17,0	 
design network system	system network design	system network design	3	3,9714236158	17,3308103855	363,437997167	2,0	6,0	 
network planning	network planning	network planning	2	9,44183625827	39,5707347032	230,225137234	4,0	15,0	 
duty process requirement	process duty requirements	process duty requirements	3	3,9714236158	20,0835914676	360,702244742	1,0	7,0	 
power quality	power quality	power quality	2	6,29455750551	26,3804898022	191,135825636	4,0	21,0	 
system world	world system	world system|&|system world	2	7,86819688189	32,9756122527	93,8687735185	4,0	39,0	 
protection relay	relay protection	relay protection	2	4,72091812914	21,6995349312	205,117855781	2,0	4,0	 
economy world	world economy	world economy	2	4,72091812914	21,6995349312	95,7817311604	2,0	6,0	 
area network	area network	area network|&|area networks	2	18,8836725165	79,1414694065	257,698833072	3,0	16,0	 
algorithm genetic	genetic algorithm	genetic algorithm|&|algorithm and the genetic	2	6,29455750551	24,5696584538	113,320035799	4,0	24,0	 
area such	areas such	areas such|&|such areas	2	4,72091812914	19,7853673516	199,358294636	3,0	18,0	 
relay system	relay systems	relay systems	2	4,72091812914	19,7853673516	356,717269396	3,0	8,0	 
city international role system	role of cities in the international system	role of cities in the international system	7	3,9714236158	17,3308103855	160,465653351	2,0	21,0	 
environment network system	system network environment	system network environment	3	5,95713542369	25,9962155782	188,221285829	2,0	8,0	 
network neural	neural network	neural network|&|neural networks|&|Neural networks	2	15,7363937638	52,6178117391	122,748663014	7,0	43,0	 
assessment data dose-response hazard identification	hazard identification and dose-response assessment data	hazard identification and dose-response assessment data	6	3,9714236158	17,3308103855	1040,81525553	2,0	4,0	 
decision management risk	risk management decisions	risk management decisions	3	5,95713542369	23,5808050197	1458,33716247	3,0	5,0	 
city world	world city	world city	2	4,72091812914	21,6995349312	186,097546354	6,0	37,0	 
network system topology	system network topology	system network topology	3	3,9714236158	17,3308103855	106,802442247	2,0	8,0	 
critical point	critical points	critical points	2	3,14727875276	14,4663566208	195,439094182	2,0	9,0	 
area infrastructure network	area network infrastructure	area network infrastructure	3	3,9714236158	20,0835914676	238,452446019	1,0	6,0	 
modern power system	modern power systems	modern power systems	3	5,95713542369	23,5808050197	169,638468227	3,0	12,0	 
architectural object virtual	virtual architectural objects	virtual architectural objects	3	3,9714236158	17,3308103855	279,507279743	2,0	11,0	 
