stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
option policy	policy options	policy options	2	11,0154756347	50,4039399871	311,553101299	5,0	24,0	 
change land	land change	land change	2	6,29455750551	34,5698961248	238,431754828	2,0	16,0	 
21st century	21st century	21st century	2	11,0154756347	48,3955813206	247,510426092	6,0	32,0	 
gas greenhouse	greenhouse gas	greenhouse gas|&|greenhouse gases	2	11,0154756347	46,6975382629	402,455157436	11,0	67,0	 
result simulation	simulation results	simulation results|&|simulations results|&|results of simulations	2	6,29455750551	30,2068413369	228,45353557	4,0	19,0	 
sprawl urban	urban sprawl	urban sprawl	2	18,8836725165	73,3175899002	270,403585629	10,0	46,0	 
land-use relation	land-use relation	land-use relation	2	6,29455750551	30,2068413369	254,053786826	4,0	99,0	 
network system	system of networks	system of networks|&|network system|&|system network|&|system networks	3	9,44183625827	45,3102620054	244,932612817	4,0	25,0	 
land planning use	land use planning	land use planning	3	19,857118079	79,5611217736	247,472289143	10,0	61,0	 
classification system	classification system	classification system	2	11,0154756347	50,4039399871	237,564059331	6,0	113,0	 
freight transportation	freight transportation	freight transportation	2	6,29455750551	30,2068413369	269,831247742	5,0	22,0	 
reliability time travel	travel time reliability	travel time reliability	3	9,92855903949	52,218691982	446,772621745	2,0	16,0	 
land-use regulation	land-use regulations	land-use regulations|&|land-use regulation	2	7,86819688189	40,0220908566	237,472992885	3,0	11,0	 
emission vehicle	vehicle emissions	vehicle emissions	2	7,86819688189	36,0028142765	447,369127642	5,0	24,0	 
development regional	regional development	regional development	2	9,44183625827	51,8548441872	286,709802171	2,0	9,0	 
equilibrium user	user equilibrium	user equilibrium	2	7,86819688189	48,6661886407	431,224588783	3,0	20,0	 
sustainable system transportation	sustainable transportation system	sustainable transportation system	3	7,94284723159	38,5544061741	303,262401321	3,0	18,0	 
time travel	travel time	travel time|&|travel times	2	31,4727875276	119,196306129	355,549837734	12,0	64,0	 
system transportation	transportation system	transportation system|&|transportation systems|&|system for transportation	2	218,735873317	411,466607239	463,637025175	98,0	420,0	 
Land use	Land use	Land use	2	34,6200662803	114,066368186	330,584049086	27,0	154,0	 
network sensor wireless	wireless sensor network	wireless sensor network|&|wireless sensor networks	3	13,8999826553	63,4714349874	1098,06899555	4,0	13,0	 
traffic urban	urban traffic	urban traffic	2	7,86819688189	36,0028142765	237,869583131	5,0	44,0	 
land market	land markets	land markets|&|land market	2	7,86819688189	40,0220908566	412,940919471	5,0	37,0	 
change climate	climate change	climate change	2	23,6045906457	94,1339792176	359,642734023	9,0	50,0	 
equilibrium network	network equilibrium	network equilibrium	2	6,29455750551	34,5698961248	233,882977766	3,0	7,0	 
change land use	land use change	land use change|&|land use changes|&|changes in land use	3	71,4856250843	222,990614851	288,707928269	23,0	154,0	 
capacity network	network capacity	network capacity	2	12,589115011	64,0353453706	390,170609557	3,0	25,0	 
model optimization	optimization model	optimization model	2	11,0154756347	50,4039399871	251,736166874	5,0	34,0	 
mode transport	transport modes	transport modes|&|transport mode	2	7,86819688189	37,7585516712	266,833226218	4,0	26,0	 
cover land land-use	land cover and land-use	land cover and land-use	4	7,94284723159	36,2693914214	254,053786826	4,0	99,0	 
change environmental study	environmental change studies	environmental change studies	3	7,94284723159	36,2693914214	254,053786826	4,0	99,0	 
method solution	solution methods	solution methods	2	6,29455750551	32,0176726853	327,979927423	3,0	9,0	 
maker policy	policy makers	policy makers	2	12,589115011	51,6875730983	286,473361615	10,0	65,0	 
transportation-land use	transportation-land use	transportation-land use	2	9,44183625827	48,026509028	301,141544559	3,0	14,0	 
land system use	land use system	land use system|&|land use systems	3	11,9142708474	54,4040871321	234,866905014	4,0	31,0	 
energy transportation	transportation energy	transportation energy	2	6,29455750551	32,0176726853	246,505925692	3,0	17,0	 
activity physical	physical activity	physical activity	2	11,0154756347	60,4973182183	306,278058406	2,0	8,0	 
network performance	network performance	network performance	2	9,44183625827	41,4819268462	259,589844963	6,0	51,0	 
design network problem	network design problem	network design problem	3	11,9142708474	54,4040871321	476,957250017	4,0	29,0	 
change future land use	future land use change	future land use change	4	7,94284723159	36,2693914214	222,129142491	4,0	34,0	 
land market urban	urban land market	urban land market|&|urban land markets|&|land markets and urban	3	15,8856944632	68,9939925652	412,940919471	5,0	37,0	 
model programming	programming model	programming model|&|programming models	2	12,589115011	53,3686151576	256,320763952	7,0	33,0	 
consumption fuel	fuel consumption	fuel consumption	2	9,44183625827	45,3102620054	445,353617193	4,0	9,0	 
emission vehicular	vehicular emissions	vehicular emissions	2	6,29455750551	34,5698961248	268,055639415	2,0	18,0	 
condition traffic	traffic condition	traffic condition|&|traffic conditions	2	6,29455750551	32,0176726853	224,24200446	3,0	27,0	 
comprehensive review	comprehensive review	comprehensive review	2	11,0154756347	48,3955813206	221,687025684	6,0	113,0	 
demand travel	travel demand	travel demand|&|travel demands|&|demand for travel	2	23,6045906457	83,7046979662	248,557160076	16,0	109,0	 
Smart growth	Smart growth	Smart growth|&|Smart Growth	2	7,86819688189	37,7585516712	579,979575587	4,0	20,0	 
entropy information	information entropy	information entropy	2	12,589115011	77,8659018252	323,858955599	1,0	5,0	 
field survey	field survey	field survey	2	6,29455750551	30,2068413369	254,053786826	4,0	99,0	 
development land urban	urban land development	urban land development	3	7,94284723159	41,7749535856	263,841528672	2,0	18,0	 
agricultural land	agricultural land	agricultural land	2	11,0154756347	50,4039399871	335,497122229	5,0	32,0	 
freight network transportation	freight transportation network	freight transportation network	3	7,94284723159	41,7749535856	704,4419107	2,0	8,0	 
land transportation use	transportation and land use	transportation and land use|&|land use and transportation|&|land use transportation	4	23,8285416948	84,7031997618	223,344425308	11,0	72,0	 
network road transportation	road transportation network	road transportation network|&|road network transportation	3	9,92855903949	52,218691982	301,350281574	2,0	14,0	 
emission gas greenhouse	greenhouse gas emissions	greenhouse gas emissions	3	13,8999826553	63,4714349874	355,443612494	4,0	25,0	 
architecture system	system architecture	system architecture	2	6,29455750551	34,5698961248	297,533947962	2,0	5,0	 
consumption energy	energy consumption	energy consumption	2	14,1627543874	64,8050656977	341,612498234	7,0	39,0	 
growth rapid	rapid growth	rapid growth	2	11,0154756347	48,3955813206	245,053252923	6,0	34,0	 
road transportation	road transportation	road transportation|&|transportation by road	2	9,44183625827	45,3102620054	251,404492747	5,0	25,0	 
land regulation use	land use regulations	land use regulations|&|land use regulation	3	29,7856771185	115,364359714	226,327061832	8,0	43,0	 
planning transportation	transportation planning	transportation planning	2	20,4573118929	77,4775989837	433,77160615	21,0	128,0	 
design network transportation	transportation network design	transportation network design	3	7,94284723159	38,5544061741	421,013469624	3,0	20,0	 
land market outcome	land market outcomes	land market outcomes	3	7,94284723159	41,7749535856	352,376753605	2,0	16,0	 
land-use relationship	land-use relationship	land-use relationship	2	12,589115011	57,6045028424	251,372365021	5,0	102,0	 
intelligent system transportation	intelligent transportation system	intelligent transportation system|&|intelligent transportation systems	3	23,8285416948	86,9743023552	506,639712304	10,0	31,0	 
change land-use	land-use change	land-use change|&|land-use changes|&|Land-use change	2	33,046426904	128,305782325	234,96367461	12,0	64,0	 
service transportation	transportation services	transportation services|&|transportation service	2	11,0154756347	50,4039399871	255,991630653	5,0	23,0	 
planning urban	urban planning	urban planning	2	11,0154756347	48,3955813206	405,630010627	6,0	33,0	 
air system transportation	air transportation system	air transportation system|&|air transportation as a system	3	19,857118079	90,6734785535	601,474424616	4,0	22,0	 
management planning	planning and management	planning and management	3	7,86819688189	36,0028142765	243,508610833	5,0	102,0	 
planning process transportation	transportation planning process	transportation planning process	3	11,9142708474	51,7454944239	474,409144661	5,0	26,0	 
land ownership	land ownership	land ownership	2	7,86819688189	36,0028142765	229,266137567	5,0	42,0	 
land-use system	land-use system	land-use system	2	15,7363937638	66,710768947	378,89833665	7,0	22,0	 
accuracy assessment	accuracy assessment	accuracy assessment	2	6,29455750551	32,0176726853	246,349322552	3,0	25,0	 
Land change use	Land use change	Land use change|&|Land use changes	3	11,9142708474	49,5732660149	272,984173892	6,0	46,0	 
decision rule	decision rules	decision rules	2	6,29455750551	30,2068413369	254,053786826	4,0	99,0	 
growth smart	smart growth	smart growth	2	15,7363937638	66,710768947	379,953437795	7,0	50,0	 
carbon dioxide emission	carbon dioxide emissions	carbon dioxide emissions|&|emissions of carbon dioxide	3	7,94284723159	41,7749535856	250,039281731	2,0	4,0	 
planning transportation urban	urban transportation planning	urban transportation planning	3	11,9142708474	51,7454944239	236,594096337	5,0	31,0	 
parameter various	various parameters	various parameters	2	7,86819688189	36,0028142765	250,46979595	5,0	100,0	 
facility transportation	transportation facilities	transportation facilities	2	12,589115011	55,309235795	221,233831897	8,0	49,0	 
development sustainable	sustainable development	sustainable development	2	11,0154756347	46,6975382629	224,320740963	7,0	74,0	 
land-use transportation	land-use transportation	land-use transportation	2	7,86819688189	43,212370156	245,337760514	2,0	10,0	 
development land	land development	land development	2	11,0154756347	50,4039399871	238,313560925	6,0	49,0	 
network transportation	transportation network	transportation network|&|transportation networks|&|network transportation	2	121,170231981	293,713814521	522,683191836	56,0	231,0	 
network transportation urban	urban transportation network	urban transportation network|&|urban transportation networks	3	31,7713889264	110,173127383	336,548078559	12,0	64,0	 
performance system	system performances	system performances|&|system performance|&|performance of the system	2	7,86819688189	36,0028142765	266,12580136	5,0	23,0	 
network road	road network	road network|&|road networks	2	18,8836725165	77,5313596474	300,137223328	9,0	63,0	 
