stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
microcirculation network one-way organization traffic	one-way traffic organization of microcirculation network	one-way traffic organization of microcirculation network	6	3,9714236158	17,5294229508	116,912903895	1,0	8,0	 
flow traffic	traffic flow	traffic flow	2	4,72091812914	18,6633389415	74,7762777956	2,0	20,0	 
bi-level model program	bi-level program model	bi-level program model	3	3,9714236158	17,5294229508	82,4849270482	1,0	6,0	 
control method	control method	control method	2	3,14727875276	14,6237533549	472,002109705	1,0	1,0	 
21st century	21st century	21st century	2	6,29455750551	20,5213971342	131,434737743	4,0	21,0	 
management strategy	management strategies	management strategies	2	3,14727875276	12,442225961	97,3726324998	2,0	14,0	 
sprawl urban	urban sprawl	urban sprawl	2	3,14727875276	12,442225961	177,005690023	2,0	11,0	 
energy system	energy system	energy system|&|system energy	2	3,14727875276	12,442225961	149,318291885	2,0	13,0	 
ANN-based model	ANN-based model	ANN-based model	2	3,14727875276	14,6237533549	118,559105941	1,0	3,0	 
model optimization	optimization model	optimization model|&|optimization models	2	9,44183625827	30,7820957012	98,8329122944	4,0	20,0	 
condition traffic	traffic condition	traffic condition|&|traffic conditions	2	6,29455750551	22,3322284825	88,3408220639	3,0	27,0	 
network system	system of networks	system of networks|&|network system|&|network systems|&|system network	3	6,29455750551	22,3322284825	162,755128265	4,0	17,0	 
optimal solution	optimal solution	optimal solution	2	3,14727875276	12,442225961	120,281567621	2,0	8,0	 
analysis network	network analysis	network analysis	2	3,14727875276	12,442225961	152,570051432	2,0	11,0	 
city green	greener cities	greener cities	2	3,14727875276	14,6237533549	214,550130601	1,0	6,0	 
Urban growth	Urban growth	Urban growth	2	7,86819688189	25,6517464177	383,53549185	4,0	9,0	 
area central urban	urban central area	urban central area	3	5,95713542369	26,2941344262	140,512380798	1,0	6,0	 
model naÃ¯ve	naÃ¯ve model	naÃ¯ve model	2	3,14727875276	14,6237533549	116,039278849	1,0	7,0	 
choice model route	route choice model	route choice model	3	3,9714236158	14,7766418687	114,246630047	2,0	16,0	 
new paradigm	new paradigms	new paradigms	2	3,14727875276	14,6237533549	98,8588882282	1,0	7,0	 
choice route	route choice	route choice	2	6,29455750551	24,884451922	101,264157811	3,0	22,0	 
collection datum	data collection	data collection	2	3,14727875276	12,442225961	68,0833231685	2,0	20,0	 
growth impact urban	impacts of urban growth	impacts of urban growth	4	3,9714236158	14,7766418687	129,407148083	2,0	20,0	 
disruption risk	disruption risk	disruption risk|&|disruption risks	2	3,14727875276	14,6237533549	118,222394308	1,0	5,0	 
