stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
location residential	residential location	residential location	2	3,14727875276	12,7352074716	118,927874217	2,0	11,0	 
crime wildlife	wildlife crime	wildlife crime	2	20,4573118929	74,4841223871	443,743215086	3,0	11,0	 
possibility travel	possibility of travel	possibility of travel	3	3,14727875276	14,9167348655	116,595761489	1,0	18,0	 
environment urban	urban environment	urban environment|&|urban environments	2	17,3100331402	44,0080115102	232,007341294	9,0	44,0	 
dengue incidence setting tropical urban	dengue incidence in tropical urban settings	dengue incidence in tropical urban settings	6	3,9714236158	15,1463433733	107,994240725	2,0	36,0	 
nucleus urban	urban nuclei	urban nuclei	2	3,14727875276	14,9167348655	425,957526882	1,0	3,0	 
activity urban	urban activity	urban activity	2	4,72091812914	19,1028112074	127,045736309	2,0	20,0	 
analysis spatial	spatial analysis	spatial analysis	2	4,72091812914	19,1028112074	161,01589719	2,0	23,0	 
daily replaced-dns	daily replaced-dns	daily replaced-dns	2	3,14727875276	14,9167348655	116,595761489	1,0	18,0	 
illegal ivory seizure	illegal ivory seizures	illegal ivory seizures	3	3,9714236158	17,8991244554	350,274331403	1,0	4,0	 
heat island	heat islands	heat islands|&|heat island	2	4,72091812914	19,1028112074	207,550968193	2,0	11,0	 
analysis regression	regression analysis	regression analysis|&|regression analyses	2	4,72091812914	17,1886436278	153,539895117	3,0	13,0	 
image satellite	satellite images	satellite images	2	4,72091812914	17,1886436278	266,934126713	3,0	14,0	 
behaviour travel	travel behaviour	travel behaviour	2	11,0154756347	36,9378802719	185,831084413	4,0	30,0	 
system world	world system	world system	2	4,72091812914	19,1028112074	507,493725301	2,0	3,0	 
enforcement law	law enforcement	law enforcement	2	4,72091812914	19,1028112074	396,61293017	2,0	9,0	 
Internet evidence usage	evidence on internet usage	evidence on internet usage	4	3,9714236158	15,1463433733	80,5214374478	2,0	40,0	 
spatial structure urban	urban spatial structure	urban spatial structure|&|spatial structure and urban	3	9,92855903949	28,7684118044	190,826663353	5,0	15,0	 
density housing	housing density	housing density	2	4,72091812914	19,1028112074	227,032740199	2,0	14,0	 
space syntax	space syntax	space syntax	2	11,0154756347	44,5732261506	190,434199859	2,0	5,0	 
matter structure urban	Urban structure matters	Urban structure matters	3	3,9714236158	15,1463433733	183,938866739	2,0	12,0	 
function structure urban	urban structure and function	urban structure and function|&|function of the urban structure	4	3,9714236158	15,1463433733	258,428838366	2,0	5,0	 
difference index vegetation	difference vegetation index	difference vegetation index	3	3,9714236158	15,1463433733	107,994240725	2,0	36,0	 
bazaar street	bazaar streets	bazaar streets	2	4,72091812914	22,3751022983	190,434199859	1,0	5,0	 
habitat riparian urban	Urban riparian habitats	Urban riparian habitats|&|urban riparian habitat	3	3,9714236158	17,8991244554	124,140052915	1,0	5,0	 
system transportation	transportation system	transportation system	2	4,72091812914	19,1028112074	290,335227016	2,0	9,0	 
structure traffic	traffic structure	traffic structure	2	7,86819688189	31,838018679	394,132450233	2,0	13,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	17,3100331402	44,0080115102	340,115838224	9,0	29,0	 
spatial structure	spatial structure	spatial structure	2	15,7363937638	43,962065993	199,161403436	7,0	36,0	 
fine imagery resolution satellite	fine resolution satellite imagery	fine resolution satellite imagery	4	3,9714236158	15,1463433733	107,994240725	2,0	36,0	 
landscape lighting	landscape lighting	landscape lighting|&|lighting landscape	2	7,86819688189	37,2918371638	536,208895048	1,0	3,0	 
mode transportation	transportation modes	transportation modes	2	4,72091812914	19,1028112074	355,347500844	2,0	5,0	 
master plan	master plan	master plan	2	4,72091812914	22,3751022983	536,208895048	1,0	3,0	 
dengue fever incidence locality low	localities with lower incidence of dengue fever	localities with lower incidence of dengue fever	7	3,9714236158	15,1463433733	107,994240725	2,0	36,0	 
development urban	urban development	urban development	2	11,0154756347	36,9378802719	162,793866345	4,0	29,0	 
carbon consumption	carbon consumption	carbon consumption	2	4,72091812914	22,3751022983	238,558046033	1,0	4,0	 
city size	city size	city size|&|city sizes	2	9,44183625827	34,3772872556	130,639453249	5,0	51,0	 
form urban	urban form	urban form	2	7,86819688189	31,838018679	184,018381569	2,0	18,0	 
dengue incidence structural urban	dengue incidence and urban structural	dengue incidence and urban structural	5	3,9714236158	15,1463433733	107,994240725	2,0	36,0	 
large proportion	large proportion	large proportion	2	4,72091812914	19,1028112074	254,110156558	2,0	15,0	 
attributable emission gas	gas emissions attributable	gas emissions attributable	3	3,9714236158	17,8991244554	180,163685657	1,0	12,0	 
dynamics structure urban	dynamics of urban structure	dynamics of urban structure|&|urban dynamics and structure	4	3,9714236158	15,1463433733	138,494446661	2,0	21,0	 
effect information	effects of information	effects of information|&|effect of information	3	4,72091812914	19,1028112074	80,5214374478	2,0	40,0	 
amount disposable income increase	increasing amounts of disposable income	increasing amounts of disposable income	5	3,9714236158	17,8991244554	116,595761489	1,0	18,0	 
agglomeration force local	local agglomeration forces	local agglomeration forces	3	3,9714236158	15,1463433733	80,5214374478	2,0	40,0	 
