stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
city system	city system	city system	2	31,4727875276	105,217277347	580,313767446	16,0	62,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis|&|Sensitivity analysis	2	11,0154756347	45,5112799134	196,504121124	5,0	38,0	 
control method	control methods	control methods|&|control method	2	7,86819688189	36,5273336611	234,634401421	3,0	19,0	 
flow load	load flow	load flow|&|load flows	2	6,29455750551	27,4110355806	247,630305328	4,0	22,0	 
configuration system	system configuration	system configuration	2	6,29455750551	29,2218669289	200,618809543	3,0	21,0	 
result simulation	simulation results	simulation results|&|simulation result|&|result of the simulation	2	15,7363937638	55,7664717541	187,87294556	9,0	81,0	 
power system voltage	power system voltage	power system voltage	3	3,9714236158	19,1235197559	273,100112333	5,0	56,0	 
good performance	better performance	better performance|&|better performances	2	4,72091812914	21,9164001967	250,565676351	3,0	20,0	 
machine synchronous	synchronous machine	synchronous machine	2	4,72091812914	21,9164001967	199,654283144	3,0	24,0	 
network system	system network	system network|&|system networks|&|network system|&|systems network	2	33,046426904	98,0958615258	403,065552293	50,0	242,0	 
information medical network system	medical information system network	medical information system network	4	3,9714236158	21,876300838	223,509267611	1,0	5,0	 
critical point	critical points	critical points	2	4,72091812914	21,9164001967	459,687898366	3,0	14,0	 
analysis network	network analysis	network analysis	2	6,29455750551	29,2218669289	204,927240001	3,0	30,0	 
Power quality	Power quality	Power quality	2	6,29455750551	29,2218669289	214,199541346	3,0	14,0	 
area network	area network	area network	2	17,3100331402	87,378748513	222,836489352	2,0	9,0	 
city world	world city	world city	2	4,72091812914	23,8305677763	558,613149007	6,0	39,0	 
design system	system design	system design	2	4,72091812914	23,8305677763	201,022254846	2,0	15,0	 
real world	real world	real world	2	4,72091812914	21,9164001967	356,962573311	3,0	15,0	 
power stability system	power system stability	power system stability|&|stability in power system	3	39,714236158	113,954862357	189,356261686	17,0	149,0	 
power quality	power quality	power quality	2	9,44183625827	37,2882182116	342,97006141	7,0	51,0	 
system world	world system	world system|&|system world	2	7,86819688189	36,5273336611	331,343293827	4,0	42,0	 
economy world	world economy	world economy	2	4,72091812914	23,8305677763	369,966198996	2,0	6,0	 
network topology	network topology	network topology	2	7,86819688189	34,2637944757	241,297873736	6,0	30,0	 
algorithm genetic	genetic algorithm	genetic algorithm|&|algorithm and the genetic	2	7,86819688189	32,508057081	205,063242405	5,0	37,0	 
assessment datum dose-response hazard identification	hazard identification and dose-response assessment data	hazard identification and dose-response assessment data	6	3,9714236158	19,1235197559	3845,60415196	2,0	4,0	 
analysis stability	stability analysis	stability analysis	2	4,72091812914	21,9164001967	212,134724162	9,0	72,0	 
expert system	expert system	expert system	2	6,29455750551	27,4110355806	357,066954957	4,0	21,0	 
distribution network system	distribution system network	distribution system network|&|system in the distribution network	3	3,9714236158	19,1235197559	245,477363925	2,0	16,0	 
area such	areas such	areas such|&|such areas	2	4,72091812914	21,9164001967	185,457062573	3,0	18,0	 
Power system voltage	Power system voltage	Power system voltage	3	3,9714236158	19,1235197559	224,038036729	2,0	11,0	 
power stability system transient	power system transient stability	power system transient stability|&|transient stability of the power system	4	13,8999826553	51,6616273882	182,182317773	8,0	67,0	 
design energy flywheel storage	flywheel energy storage design	flywheel energy storage design|&|design of flywheel energy storage	4	3,9714236158	19,1235197559	223,524804371	2,0	22,0	 
configuration network	network configuration	network configuration	2	4,72091812914	23,8305677763	480,154054347	2,0	5,0	 
margin stability voltage	voltage stability margin	voltage stability margin	3	3,9714236158	21,876300838	201,747886154	2,0	28,0	 
power quality system	system power quality	system power quality|&|system for power quality	3	3,9714236158	19,1235197559	223,524804371	2,0	22,0	 
network neural	neural network	neural network|&|neural networks	2	18,8836725165	64,930172631	179,440840373	10,0	74,0	 
network power	power network	power network|&|network power	2	14,1627543874	61,6748300563	271,50878564	6,0	48,0	 
bulk power system	bulk power system	bulk power system	3	7,94284723159	38,2470395118	351,052514507	2,0	12,0	 
plant power	power plant	power plant|&|power plants	2	12,589115011	52,0128913297	227,613887813	5,0	42,0	 
analysis contingency	contingency analysis	contingency analysis	2	4,72091812914	23,8305677763	183,272029925	2,0	23,0	 
city size	city size	city size	2	6,29455750551	31,7740903684	633,986799427	2,0	4,0	 
error identification topology	topology error identification	topology error identification	3	7,94284723159	38,2470395118	414,393349601	2,0	14,0	 
architectural object virtual	virtual architectural objects	virtual architectural objects	3	3,9714236158	19,1235197559	291,461329579	2,0	11,0	 
information technology	information technology	information technology	2	6,29455750551	27,4110355806	306,239313755	4,0	25,0	 
control problem stability	stability and control problems	stability and control problems	4	3,9714236158	19,1235197559	185,176624666	2,0	12,0	 
harmonic system	system harmonic	system harmonic|&|system harmonics	2	6,29455750551	31,7740903684	371,950117934	3,0	14,0	 
current transformer	current transformers	current transformers	2	4,72091812914	23,8305677763	320,923997751	2,0	3,0	 
power stabilizer system	power system stabilizer	power system stabilizer|&|power system stabilizers	3	47,6570833896	136,745834829	189,260074367	15,0	117,0	 
international standard	international standards	international standards	2	4,72091812914	21,9164001967	422,235415825	3,0	13,0	 
management network	network management	network management	2	9,44183625827	43,8328003934	542,656459687	3,0	8,0	 
distribution system	distribution system	distribution system|&|distribution systems	2	6,29455750551	29,2218669289	294,956946108	4,0	24,0	 
energy flywheel storage	flywheel energy storage	flywheel energy storage	3	11,9142708474	57,3705592677	299,19487782	2,0	22,0	 
control system	control system	control system|&|control systems|&|system control	2	23,6045906457	86,4299279728	182,943854368	9,0	58,0	 
city system world	world city system	world city system	3	9,92855903949	40,9268466845	503,811952915	4,0	36,0	 
area power system	area power system	area power system	3	7,94284723159	35,0264921003	247,915316275	3,0	21,0	 
mobile phone	mobile phones	mobile phones	2	6,29455750551	31,7740903684	605,953228106	2,0	11,0	 
operation power system	power system operation	power system operation|&|power system operations|&|operation power system|&|operation of this power system	3	31,7713889264	101,854080178	193,022717097	10,0	91,0	 
environment network system	system network environment	system network environment	3	5,95713542369	28,6852796338	522,738737284	2,0	7,0	 
decision management risk	risk management decisions	risk management decisions	3	5,95713542369	26,2698690752	5385,04467096	3,0	5,0	 
assessment health	health assessment	health assessment	2	4,72091812914	21,9164001967	5385,04467096	3,0	5,0	 
network theory	network theory	network theory	2	7,86819688189	39,7176129605	391,133355159	2,0	7,0	 
analysis power system	power system analysis	power system analysis	3	17,8714062711	66,4220923563	398,597159733	8,0	49,0	 
structure system	structure system	structure system|&|system structure	2	7,86819688189	36,5273336611	231,214431181	3,0	18,0	 
power wind	wind power	wind power	2	22,0309512693	91,0225598269	197,657248264	5,0	42,0	 
