stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
complex network	complex networks	complex networks	2	3,14727875276	15,2007669467	328,828096175	2,0	7,0	 
access control	access control	access control	2	4,72091812914	26,0734415108	2258,00044248	1,0	1,0	 
good tool	better tools	better tools	2	3,14727875276	15,2007669467	163,810297667	2,0	22,0	 
cell determination fate	cell fate determination	cell fate determination	3	3,9714236158	21,0103141194	684,568829892	1,0	3,0	 
network site	network sites	network sites	2	6,29455750551	30,4015338933	84,0171479714	2,0	8,0	 
actor network	actors network	actors network|&|network actors	2	3,14727875276	15,2007669467	26,2853982301	2,0	1,0	 
people young	young people	young people	2	3,14727875276	17,3822943406	249,115093412	1,0	1,0	 
reading substitute	substitute for reading	substitute for reading	3	3,14727875276	15,2007669467	163,810297667	2,0	22,0	 
analysis network	network analysis	network analysis|&|Network analysis|&|analysis network	2	22,0309512693	73,269112793	226,093983012	25,0	83,0	 
equity health	health equity	health equity	2	4,72091812914	22,80115042	563,001769912	2,0	1,0	 
density road	road density	road density	2	3,14727875276	17,3822943406	270,443615676	1,0	2,0	 
ecological network	ecological network	ecological network	2	3,14727875276	17,3822943406	397,330194273	1,0	3,0	 
anything datum network social	anything about social network data	anything about social network data	5	7,94284723159	31,0095039104	77,9474390973	4,0	51,0	 
measure network	network measures	network measures	2	4,72091812914	22,80115042	308,305166791	2,0	8,0	 
concept familiar method more	concepts of more familiar methods	concepts of more familiar methods	5	7,94284723159	31,0095039104	77,9474390973	4,0	51,0	 
language specialized	specialized language	specialized language	2	6,29455750551	26,0384791055	77,9474390973	4,0	51,0	 
network profile social	social network profiles	social network profiles|&|social network profile	3	5,95713542369	27,386299556	280,503539823	2,0	1,0	 
network planning	network planning	network planning	2	11,0154756347	53,2026843133	397,330194273	2,0	3,0	 
