stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
analysis function stability transient	function for transient stability analysis	function for transient stability analysis|&|function of transient stability analysis	5	3,9714236158	21,7944129138	289,165001119	1,0	7,0	 
city system	city system	city system	2	31,4727875276	104,568330902	558,634896625	16,0	61,0	 
error identification	error identification	error identification	2	4,72091812914	27,0055169004	174,180543316	1,0	7,0	 
calculation result	calculation results	calculation results	2	6,29455750551	27,2812462915	177,566903504	4,0	22,0	 
flow load	load flow	load flow|&|load flows	2	6,29455750551	27,2812462915	230,431972141	4,0	22,0	 
control system	control system	control system|&|control systems|&|system control	2	25,1782300221	88,7071976504	169,362352947	9,0	62,0	 
power system voltage	power system voltage	power system voltage	3	3,9714236158	19,0416318317	238,054759668	5,0	55,0	 
issue stability	stability issues	stability issues	2	4,72091812914	23,7332258095	279,772104864	2,0	13,0	 
network system	system network	system network|&|system networks|&|network system|&|systems network	2	34,6200662803	102,053251937	357,131764194	46,0	210,0	 
information medical network system	medical information system network	medical information system network	4	3,9714236158	21,7944129138	605,59596973	1,0	5,0	 
network power quality	network power quality	network power quality|&|power quality in a network	3	5,95713542369	28,5624477476	174,357787815	2,0	13,0	 
Power quality	Power quality	Power quality	2	6,29455750551	29,0920776399	205,659453249	3,0	17,0	 
area network	area network	area network	2	17,3100331402	87,0218279682	288,087380791	2,0	9,0	 
bulk power system	bulk power system	bulk power system	3	7,94284723159	38,0832636635	361,884088569	2,0	13,0	 
design system	system design	system design	2	4,72091812914	23,7332258095	247,135546172	2,0	13,0	 
real world	real world	real world	2	4,72091812914	21,8190582299	297,178184724	3,0	15,0	 
power stability system	power system stability	power system stability|&|stability in power system	3	41,6999479659	115,91578312	181,577476829	19,0	158,0	 
sag voltage	voltage sag	voltage sag	2	14,1627543874	71,1996774286	183,144126574	2,0	10,0	 
margin stability system voltage	system voltage stability margin	system voltage stability margin	4	3,9714236158	19,0416318317	197,924118886	2,0	27,0	 
power quality	power quality	power quality	2	11,0154756347	43,2757899911	275,422313392	6,0	37,0	 
system world	world system	world system|&|system world	2	7,86819688189	36,3650970499	249,034506852	4,0	41,0	 
frequency power system	power system frequency	power system frequency|&|frequency power system	3	3,9714236158	19,0416318317	199,354451713	2,0	17,0	 
network topology	network topology	network topology	2	6,29455750551	27,2812462915	320,706139433	6,0	37,0	 
estimation power state system	power system state estimation	power system state estimation	4	9,92855903949	43,5783953151	285,793590503	3,0	26,0	 
algorithm genetic	genetic algorithm	genetic algorithm|&|algorithm and the genetic	2	7,86819688189	32,3458204698	174,94611971	5,0	41,0	 
expert system	expert system	expert system	2	4,72091812914	21,8190582299	210,324714962	3,0	13,0	 
total variance	total variance	total variance	2	4,72091812914	27,0055169004	283,719700828	1,0	8,0	 
estimation state	state estimation	state estimation	2	7,86819688189	39,5553763492	307,049545182	4,0	31,0	 
flow power program	power flow program	power flow program	3	9,92855903949	47,6040795794	196,603959742	2,0	15,0	 
power stability system transient	power system transient stability	power system transient stability	4	5,95713542369	28,5624477476	199,926496486	4,0	30,0	 
power software system	power system software	power system software	3	5,95713542369	26,147037189	286,969656301	3,0	18,0	 
satellite service	satellite service	satellite service	2	4,72091812914	27,0055169004	440,107085027	1,0	3,0	 
model new	new model	new model	2	4,72091812914	21,8190582299	179,388285564	3,0	12,0	 
state system	system state	system state	2	4,72091812914	21,8190582299	276,887802249	6,0	50,0	 
configuration network	network configuration	network configuration	2	4,72091812914	23,7332258095	418,421769174	2,0	5,0	 
margin stability voltage	voltage stability margin	voltage stability margin	3	5,95713542369	28,5624477476	187,013477018	3,0	37,0	 
analysis observability	observability analysis	observability analysis|&|Observability analysis	2	4,72091812914	23,7332258095	188,522945655	2,0	16,0	 
bus power system	bus power system	bus power system	3	5,95713542369	26,147037189	170,992269125	3,0	29,0	 
stability study transient	transient stability studies	transient stability studies	3	3,9714236158	19,0416318317	283,890329545	2,0	12,0	 
decision management risk	risk management decisions	risk management decisions	3	5,95713542369	26,147037189	4831,76520472	3,0	5,0	 
city world	world city	world city	2	4,72091812914	23,7332258095	390,716873595	6,0	38,0	 
logic power stabilizer system	logic power system stabilizer	logic power system stabilizer	4	3,9714236158	19,0416318317	455,773595919	2,0	10,0	 
critical point	critical points	critical points	2	4,72091812914	21,8190582299	428,218638013	3,0	15,0	 
plant power	power plant	power plant|&|power plants	2	11,0154756347	47,7421810102	174,602369268	4,0	33,0	 
analysis contingency	contingency analysis	contingency analysis	2	4,72091812914	23,7332258095	196,801936958	2,0	23,0	 
forecasting load short term	short term load forecasting	short term load forecasting	4	3,9714236158	19,0416318317	377,454879471	2,0	12,0	 
area such	areas such	areas such|&|such areas	2	4,72091812914	21,8190582299	282,687979708	3,0	18,0	 
harmonic power system	power system harmonic	power system harmonic|&|power system harmonics|&|harmonics of power system	3	5,95713542369	28,5624477476	481,905488152	4,0	17,0	 
current transformer	current transformers	current transformers	2	4,72091812914	23,7332258095	261,642774949	2,0	3,0	 
