stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
change land	land change	land change|&|changes in land|&|land changes	2	11,0154756347	38,2443789375	600,313384018	6,0	27,0	 
estimate parameter	parameter estimates	parameter estimates	2	4,72091812914	21,5769067865	574,167791417	2,0	16,0	 
hierarchy network road	hierarchy of the road network	hierarchy of the road network	5	3,9714236158	17,2276507254	354,421217896	2,0	42,0	 
change land-cover land-use	land-use and land-cover change	land-use and land-cover change|&|land-cover and land-use change	4	5,95713542369	25,841476088	433,887986886	2,0	18,0	 
land model use	land use model	land use model|&|land use models	3	19,857118079	64,3229796877	543,108219925	6,0	51,0	 
interaction transport	transport interaction	transport interaction|&|transport interactions	2	4,72091812914	19,6627392069	677,403085936	13,0	119,0	 
land reclamation	land reclamation	land reclamation	2	4,72091812914	21,5769067865	391,50003404	2,0	14,0	 
cover land use	land use and land cover	land use and land cover|&|land cover and land use|&|use land cover	5	17,8714062711	57,8906817189	483,045123009	6,0	43,0	 
policy public transport	public transport policy	public transport policy	3	3,9714236158	17,2276507254	354,421217896	2,0	42,0	 
carbon sequestration	carbon sequestration	carbon sequestration	2	4,72091812914	21,5769067865	631,936067116	2,0	12,0	 
dynamics system	system dynamics	system dynamics	2	4,72091812914	19,6627392069	570,454828572	3,0	23,0	 
integrated land use	integrated land use	integrated land use	3	5,95713542369	23,4260655295	362,191468628	3,0	16,0	 
computer interrelationship model review	review of computer models of the interrelationships	review of computer models of the interrelationships	7	7,94284723159	34,4553014507	473,792047199	2,0	43,0	 
innovative land public use	Innovative land use and public	Innovative land use and public	5	3,9714236158	17,2276507254	354,421217896	2,0	42,0	 
accessibility issue	accessibility issues	accessibility issues	2	7,86819688189	41,4153297957	1559,00064061	1,0	3,0	 
different environment world	different environments around the world	different environments around the world	5	3,9714236158	17,2276507254	708,502225295	2,0	21,0	 
approach weakness	weaknesses of each approach	weaknesses of each approach	4	6,29455750551	28,7692090487	437,169812876	2,0	43,0	 
conversion grassland	grassland conversion	grassland conversion|&|conversion of grassland	2	6,29455750551	26,2169856093	820,675955112	3,0	18,0	 
Integrated analysis ecosystem interaction	Integrated analysis of ecosystem interactions	Integrated analysis of ecosystem interactions	5	3,9714236158	17,2276507254	624,9676206	2,0	12,0	 
