stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
change land	land change	land change|&|changes in land|&|land changes	2	12,589115011	42,2546224519	383,064984935	7,0	36,0	 
estimate parameter	parameter estimates	parameter estimates	2	4,72091812914	21,759674829	614,959187082	2,0	16,0	 
change land-cover land-use	land-use and land-cover change	land-use and land-cover change|&|land-cover and land-use change	4	5,95713542369	26,07210368	458,386498633	2,0	18,0	 
land model use	land use model	land use model|&|land use models	3	19,857118079	65,0917383275	532,921466559	6,0	52,0	 
interaction transport	transport interaction	transport interaction|&|transport interactions	2	4,72091812914	19,8455072494	740,178219802	13,0	115,0	 
land reclamation	land reclamation	land reclamation	2	4,72091812914	21,759674829	387,145954027	2,0	14,0	 
cover land use	land cover and land use	land cover and land use|&|land use and land cover|&|use land cover	5	21,8428298869	68,2338250838	394,169129181	7,0	60,0	 
carbon sequestration	carbon sequestration	carbon sequestration	2	4,72091812914	21,759674829	690,681885516	2,0	12,0	 
dynamics system	system dynamics	system dynamics	2	4,72091812914	19,8455072494	586,009794597	3,0	23,0	 
integrated land use	integrated land use	integrated land use	3	5,95713542369	23,6566931214	352,306126563	3,0	16,0	 
computer interrelationship model review	review of computer models of the interrelationships	review of computer models of the interrelationships	7	7,94284723159	34,7628049066	432,045122613	2,0	43,0	 
accessibility issue	accessibility issues	accessibility issues	2	7,86819688189	41,7199431997	1539,83398191	1,0	3,0	 
different environment world	different environments around the world	different environments around the world	5	3,9714236158	17,3814024533	556,596433277	2,0	20,0	 
approach weakness	weaknesses of each approach	weaknesses of each approach	4	6,29455750551	29,0128997719	395,919227492	2,0	43,0	 
conversion grassland	grassland conversion	grassland conversion|&|conversion of grassland	2	6,29455750551	26,4606763325	877,076869677	3,0	17,0	 
Integrated analysis ecosystem interaction	Integrated analysis of ecosystem interactions	Integrated analysis of ecosystem interactions	5	3,9714236158	17,3814024533	577,565942177	2,0	12,0	 
interaction model transport	transport interaction model	transport interaction model|&|transport interaction models	3	13,8999826553	48,0984833063	558,583990066	6,0	60,0	 
issue special	special issue	special issue	2	6,29455750551	26,4606763325	493,139436982	3,0	20,0	 
interaction society-nature	society-nature interaction	society-nature interaction	2	9,44183625827	43,5193496579	475,598377002	2,0	12,0	 
case city many study world	many case studies around the world of cities	many case studies around the world of cities	8	3,9714236158	17,3814024533	737,638052561	2,0	20,0	 
congestion traffic	traffic congestion	traffic congestion	2	4,72091812914	19,8455072494	526,719860952	3,0	13,0	 
consequent demand effect travel	consequent effects on travel demand	consequent effects on travel demand	5	7,94284723159	34,7628049066	395,919227492	2,0	43,0	 
pattern travel	travel patterns	travel patterns	2	6,29455750551	29,0128997719	499,566072429	2,0	10,0	 
city consequent	cities and the consequent	cities and the consequent	4	6,29455750551	29,0128997719	395,919227492	2,0	43,0	 
land strategy use	land use strategies	land use strategies|&|land use and strategies	3	5,95713542369	26,07210368	600,480317578	2,0	10,0	 
category land-use	land-use categories	land-use categories	2	4,72091812914	21,759674829	358,304696886	2,0	11,0	 
interaction transport use	use transport interaction	use transport interaction	3	3,9714236158	20,1341835354	358,4976229	2,0	24,0	 
change cover land	land cover change	land cover change|&|changes in land cover	3	7,94284723159	29,2572427424	431,203776754	6,0	54,0	 
computing time	computing times	computing times	2	4,72091812914	21,759674829	763,942680568	2,0	15,0	 
model new	new models	new models	2	4,72091812914	19,8455072494	507,14946603	3,0	22,0	 
change technological	technological changes	technological changes	2	9,44183625827	36,9747674762	366,918285418	4,0	54,0	 
major model type	major types of model	major types of model	4	7,94284723159	34,7628049066	395,919227492	2,0	43,0	 
change land use	land use change	land use change|&|land use changes|&|Land use change|&|changes in land use|&|Land use changes|&|change in land use|&|changes of land use	3	125,099843898	212,978598677	469,912295251	30,0	267,0	 
activity economic	economic activity	economic activity	2	4,72091812914	21,759674829	336,577024095	2,0	12,0	 
ecosystem service	ecosystem services	ecosystem services|&|ecosystem service	2	20,4573118929	71,8172700201	396,225288309	6,0	46,0	 
old people	older people	older people	2	6,29455750551	29,0128997719	1539,83398191	2,0	4,0	 
development urban	urban development	urban development	2	11,0154756347	40,6791963697	356,537178597	5,0	60,0	 
model parameter	model parameters	model parameters|&|Parameters of all models|&|parameters of this model	2	6,29455750551	24,6498449841	756,981445456	4,0	30,0	 
change cost effect term transport	term effects of changes in transport costs	term effects of changes in transport costs	7	7,94284723159	34,7628049066	395,919227492	2,0	43,0	 
ecosystem response	ecosystem responses	ecosystem responses	2	11,0154756347	46,3061835818	521,743016431	3,0	18,0	 
