stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
planning spatial	spatial planning	spatial planning	2	7,86819688189	39,1976694392	366,318590871	3,0	16,0	 
flow traffic	traffic flow	traffic flow	2	11,0154756347	51,7077823553	994,321810092	4,0	7,0	 
environment urban	urban environment	urban environment|&|urban environments	2	9,44183625827	40,4926211454	351,725608524	6,0	27,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	6,29455750551	31,3581355514	343,659074313	3,0	16,0	 
land management use	land use management	land use management	3	9,92855903949	47,1527037143	326,152549484	3,0	30,0	 
metropolitan region	metropolitan region	metropolitan region	2	18,8836725165	75,5527482457	269,828228931	8,0	74,0	 
forecasting method modeling	modeling and forecasting method	modeling and forecasting method	4	7,94284723159	40,9427103829	635,934822126	2,0	8,0	 
sprawl urban	urban sprawl	urban sprawl	2	25,1782300221	88,5127701976	324,516285087	13,0	76,0	 
rule transition	transition rules	transition rules|&|Transition rules|&|transition rule	2	14,1627543874	60,738931718	295,714178478	6,0	51,0	 
development future	future development	future development	2	6,29455750551	29,547304203	262,118161916	4,0	33,0	 
ecosystem service	ecosystem services	ecosystem services	2	7,86819688189	35,1783928591	321,939714208	5,0	28,0	 
dynamics urban	urban dynamics	urban dynamics	2	7,86819688189	36,9341302538	308,963303059	4,0	35,0	 
management practice	management practices	management practices	2	6,29455750551	31,3581355514	323,491300755	3,0	19,0	 
land planning use	land use planning	land use planning|&|planning of land use	3	75,4570487001	208,01764826	389,506331317	28,0	219,0	 
dynamics system	system dynamics	system dynamics|&|dynamics of the system	2	18,8836725165	75,5527482457	406,71959666	11,0	82,0	 
information land system urban	urban land information system	urban land information system	4	7,94284723159	37,7221629714	1060,00967691	3,0	19,0	 
network planning	network planning	network planning	2	6,29455750551	33,9103589909	688,991464908	2,0	15,0	 
environmental quality	environmental quality	environmental quality	2	9,44183625827	40,4926211454	246,7660014	6,0	128,0	 
property right	property rights	property rights	2	17,3100331402	81,2550865584	274,092551084	4,0	40,0	 
planning strategy	planning strategies	planning strategies	2	6,29455750551	31,3581355514	321,532886995	3,0	15,0	 
agriculture urban	urban agriculture	urban agriculture|&|agriculture and urban	2	6,29455750551	31,3581355514	735,402052844	3,0	15,0	 
system transportation urban	urban transportation systems	urban transportation systems|&|transportation systems and urban	3	7,94284723159	40,9427103829	326,119428786	2,0	7,0	 
area rural	rural areas	rural areas	2	6,29455750551	29,547304203	429,8118494	4,0	19,0	 
expansion land urban	urban land expansion	urban land expansion|&|Urban land expansion|&|urban expansion land	3	13,8999826553	66,0137852	263,058129578	3,0	22,0	 
land-use management	land-use management	land-use management	2	9,44183625827	44,3209563046	351,966634778	4,0	27,0	 
development regional	regional development	regional development	2	9,44183625827	50,8655384863	351,834143153	2,0	10,0	 
logistic regression	logistic regression	logistic regression	2	6,29455750551	33,9103589909	257,625724529	2,0	15,0	 
loss open space	loss of open space	loss of open space	4	7,94284723159	35,4371482187	658,473098511	4,0	48,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	22,0309512693	83,2288082482	251,422394572	10,0	90,0	 
system urban	urban systems	urban systems|&|urban system	2	12,589115011	50,3684988304	357,415640306	8,0	55,0	 
change cover land	land cover change	land cover change	3	13,8999826553	66,0137852	242,536061936	3,0	37,0	 
demand logistic urban	urban logistics demand	urban logistics demand	3	7,94284723159	40,9427103829	635,934822126	2,0	8,0	 
land-use pattern	land-use patterns	land-use patterns|&|land-use pattern|&|pattern of land-use	2	11,0154756347	51,7077823553	261,627163332	4,0	23,0	 
land market	land markets	land markets|&|land market	2	11,0154756347	47,2413913363	282,876301367	15,0	179,0	 
food production	food production	food production	2	6,29455750551	31,3581355514	658,472011201	3,0	11,0	 
change land-cover land-use	land-use and land-cover change	land-use and land-cover change|&|land-cover and land-use change	4	9,92855903949	44,2964352733	235,796291201	4,0	44,0	 
planning system	planning system	planning system	2	6,29455750551	29,547304203	235,144976954	5,0	42,0	 
land planning urban use	urban land use planning	urban land use planning	4	13,8999826553	58,9133178898	312,926155042	5,0	39,0	 
