stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
demand model travel	travel demand model	travel demand model	3	3,9714236158	17,9430080358	307,652824288	2,0	21,0	 
health human	human health	human health	2	4,72091812914	20,5131000906	458,626151916	3,0	14,0	 
function land	land functions	land functions	2	4,72091812914	25,6995587611	420,271087496	1,0	5,0	 
gas greenhouse	greenhouse gas	greenhouse gas	2	7,86819688189	30,1692235709	449,828773519	10,0	71,0	 
hierarchy network road	hierarchy of the road network	hierarchy of the road network	5	3,9714236158	17,9430080358	270,224811727	2,0	40,0	 
affordability housing	housing affordability	housing affordability	2	4,72091812914	20,5131000906	791,680778151	3,0	39,0	 
land use-transportation	land use-transportation	land use-transportation	2	11,0154756347	40,2285543328	300,362331433	10,0	67,0	 
land planning use	land use planning	land use planning|&|planning of land use	3	43,6856597738	115,602175329	423,570661413	14,0	116,0	 
cover land use	land cover and land use	land cover and land use|&|land use and land cover	5	11,9142708474	48,9982029901	265,963454223	3,0	32,0	 
policy public transport	public transport policy	public transport policy	3	3,9714236158	17,9430080358	270,224811727	2,0	40,0	 
empirical study	empirical studies	empirical studies	2	4,72091812914	20,5131000906	296,36078113	3,0	37,0	 
innovative land public use	Innovative land use and public	Innovative land use and public	5	3,9714236158	17,9430080358	270,224811727	2,0	40,0	 
environmental quality	environmental quality	environmental quality	2	4,72091812914	20,5131000906	791,680778151	3,0	39,0	 
datum geographic information parcel-level system	parcel-level data in a geographic information system	parcel-level data in a geographic information system|&|parcel-level geographic information system data	7	3,9714236158	17,9430080358	560,694248628	2,0	15,0	 
issue special	special issue	special issue	2	4,72091812914	20,5131000906	410,995385635	3,0	18,0	 
datum set	data sets	data sets	2	4,72091812914	20,5131000906	313,458233952	3,0	11,0	 
land model use	land use model	land use model|&|land use models	3	19,857118079	64,8387779884	272,774224599	7,0	56,0	 
generation trip	trip generation	trip generation	2	4,72091812914	20,5131000906	932,735270796	3,0	10,0	 
model travel	travel model	travel model|&|travel models	2	4,72091812914	20,5131000906	285,598778055	3,0	37,0	 
policy reform	policy reform	policy reform	2	4,72091812914	22,4272676702	583,976853935	2,0	15,0	 
energy use	energy use	energy use	2	6,29455750551	25,5399687725	448,613030691	4,0	27,0	 
intense pressure	intense pressure	intense pressure	2	4,72091812914	20,5131000906	791,680778151	3,0	39,0	 
loss open space	loss of open space	loss of open space	4	5,95713542369	24,499101495	791,680778151	3,0	39,0	 
improvement transportation	transportation improvements	transportation improvements|&|transportation improvement	2	7,86819688189	30,1692235709	375,233803672	5,0	37,0	 
