x;y;t;density;cdistance;rdistance;ceucldistance
21;4;28;0.25;10.94427190999916;2.23606797749979;7.0710678118654755
41;49;28;0;54.04266495571821;21.470910553583888;47.16990566028302
26;54;28;0;55.43630895053441;23.769728648009426;46.09772228646444
41;34;28;0;43.342084016403334;10.770329614269007;35.35533905932738
31;29;28;0.06172839506172839;31.94859165494892;0;25
21;24;28;0.1728395061728395;22.929481767743006;2;15.811388300841896
6;19;28;0.1111111111111111;21.61070003879811;1;14.142135623730951
16;29;28;0.07407407407407407;33.23075754097565;2.8284271247461903;20
16;4;28;0.225;6.893899270676423;0;5
16;44;28;0;43.70817488131728;12.041594578792296;35
26;34;28;0.024691358024691357;38.97487863956717;6.4031242374328485;26.92582403567252
46;14;28;0.04938271604938271;33.83996562223397;2;30.4138126514911
31;19;28;0.09876543209876543;26.75730871164025;1.4142135623730951;18.027756377319946
41;19;28;0.06172839506172839;36.83090129360483;5.830951894845301;26.92582403567252
46;9;28;0.024691358024691357;34.87880427085213;3;30
6;39;28;0.012345679012345678;35.65191086970801;8;31.622776601683793
36;49;28;0;52.21863710652282;19.6468827043885;44.721359549995796
31;4;28;0.1625;23.263102417797167;3;15.811388300841896
1;24;28;0.03636363636363636;28.877446676451985;0;21.213203435596427
26;9;28;0.25925925925925924;12.726728074725177;1;10
11;54;28;0;54.47008880450774;22.80350850198276;45.27692569068709
26;14;28;0.19753086419753085;12.940505359883973;1;11.180339887498949
46;29;28;0;43.20650501449323;12.206555615733702;36.05551275463989
11;29;28;0.09876543209876543;28.060800740895576;2.23606797749979;20.615528128088304
16;24;28;0.16049382716049382;30.39041596058002;4.242640687119285;15
26;4;28;0.25;19.79711760821681;4.123105625617661;11.180339887498949
36;14;28;0.12345679012345678;22.779784757259343;1;20.615528128088304
26;39;28;0;42.867384543121325;10.295630140987;31.622776601683793
21;14;28;0.25925925925925924;8.962873571134168;1.4142135623730951;7.0710678118654755
1;44;28;0;41.58029914689213;13.92838827718412;38.07886552931954
21;49;28;0;49.13082949909796;17.46424919657298;40.311288741492746
46;34;28;0;48.09592909839435;15.524174696260024;39.05124837953327
36;29;28;0.024691358024691357;37.67077391572711;5.0990195135927845;28.284271247461902
36;9;28;0.13580246913580246;24.33808044897068;2.23606797749979;20
21;39;28;0;39.72883805082353;8.06225774829855;30.4138126514911
51;14;28;0;37.26396907798663;5.385164807134504;35.35533905932738
1;54;28;0;51.18911546158765;23.53720459187964;47.43416490252569
36;24;28;0.06172839506172839;32.99994939875953;2;25
46;49;28;0;56.77919127595473;24.20743687382041;50
51;44;28;0;56.98486563360173;24.413111231467404;49.49747468305833
26;49;28;0;50.90196436419633;19.235384061671343;41.23105625617661
41;14;28;0.07407407407407407;27.779784757259343;1;25.495097567963924
51;24;28;0;44.87880427085213;13;38.07886552931954
6;29;28;0.12345679012345678;26.10740128655997;0;22.360679774997898
1;39;28;0.01818181818181818;37.08589200176461;9.433981132056603;33.54101966249684
36;39;28;0;42.867384543121325;10.295630140987;36.05551275463989
16;49;28;0;48.69596666845139;17.029386365926403;40
16;14;28;0.18518518518518517;12.98779593063379;3.1622776601683795;5
11;39;28;0;40.886124759817875;9.219544457292887;30.4138126514911
6;49;28;0;45.65191086970801;18;41.23105625617661
51;49;28;0;60.157982850401766;27.586228448267445;53.150729063673246
41;9;28;0.07407407407407407;31.702107460023022;4.123105625617661;25
26;44;28;0;47.43782314945283;14.866068747318506;36.40054944640259
41;29;28;0;39.602274665802156;8.602325267042627;32.01562118716424
11;4;28;0.275;12.942772368100647;2.23606797749979;7.0710678118654755
51;34;28;0;50.20932211105808;19.209372712298546;43.01162633521314
31;39;28;0;41.571754402134324;9;33.54101966249684
31;49;28;0;51.571754402134324;19;42.720018726587654
11;14;28;0.20987654320987653;10.006589679763179;1;7.0710678118654755
51;54;28;0;63.81275310576094;31.240998703626616;57.0087712549569
51;9;28;0;37.70975616569743;5.830951894845301;35
31;14;28;0.14814814814814814;21.893956786321656;1;15.811388300841896
41;39;28;0;46.025378449208034;13.45362404707371;39.05124837953327
21;44;28;0;44.315690943198504;12.649110640673518;35.35533905932738
6;4;28;0.325;16.25057402799971;2.8284271247461903;11.180339887498949
46;39;28;0;50.06461008667023;17.4928556845359;42.42640687119285
31;54;28;0;56.571754402134324;24;47.43416490252569
11;44;28;0;45.08298816752372;13.416407864998739;35.35533905932738
31;9;28;0.16049382716049382;17.43726867007241;2.23606797749979;15
21;29;28;0.09876543209876543;26.833843389353838;0;20.615528128088304
16;34;28;0.012345679012345678;33.90264828002478;2.23606797749979;25
41;24;28;0.037037037037037035;36.385114205894034;5.385164807134504;29.154759474226502
31;44;28;0;46.571754402134324;14;38.07886552931954
1;14;28;0.16363636363636364;17.40615530295805;2.23606797749979;15.811388300841896
51;29;28;0;47.55289475600638;16.55294535724685;40.311288741492746
31;34;28;0.024691358024691357;36.571754402134324;4;29.154759474226502
41;4;28;0.1;31.09405431264247;5.830951894845301;25.495097567963924
16;9;28;0.19753086419753085;0;0;0
21;34;28;0.024691358024691357;34.32397387419589;4.242640687119285;25.495097567963924
21;54;28;0;54.02726007752288;22.360679774997898;45.27692569068709
21;9;28;0.18518518518518517;6.329089336770099;2.23606797749979;5
