"The socio-spatial dynamics of systems of cities and innovation processes: a multi-level model";"484546251878757817";"2008";"Following a first attempt presented as the SIMPOP model (a multi-agents systems whose prototype is described in Bura et al. 1996), our aim is to develop a generic model for simulating the evolution of systems of towns and cities, using the SWARM simulation platform. The scientific issue is: to understand how cities that are interconnected through material and immaterial networks co-evolve, within an environment where social and economic innovation continuously emerge, while maintaining at a macro-geographical scale functional, hierarchic and spatial differentiation which evolve at a much slower pace. The SIMPOP2 model is designed for testing hypothesis about the general processes of urbanisation and interactions between towns and cities. The objective is to identify and order the rules and parameters that have produced a variety of configuration at the level of the systems of cities, according mainly to the changing conditions of spatial interaction: communication means, transportation speed, range of trading activities, proximity networks and long distance connectivity. Three main varieties of urban systems that have had different histories of urbanisation and conditions of circulation will be investigated: developed countries with old settlement systems, developed countries of much more recent urbanisation, and developing countries. A first generic version of the model includes the minimal rules that seem necessary for reproducing the emergence and evolution of any system of cities, whereas three different scenarios will be constructed for simulating the characteristic features of the three main variations.";"Denise Pumain,"
"Multi-agent systems for simulating spatial decision behaviors and land-use dynamics";"1889911859184626540";"2006";"A new method to simulate urban land-use dynamics is proposed based on multi-agent systems (MAS). The model consists of a series of environmental layers and multi-agent layers, which can interact with each other. It attempts to explore the interactions between different players or agents, such as residents, property developers, and governments, and between these players and the environment. These interactions can give rise to urban macro-spatial patterns. This model is used to simulate the land-use dynamics of the Haizhu district of Guangzhou City in 1995–2004. Cellular automata (CA) were also used for the simulation of land use changes as a comparison. The study indicates that MAS has better performance for simulating complex cities than CA.";"Xia Li,Xiaoping Liu,Gar On Yeh Anthony,"
"Accelerating agent-based computation of complex urban systems";"8964248395038901798";"2012";"Despite its popularity, agent-based modeling is limited by serious barriers that con- strain its usefulness as an exploratory tool. In particular, there is a paucity of systematic approaches for extracting coarse-grained, system-level information as it emerges in direct simulation. This is particularly problematic for agent-based models (ABMs) of complex urban systems in which macroscopic phenomena, such as sprawl, may manifest themselves coarsely from bottom-up dynamics among diverse agent-actors interacting across scales. Often these connections are not known, but treating them is nevertheless crucial in enabling prediction, in supporting decisions, and in facilitat- ing the design, control, and optimization of urban systems. In this article, we describe and implement a metasimulation scheme for extracting macroscopic information from local dynamics of agent-based simulation, which allows acceleration of coarse-scale computing and which may also serve as a precursor to handle emergence in complex urban simulation.We compare direct ABM simulation, population-level equation solu- tions, and coarse projective integration.We apply the scheme to the simulation of urban sprawl from local drivers of urbanization, urban growth, and population dynamics. Numerical examples of the three approaches are provided to compare their accuracy and efficiency.We find that our metasimulation scheme can significantly accelerate complex urban simulations while maintaining faithful representation of the original model.";"Ioannis G. Kevrekidis,Yu Zou,Paul M. Torrens,Roger G. Ghanem,"
"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model";"5750425554346314152";"2014";"Multi-agent geographical models integrate very large numbers of spatial interactions. In order to validate those models large amount of computing is necessary for their simulation and calibration. Here a new data processing chain including an automated calibration procedure is experimented on a computational grid using evolutionary algorithms. This is applied for the first time to a geographical model designed to simulate the evolution of an early urban settlement system. The method enables us to reduce the computing time and provides robust results. Using this method, we identify several parameter settings that minimise three objective functions that quantify how closely the model results match a reference pattern. As the values of each parameter in different settings are very close, this estimation considerably reduces the initial possible domain of variation of the parameters. The model is thus a useful tool for further multiple applications on empirical historical situations.";"Sébastien Rey-Coyrehourcq,Clara Schmitt,Denise Pumain,Romain Reuillon,"
" Video games and urban simulation: new tools or new tricks?";"15363435225343605206";"2012";"Video games allow complex systems modelling, revealing retroaction loops, replicating self-organization and the emergence of hierarchical organization, functional differentiation and social segregation through multi-level interactions. Recent trends focus on improving modelling tools’ graphic quality and interface attractiveness and on using video games to facilitate urban studies teaching and research. This apparent convergence between simulation and video games is addressed through a selection of strategy and city builder video games. Comparisons reveal that simulations and video games point to similar results:, they both allow the simulation of complex urban processes, like hierarchical urban networks or urban segregation. Games even seem to allow going one step further, being often more comprehensive simulations. However, the main limitation of video games emerges from their didactic power: video games and simulation software implement rules and models in almost opposite means. Games induce players to learn the model but not to challenge or to produce new knowledge.";"Hovig Ter Minassian,Samuel Rufat,"
" Growing models from the bottom up. An evaluation-based incremental modelling method (EBIMM) applied to the simulation of systems of cities";"15445287396704063108";"2015";"This paper presents an incremental method of parsimonious modelling using intensive and quantitative evaluation. It is applied to a research question in urban geography, namely how well a simple and generic model of a system of cities can reproduce the evolution of Soviet urbanisation. We compared the ability of two models with different levels of complexity to satisfy goals at two levels. The macro-goal is to simulate the evolution of the system’s hierarchical structure. The micro-goal is to simulate its micro-dynamics in a realistic way. The evaluation of the models is based on empirical data through a calibration that includes sensitivity analysis using genetic algorithms and distributed computing. We show that a simple model of spatial interactions cannot fully reproduce the observed evolution of Soviet urbanisation from 1959 to 1989. A better fit was achieved when the model’s structure was complexified with two mechanisms. Our evaluation goals were assessed through intensive sensitivity analysis. The complexified model allowed us to simulate the evolution of the Soviet urban hierarchy.";"Paul Chapron,Clémentine Cottineau,Romain Reuillon,"
"Alternative explanations of hierarchical differentiation in urban systems";"5665898058354109834";"2006";"Cities1 always have been the locus of power and social organisation. They were also places of social and technological innovation, accompanying an increasingly complex division of labour and growing economic accumulation. In the history of societies, cities emerged at different moments on different parts of the earth, several thousand years ago, but always after agricultural techniques had been invented (about 3000 years later) and coinciding with new forms of political organisation in society (Bairoch, 1985). The maximum city size increased through history, following demographic and economic growth and technological progress. As recalled by Michael Batty in the preceding chapter, “there are always many more smaller cities than larger ones”. A less known fact is that all through historical times, as well as today in every country, in wider regions such as Europe or even in the entire world, city sizes differentiate in a surprising regular manner: the number of cities follows an inverse geometric progression in relation to their size. It is therefore not surprising if the notion of hierarchy seems almost intrinsic in urban systems, and in the two acceptations mentioned in the introduction to this book.";"Denise Pumain,"
"Geographic automata systems: a new paradigm for integrating GIS and geographic simulation";"17972997284072990107";"2003";"Geographic simulation is concerned with automata-based methodologies for simulating discrete, dynamic, and action-oriented spatial systems, combining cellular automata and multi-agent systems in a spatial context. In this paper, we propose a paradigm for integrating GIS and geosimulation into what we term Geographic Automata Systems (GAS), the latter fusing the two into full-blown, symbiotic systems.";"Itzhak Benenson,Paul M Torrens,"
" A New Method to Evaluate Simulation Models: The Calibration Profile (CP) Algorithm";"15726759740229850049";"2015";"© 2015 JASSS. Models of social systems generally contain free parameters that cannot be evaluated directly from data. A calibration phase is therefore necessary to assess the capacity of the model to produce the expected dynamics. However, despite the high computational cost of this calibration it doesn't produce a global picture of the relationship between the parameter space and the behaviour space of the model. The Calibration Profile (CP) algorithm is an innovative method extending the concept of automated calibration processes. It computes a profile that depicts the effect of each single parameter on the model behaviour, independently from the others. A 2-dimensional graph is thus produced exposing the impact of the parameter under study on the capacity of the model to produce expected dynamics. The first part of this paper is devoted to the formal description of the CP algorithm. In the second part,we apply it to an agent based geographical model (SimpopLocal). The analysis of the results brings to light novel insights on the model.";"Clara Schmitt,Jean Baptiste Mouret,Romain Reuillon,Ricardo De Aldama,"
" Complexity, cognition and the city";"12899164016634241157";"2013";"Predicting the binding mode of flexible polypeptides to proteins is an important task that falls outside the domain of applicability of most small molecule and protein−protein docking tools. Here, we test the small molecule flexible ligand docking program Glide on a set of 19 non-α-helical peptides and systematically improve pose prediction accuracy by enhancing Glide sampling for flexible polypeptides. In addition, scoring of the poses was improved by post-processing with physics-based implicit solvent MM- GBSA calculations. Using the best RMSD among the top 10 scoring poses as a metric, the success rate (RMSD ≤ 2.0 Å for the interface backbone atoms) increased from 21% with default Glide SP settings to 58% with the enhanced peptide sampling and scoring protocol in the case of redocking to the native protein structure. This approaches the accuracy of the recently developed Rosetta FlexPepDock method (63% success for these 19 peptides) while being over 100 times faster. Cross-docking was performed for a subset of cases where an unbound receptor structure was available, and in that case, 40% of peptides were docked successfully. We analyze the results and find that the optimized polypeptide protocol is most accurate for extended peptides of limited size and number of formal charges, defining a domain of applicability for this approach.";"A.G Fallis,"
