stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
excitation system	excitation system	excitation system	2	7,86819688189	32,4273569184	199,007106155	4,0	28,0	 
city system	city system	city system	2	31,4727875276	97,8715271176	492,500211908	16,0	61,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	7,86819688189	34,6908961038	118,68509877	3,0	24,0	 
calculation result	calculation results	calculation results	2	4,72091812914	20,8145376623	283,811476379	3,0	12,0	 
flow load	load flow	load flow|&|load flows	2	6,29455750551	25,9418855347	151,686356248	4,0	20,0	 
energy storage	energy storage	energy storage	2	17,3100331402	76,3199714285	135,550158092	3,0	21,0	 
grid power	power grid	power grid	2	4,72091812914	20,8145376623	241,846134669	3,0	12,0	 
agent negotiation process	negotiation process between agents	negotiation process between agents	4	3,9714236158	18,1965892795	274,372083651	2,0	14,0	 
network system	system network	system network|&|system networks|&|network system|&|systems network	2	34,6200662803	94,6867677749	253,387882878	46,0	196,0	 
error estimation state total variance	total variance of the state estimation errors	total variance of the state estimation errors|&|total variance of state estimation errors	7	5,95713542369	31,4240555424	246,820403284	1,0	5,0	 
network power quality	network power quality	network power quality|&|power quality in a network	3	5,95713542369	27,2948839193	150,28485141	2,0	13,0	 
Power quality	Power quality	Power quality	2	6,29455750551	27,7527168831	141,47467312	3,0	14,0	 
area network	area network	area network	2	17,3100331402	83,338585887	261,092066037	2,0	9,0	 
design system	system design	system design	2	4,72091812914	22,7287052419	133,439177678	2,0	13,0	 
real world	real world	real world	2	4,72091812914	20,8145376623	524,48197649	3,0	15,0	 
power stability system	power system stability	power system stability|&|stability in power system	3	11,9142708474	43,672831884	165,129804111	5,0	39,0	 
power quality	power quality	power quality	2	11,0154756347	40,9319086667	233,157040949	6,0	34,0	 
system world	world system	world system|&|system world	2	7,86819688189	34,6908961038	179,358687405	4,0	40,0	 
protection relay	relay protection	relay protection	2	4,72091812914	22,7287052419	205,87258355	2,0	6,0	 
response system	system responses	system responses|&|system response	2	11,0154756347	42,9402673332	139,407914782	5,0	38,0	 
frequency power system	power system frequency	power system frequency|&|frequency power system	3	3,9714236158	18,1965892795	156,643232336	2,0	15,0	 
economy world	world economy	world economy	2	4,72091812914	22,7287052419	172,01403487	2,0	6,0	 
assignment mode-split model	mode-split assignment models	mode-split assignment models|&|mode-split assignment model	3	3,9714236158	20,9493703616	377,426326106	1,0	3,0	 
network topology	network topology	network topology	2	4,72091812914	20,8145376623	301,07273972	5,0	25,0	 
algorithm genetic	genetic algorithm	genetic algorithm|&|algorithm and the genetic	2	7,86819688189	30,6716195237	149,414189408	5,0	38,0	 
assessment datum dose-response hazard identification	hazard identification and dose-response assessment data	hazard identification and dose-response assessment data	6	3,9714236158	18,1965892795	1785,60892061	2,0	4,0	 
distribution network system	distribution system network	distribution system network|&|system in the distribution network	3	3,9714236158	18,1965892795	165,486623784	2,0	14,0	 
area such	areas such	areas such|&|such areas	2	4,72091812914	20,8145376623	222,837602839	3,0	17,0	 
estimation state	state estimation	state estimation	2	4,72091812914	22,7287052419	175,278959401	2,0	10,0	 
model new	new model	new model	2	4,72091812914	20,8145376623	253,798963651	3,0	10,0	 
result simulation	simulation results	simulation results|&|Simulation results	2	14,1627543874	48,5523691805	122,817517138	8,0	54,0	 
relay system	relay systems	relay systems	2	4,72091812914	20,8145376623	406,120135063	3,0	10,0	 
city international role system	role of cities in the international system	role of cities in the international system	7	3,9714236158	18,1965892795	299,238150677	2,0	21,0	 
bus power system	bus power system	bus power system	3	3,9714236158	18,1965892795	176,010494267	2,0	17,0	 
network power	power network	power network|&|network power	2	9,44183625827	38,9128283021	153,986114867	5,0	33,0	 
logic power system	logic power system	logic power system	3	3,9714236158	18,1965892795	250,671361359	2,0	10,0	 
city world	world city	world city	2	4,72091812914	22,7287052419	353,721649204	6,0	38,0	 
logic power stabilizer system	logic power system stabilizer	logic power system stabilizer	4	3,9714236158	18,1965892795	250,671361359	2,0	10,0	 
plant power	power plant	power plant|&|power plants	2	11,0154756347	45,3982996858	124,254641141	4,0	30,0	 
city size	city size	city size	2	6,29455750551	30,3049403225	292,045100099	2,0	4,0	 
plan power system	power system planning	power system planning	3	11,9142708474	46,3314245922	170,149150311	4,0	23,0	 
