stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
analysis function stability transient	function for transient stability analysis	function for transient stability analysis|&|function of transient stability analysis	5	3,9714236158	21,6080859506	262,392201334	1,0	7,0	 
excitation system	excitation system	excitation system	2	9,44183625827	38,3720026893	206,750836138	5,0	36,0	 
city system	city system	city system	2	31,4727875276	103,091724654	520,251960067	16,0	61,0	 
error identification	error identification	error identification	2	4,72091812914	26,7840259632	178,423971688	1,0	8,0	 
total variance	total variance	total variance	2	4,72091812914	26,7840259632	219,708088832	1,0	7,0	 
calculation result	calculation results	calculation results	2	6,29455750551	26,985925042	246,942632962	4,0	21,0	 
flow load	load flow	load flow|&|load flows	2	6,29455750551	26,985925042	214,755509448	4,0	22,0	 
grid power	power grid	power grid	2	14,1627543874	57,558004034	172,961937553	5,0	34,0	 
issue stability	stability issues	stability issues	2	4,72091812914	23,5117348723	284,267370836	2,0	13,0	 
network system	system network	system network|&|system networks|&|network system|&|systems network	2	34,6200662803	100,428985065	290,499509494	46,0	210,0	 
communication network	communication network	communication network|&|network communication	2	6,29455750551	31,3489798298	192,634523838	2,0	16,0	 
analysis network	network analysis	network analysis	2	6,29455750551	28,7967563903	167,828214737	3,0	29,0	 
Power quality	Power quality	Power quality	2	6,29455750551	28,7967563903	217,022934438	3,0	15,0	 
network topology	network topology	network topology	2	6,29455750551	26,985925042	249,027222576	6,0	37,0	 
bulk power system	bulk power system	bulk power system	3	7,94284723159	37,710609737	316,833425104	2,0	13,0	 
design system	system design	system design	2	4,72091812914	23,5117348723	215,627920606	2,0	13,0	 
enhancement stability	stability enhancement	stability enhancement	2	4,72091812914	21,5975672927	181,112007134	3,0	26,0	 
power stability system	power system stability	power system stability|&|stability in power system	3	27,7999653106	87,2448159445	178,668706634	13,0	112,0	 
