stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
excitation system	excitation system	excitation system|&|excitation systems	2	4,72091812914	19,9635363502	215,760925947	3,0	16,0	 
city system	city system	city system|&|city systems|&|cities in the system	2	31,4727875276	89,4596944564	314,684737402	17,0	63,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	7,86819688189	33,2725605837	143,281427371	3,0	21,0	 
calculation result	calculation results	calculation results	2	4,72091812914	19,9635363502	146,542670216	3,0	11,0	 
flow load	load flow	load flow|&|load flows	2	6,29455750551	24,8072171186	119,556219809	4,0	20,0	 
result simulation	Simulation results	Simulation results|&|simulation results	2	9,44183625827	33,3824905187	150,240597336	6,0	31,0	 
agent negotiation process	negotiation process between agents	negotiation process between agents	4	3,9714236158	17,4806932153	180,57552763	2,0	15,0	 
network system	system network	system network|&|system networks|&|systems network|&|network system	2	28,3255087748	76,1473285767	219,860333402	43,0	160,0	 
exchanger heat layout network	heat exchanger network layout	heat exchanger network layout	4	3,9714236158	20,2334742974	322,168472607	1,0	8,0	 
network observability	network observability	network observability	2	6,29455750551	29,1702719064	83,978127649	2,0	12,0	 
real world	real world	real world	2	4,72091812914	19,9635363502	328,054104071	3,0	16,0	 
power stability system	power system stability	power system stability|&|stability in power system	3	3,9714236158	17,4806932153	137,89352373	2,0	13,0	 
exchanger heat process	process heat exchangers	process heat exchangers	3	3,9714236158	20,2334742974	322,168472607	1,0	8,0	 
design network system	system network design	system network design	3	3,9714236158	17,4806932153	406,733785567	2,0	5,0	 
network planning	network planning	network planning	2	9,44183625827	39,9270727004	224,295015201	4,0	15,0	 
duty process requirement	process duty requirements	process duty requirements	3	3,9714236158	20,2334742974	322,168472607	1,0	8,0	 
power quality	power quality	power quality	2	11,0154756347	43,4126299575	167,173813514	4,0	22,0	 
system world	world system	world system|&|system world	2	7,86819688189	33,2725605837	99,1619823534	4,0	40,0	 
protection relay	relay protection	relay protection	2	4,72091812914	21,8777039298	156,211133315	2,0	4,0	 
economy world	world economy	world economy	2	4,72091812914	21,8777039298	105,414959865	2,0	6,0	 
area network	area network	area network	2	17,3100331402	80,2182477426	236,409618574	2,0	11,0	 
European city system	European city system	European city system	3	3,9714236158	20,2334742974	43,799622438	1,0	1,0	 
algorithm genetic	genetic algorithm	genetic algorithm|&|algorithm and the genetic	2	7,86819688189	29,2532840035	107,501204889	5,0	28,0	 
distribution network system	distribution system network	distribution system network|&|system in the distribution network	3	3,9714236158	17,4806932153	135,777836012	2,0	11,0	 
area such	areas such	areas such|&|such areas	2	4,72091812914	19,9635363502	186,476267866	3,0	17,0	 
relay system	relay systems	relay systems	2	4,72091812914	19,9635363502	439,742748564	3,0	8,0	 
city international role system	role of cities in the international system	role of cities in the international system	7	3,9714236158	17,4806932153	178,609392362	2,0	21,0	 
environment network system	system network environment	system network environment	3	5,95713542369	26,221039823	218,024713483	2,0	6,0	 
immune network system	immune system network	immune system network	3	3,9714236158	17,4806932153	43,5375428863	2,0	3,0	 
assessment data dose-response hazard identification	hazard identification and dose-response assessment data	hazard identification and dose-response assessment data	6	3,9714236158	17,4806932153	1145,61386963	2,0	4,0	 
end terminal user	end user terminal	end user terminal	3	3,9714236158	20,2334742974	138,196406119	1,0	3,0	 
decision management risk	risk management decisions	risk management decisions	3	5,95713542369	23,8056292644	1605,05560333	3,0	5,0	 
inverse system	inverse system	inverse system	2	4,72091812914	25,1499950207	156,016089609	1,0	8,0	 
city world	world city	world city	2	4,72091812914	21,8777039298	207,006054439	6,0	38,0	 
network system topology	system network topology	system network topology	3	3,9714236158	17,4806932153	142,324530745	2,0	9,0	 
building model	building model	building model	2	6,29455750551	33,5333266942	217,90057275	1,0	5,0	 
area infrastructure network	area network infrastructure	area network infrastructure	3	3,9714236158	20,2334742974	291,090483195	1,0	6,0	 
modern power system	modern power systems	modern power systems	3	3,9714236158	17,4806932153	232,065435631	2,0	11,0	 
architectural object virtual	virtual architectural objects	virtual architectural objects	3	3,9714236158	17,4806932153	314,806147403	2,0	11,0	 
national power system	national power system	national power system	3	3,9714236158	17,4806932153	145,385095292	2,0	13,0	 
forecasting load short term	short term load forecasting	short term load forecasting	4	3,9714236158	17,4806932153	224,897271569	2,0	10,0	 
control problem stability	stability and control problems	stability and control problems	4	3,9714236158	17,4806932153	170,36264752	2,0	8,0	 
harmonic system	system harmonic	system harmonic|&|system harmonics	2	6,29455750551	29,1702719064	185,794475389	3,0	12,0	 
area measurement wide	wide area measurement	wide area measurement	3	3,9714236158	17,4806932153	127,152086267	2,0	12,0	 
data model	data model	data model|&|model data	2	6,29455750551	29,1702719064	674,67786595	2,0	6,0	 
design network	network design	network design	2	4,72091812914	21,8777039298	467,660747622	3,0	11,0	 
flow power	power flow	power flow	2	4,72091812914	21,8777039298	115,737468224	2,0	17,0	 
power stabilizer system	power system stabilizer	power system stabilizer	3	9,92855903949	39,676048774	211,166942587	4,0	20,0	 
international standard	international standards	international standards	2	4,72091812914	19,9635363502	184,662288092	3,0	11,0	 
network structure	network structure	network structure	2	9,44183625827	43,7554078596	268,79094531	2,0	6,0	 
management network	network management	network management	2	7,86819688189	36,462839883	100,234963984	2,0	2,0	 
manager negotiation process	manager for negotiation process	manager for negotiation process	4	3,9714236158	17,4806932153	180,57552763	2,0	15,0	 
control system	control system	control system|&|control systems|&|system control	2	11,0154756347	43,4126299575	165,455514973	4,0	20,0	 
city system world	world city system	world city system	3	9,92855903949	36,819780333	194,031328726	4,0	35,0	 
artificial network neural	artificial neural network	artificial neural network|&|artificial neural networks	3	11,9142708474	44,1837363997	192,271672198	4,0	15,0	 
electric power system	electric power system	electric power system	3	5,95713542369	23,8056292644	108,217999655	3,0	17,0	 
area power system	area power system	area power system	3	5,95713542369	26,221039823	330,011556732	2,0	8,0	 
city decadal distribution size	decadal city size distributions	decadal city size distributions	4	3,9714236158	20,2334742974	279,952604407	1,0	4,0	 
mobile phone	mobile phones	mobile phones	2	6,29455750551	29,1702719064	314,806147403	2,0	11,0	 
operation power system	power system operation	power system operation|&|power system operations	3	15,8856944632	55,3668582553	106,890086406	5,0	47,0	 
power system	power system	power system|&|power systems|&|system power	2	116,449313852	172,019497395	118,551212468	67,0	285,0	 
network power	power network	power network|&|network power	2	11,0154756347	46,5815848171	150,90174199	4,0	24,0	 
