stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
fringe rural-urban	rural-urban fringe	rural-urban fringe	2	11,0154756347	48,5558925272	274,098257284	5,0	33,0	 
planning spatial	spatial planning	spatial planning	2	7,86819688189	38,7020569567	351,357200321	3,0	17,0	 
flow traffic	traffic flow	traffic flow	2	11,0154756347	51,0139248797	1019,31809673	4,0	7,0	 
environment urban	urban environment	urban environment|&|urban environments	2	9,44183625827	39,8978861663	285,712649312	6,0	28,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	6,29455750551	30,9616455654	349,947439039	3,0	16,0	 
land management use	land use management	land use management	3	9,92855903949	46,5273103913	293,586921338	3,0	33,0	 
metropolitan region	metropolitan region	metropolitan region	2	18,8836725165	74,3632782875	304,585417233	8,0	74,0	 
forecasting method modeling	modeling and forecasting method	modeling and forecasting method	4	7,94284723159	40,4423957245	651,863241746	2,0	8,0	 
sprawl urban	urban sprawl	urban sprawl	2	25,1782300221	86,9268102534	315,158666208	13,0	79,0	 
rule transition	transition rules	transition rules|&|Transition rules|&|transition rule	2	14,1627543874	59,8468292494	326,286944556	6,0	50,0	 
development future	future development	future development	2	6,29455750551	29,150814217	265,987597267	4,0	33,0	 
ecosystem service	ecosystem services	ecosystem services	2	7,86819688189	34,6827803766	332,718961451	5,0	28,0	 
dynamics urban	urban dynamics	urban dynamics	2	7,86819688189	36,4385177712	316,535501539	4,0	35,0	 
management practice	management practices	management practices	2	6,29455750551	30,9616455654	305,335737758	3,0	20,0	 
land planning use	land use planning	land use planning|&|planning of land use	3	75,4570487001	203,264659005	502,307878594	28,0	243,0	 
dynamics system	system dynamics	system dynamics|&|dynamics of the system	2	18,8836725165	74,3632782875	373,586520537	11,0	85,0	 
information land system urban	urban land information system	urban land information system	4	7,94284723159	37,221848313	1180,47315391	3,0	18,0	 
network planning	network planning	network planning	2	6,29455750551	33,5138690048	706,853247821	2,0	15,0	 
environmental quality	environmental quality	environmental quality	2	9,44183625827	39,8978861663	248,330737724	6,0	130,0	 
planning strategy	planning strategies	planning strategies	2	6,29455750551	30,9616455654	326,189636151	3,0	15,0	 
agriculture urban	urban agriculture	urban agriculture|&|agriculture and urban	2	6,29455750551	30,9616455654	658,510724586	3,0	16,0	 
system transportation urban	urban transportation systems	urban transportation systems|&|transportation systems and urban	3	7,94284723159	40,4423957245	364,146635437	2,0	7,0	 
land-use management	land-use management	land-use management	2	9,44183625827	43,7262213255	319,360250839	4,0	27,0	 
development regional	regional development	regional development	2	9,44183625827	50,2708035072	326,053222659	2,0	11,0	 
logistic regression	logistic regression	logistic regression	2	6,29455750551	33,5138690048	260,082625766	2,0	15,0	 
loss open space	loss of open space	loss of open space	4	7,94284723159	34,9368335603	659,551740768	4,0	49,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	20,4573118929	78,1506938487	267,758316543	9,0	87,0	 
system urban	urban systems	urban systems|&|urban system	2	12,589115011	49,5755188584	384,246179884	8,0	54,0	 
change cover land	land cover change	land cover change	3	13,8999826553	65,1382345478	254,931185613	3,0	37,0	 
demand logistic urban	urban logistics demand	urban logistics demand	3	7,94284723159	40,4423957245	651,863241746	2,0	8,0	 
land-use pattern	land-use patterns	land-use patterns|&|land-use pattern|&|pattern of land-use	2	11,0154756347	51,0139248797	269,891354924	4,0	23,0	 
land market	land market	land market|&|land markets	2	9,44183625827	41,6193364519	310,253453746	14,0	169,0	 
food production	food production	food production	2	6,29455750551	30,9616455654	589,959862349	3,0	12,0	 
change land-cover land-use	land-use and land-cover change	land-use and land-cover change|&|land-cover and land-use change	4	9,92855903949	43,6710419504	240,053688915	4,0	44,0	 
planning system	planning system	planning system	2	6,29455750551	29,150814217	259,433894701	5,0	44,0	 
land planning urban use	urban land use planning	urban land use planning	4	13,8999826553	58,0377672376	308,681191777	5,0	43,0	 
information land	land information	land information	2	6,29455750551	29,150814217	794,633948712	6,0	39,0	 
method modeling	modeling methods	modeling methods|&|modeling method	2	14,1627543874	57,6636310324	1179,35102042	7,0	11,0	 
land price	land price	land price|&|land prices	2	25,1782300221	99,1510377167	327,733053798	8,0	62,0	 
land urban	urban land	urban land	2	34,6200662803	116,958741191	388,950459779	14,0	98,0	 
land planning sustainable use	sustainable land use planning	sustainable land use planning	4	7,94284723159	34,9368335603	321,926013653	4,0	39,0	 
design network problem	network design problem	network design problem	3	11,9142708474	55,8327724696	1572,16922137	3,0	11,0	 
land management	land management	land management	2	11,0154756347	51,0139248797	258,217578607	6,0	44,0	 
land market urban	urban land market	urban land market|&|urban land markets|&|land markets and urban	3	17,8714062711	64,1154121591	454,828215874	9,0	68,0	 
model programming	programming model	programming model	2	7,86819688189	38,7020569567	356,255211123	4,0	23,0	 
dynamics model system	system dynamics model	system dynamics model|&|system dynamics models	3	13,8999826553	61,1394587305	343,255404916	4,0	34,0	 
logit model	logit model	logit model	2	7,86819688189	41,892336256	298,836267597	2,0	13,0	 
modeling urban year	years of urban modeling	years of urban modeling	4	5,95713542369	30,3317967934	590,566173491	2,0	5,0	 
land-use suitability	land-use suitability	land-use suitability	2	6,29455750551	33,5138690048	290,321686517	2,0	14,0	 
urban use	urban uses	urban uses|&|urban use	2	7,86819688189	36,4385177712	405,549255024	4,0	21,0	 
dynamics growth urban	urban growth dynamics	urban growth dynamics|&|dynamics of urban growth	3	5,95713542369	27,9163862348	288,853222209	3,0	25,0	 
development land urban	urban land development	urban land development|&|urban development land	3	9,92855903949	46,5273103913	240,970359262	3,0	38,0	 
agricultural land	agricultural land	agricultural land	2	7,86819688189	38,7020569567	235,499636805	3,0	21,0	 
housing market	housing markets	housing markets	2	6,29455750551	33,5138690048	322,640873965	2,0	7,0	 
space urban	urban space	urban space	2	6,29455750551	33,5138690048	227,81691899	2,0	17,0	 
decision maker	decision makers	decision makers	2	7,86819688189	34,6827803766	255,974113723	5,0	33,0	 
government local	local government	local government	2	6,29455750551	29,150814217	254,169391025	4,0	36,0	 
land-use urban	urban land-use	urban land-use|&|land-use and urban	2	11,0154756347	48,5558925272	481,061869286	5,0	21,0	 
land regulation use	land use regulations	land use regulations	3	17,8714062711	78,6078755106	236,570940172	4,0	28,0	 
planning transportation	transportation planning	transportation planning	2	6,29455750551	30,9616455654	240,70452773	3,0	20,0	 
pattern use	use patterns	use patterns|&|use pattern	2	6,29455750551	37,8769237926	266,053407684	9,0	91,0	 
rule value	rule values	rule values	2	6,29455750551	33,5138690048	274,554415112	2,0	20,0	 
land market outcome	land market outcomes	land market outcomes	3	7,94284723159	40,4423957245	354,375699601	2,0	22,0	 
land right use	land use rights	land use rights	3	9,92855903949	50,5529946556	390,824804942	2,0	14,0	 
analysis system	system analysis	system analysis|&|analysis system	2	6,29455750551	30,9616455654	347,393346443	3,0	19,0	 
planning urban	urban planning	urban planning	2	28,3255087748	95,6935155196	244,112137097	14,0	90,0	 
land value	land values	land values|&|land value	2	14,1627543874	65,5893319882	668,188472592	4,0	15,0	 
model network	network model	network model	2	6,29455750551	29,150814217	543,869431722	4,0	19,0	 
land-use planning	land-use planning	land-use planning	2	14,1627543874	62,4290046778	335,090264515	6,0	34,0	 
area sensitive	sensitive areas	sensitive areas	2	6,29455750551	33,5138690048	236,260028985	2,0	17,0	 
administration land	land administration	land administration	2	7,86819688189	41,892336256	384,648473271	2,0	10,0	 
model planning	planning models	planning models	2	6,29455750551	29,150814217	639,165939397	4,0	50,0	 
land tenure	land tenure	land tenure	2	7,86819688189	38,7020569567	277,338195353	3,0	20,0	 
model urban	urban models	urban models|&|urban model	2	7,86819688189	34,6827803766	639,562480931	5,0	16,0	 
automata cellular	cellular automata	cellular automata|&|Cellular automata	2	29,8991481512	97,0173470464	254,826246753	18,0	177,0	 
analysis policy	policy analysis	policy analysis	2	6,29455750551	33,5138690048	1312,00903063	2,0	5,0	 
