"The socio-spatial dynamics of systems of cities and innovation processes: a multi-level model";"484546251878757817";"2008";"Following a first attempt presented as the SIMPOP model (a multi-agents systems whose prototype is described in Bura et al. 1996), our aim is to develop a generic model for simulating the evolution of systems of towns and cities, using the SWARM simulation platform. The scientific issue is: to understand how cities that are interconnected through material and immaterial networks co-evolve, within an environment where social and economic innovation continuously emerge, while maintaining at a macro-geographical scale functional, hierarchic and spatial differentiation which evolve at a much slower pace. The SIMPOP2 model is designed for testing hypothesis about the general processes of urbanisation and interactions between towns and cities. The objective is to identify and order the rules and parameters that have produced a variety of configuration at the level of the systems of cities, according mainly to the changing conditions of spatial interaction: communication means, transportation speed, range of trading activities, proximity networks and long distance connectivity. Three main varieties of urban systems that have had different histories of urbanisation and conditions of circulation will be investigated: developed countries with old settlement systems, developed countries of much more recent urbanisation, and developing countries. A first generic version of the model includes the minimal rules that seem necessary for reproducing the emergence and evolution of any system of cities, whereas three different scenarios will be constructed for simulating the characteristic features of the three main variations.";"Denise Pumain,"
"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model";"5750425554346314152";"2014";"Multi-agent geographical models integrate very large numbers of spatial interactions. In order to validate those models large amount of computing is necessary for their simulation and calibration. Here a new data processing chain including an automated calibration procedure is experimented on a computational grid using evolutionary algorithms. This is applied for the first time to a geographical model designed to simulate the evolution of an early urban settlement system. The method enables us to reduce the computing time and provides robust results. Using this method, we identify several parameter settings that minimise three objective functions that quantify how closely the model results match a reference pattern. As the values of each parameter in different settings are very close, this estimation considerably reduces the initial possible domain of variation of the parameters. The model is thus a useful tool for further multiple applications on empirical historical situations.";"Sébastien Rey-Coyrehourcq,Clara Schmitt,Denise Pumain,Romain Reuillon,"
"The changing tides of port geography (1950–2012)";"3223295865656478911";"2014";"Human geographers actively studied ports in past decades. However, the extent to which port geography constituted a specific research stream within human geography remained largely unanswered. By reviewing 399 port papers published in major geography journals, the authors critically investigated the trends and changing tides of port geography research. The findings point out the emergence of the core community shifting from mainstream geography research to increasing connection with other disciplines, notably transport studies. The paper offers a progressive view on human geographers' abilities to form a research community on port development, while identifying opportunities in the pursuit of collaboration between different academic disciplines.";"K. Y. Adolf,C. Ducruet,"
" Video games and urban simulation: new tools or new tricks?";"15363435225343605206";"2012";"Video games allow complex systems modelling, revealing retroaction loops, replicating self-organization and the emergence of hierarchical organization, functional differentiation and social segregation through multi-level interactions. Recent trends focus on improving modelling tools’ graphic quality and interface attractiveness and on using video games to facilitate urban studies teaching and research. This apparent convergence between simulation and video games is addressed through a selection of strategy and city builder video games. Comparisons reveal that simulations and video games point to similar results:, they both allow the simulation of complex urban processes, like hierarchical urban networks or urban segregation. Games even seem to allow going one step further, being often more comprehensive simulations. However, the main limitation of video games emerges from their didactic power: video games and simulation software implement rules and models in almost opposite means. Games induce players to learn the model but not to challenge or to produce new knowledge.";"Hovig Ter Minassian,Samuel Rufat,"
"Geographic automata systems: a new paradigm for integrating GIS and geographic simulation";"17972997284072990107";"2003";"Geographic simulation is concerned with automata-based methodologies for simulating discrete, dynamic, and action-oriented spatial systems, combining cellular automata and multi-agent systems in a spatial context. In this paper, we propose a paradigm for integrating GIS and geosimulation into what we term Geographic Automata Systems (GAS), the latter fusing the two into full-blown, symbiotic systems.";"Itzhak Benenson,Paul M Torrens,"
"Smart Cities in developing economies: A literature review and policy insights";"2698781779630880642";"2015";"— Now-a-days all the cities of developed and developing countries feel the need to provide public services in a most effective and efficient way. It is also noted that a considerable number of rural population is converging to the cities to relish the fruits of development and this pace of migration is increasing rapidly. From global experience it is seen that pace of growth of urbanization up to 30% is not very fast but thereafter at least up to 60-65% this pace of growth increases rapidly. Statistics highlights that now the urban population in India is 31%. As a result, pace of urbanization would speed-up to combat the need of inhabitants of those cities. In this context the Government of India has decided to set up 100  Smart Cities  in India (as observed from the budget speech of Finance Minister of India in 2014) to face the situation since if this is right now not achieved, the existing cities would very soon become unlivable. However to achieve this,  Smart Technology  is essential which in particular, means improvement of Information and Communication Technology (ICT) along with other essential services. Now some basic principles are required to be adopted by the cities marked for converting them as  Smart Cities  . These are Coalescence, Practicality and Involvement. In this paper a sincere attempt has been taken to characterize the essentials of  Smart Cities  in the context of developing countries and to find out the main constraints apprehended to stand on the way to convert cities to  Smart Cities  or to denevo create  Smart Cities  . Criteria have been proposed to identify as to which cities would be construed to be fit for conversion to  Smart Cities  . In the conclusion part it has been inferred that out of other barriers literacy and fund constraint are the principal barriers and it has been suggested that Government should sincerely pique the people to come out from the veil of illiteracy and Government should essay to explore wealth resources needed for establishing  Smart Cities  .";"Sheshadri Chatterjee,Arpan Kumar Kar,"
"L'apport des images satellites dans l'analyse comparée des espaces périurbains des métropoles du sud-ouest européen";"16026355925038810589";"2007";"La problématique des espaces périurbains se trouve depuis une trentaine d’années au premier plan des réflexions sur les villes européennes. Leur caractérisation et leur comparaison focalisent les interrogations des chercheurs mais aussi des décideurs. Cette thèse est centrée sur la question de l’identification des limites du périurbain et de sa structure spatiale, non pour tenter de le définir comme une catégorie de l’urbain, mais pour comprendre les processus en jeu dans cet espace périphérique. Elle développe une analyse comparative en intégrant les espaces périurbains de sept métropoles du sud-ouest de l'Europe (Barcelone, Lisbonne, Madrid, Porto, Bordeaux, Toulouse et Montpellier) et elle se fonde sur des observations renouvelées par l’utilisation de la télédétection. Par la valorisation d’une nouvelle technique de lecture des images satellites et grâce à la précision permise par SPOT 5, la recherche précise les modalités des structurations spatiales et la nature des activités installées dans cette partie des villes, considérée jusqu’alors comme une périphérie essentiellement résidentielle. Elle met particulièrement en évidence le rôle de la distance au centre de la métropole et des grands axes routiers dans l’urbanisation de ces espaces. Elle montre également leur grande diversité.  Issues related to suburban areas have been for about thirty years at the forefront of discussions about European cities. Their characterisation and their comparison concentrate questions not only from researchers, but also from decision makers. This thesis focuses on the identification of the limits of suburban areas and of their spatial structure, not to try and define them as a category of urban areas, but to understand the processes at stake in these outlying areas. It develops a comparative analysis through the integration of the suburban areas of seven major cities of Southwest Europe (Barcelona, Lisbon, Madrid, Porto, Bordeaux, Toulouse and Montpellier) and is based on observations renewed using remote sensing. Through the promotion of a new interpretation approach of satellite images and thanks to the accuracy allowed by Spot 5, the research specifies the conditions of spatial structuring and the type of activities set up in this part of the cities, which was considered mainly as a residential periphery until then. It particularly highlights the role of the distance to the centre of the major city, as well as of the major trunk roads, in the urbanisation of these areas. It also shows their wide diversity.";"Pierre Albert,"
" A New Method to Evaluate Simulation Models: The Calibration Profile (CP) Algorithm";"15726759740229850049";"2015";"© 2015 JASSS. Models of social systems generally contain free parameters that cannot be evaluated directly from data. A calibration phase is therefore necessary to assess the capacity of the model to produce the expected dynamics. However, despite the high computational cost of this calibration it doesn't produce a global picture of the relationship between the parameter space and the behaviour space of the model. The Calibration Profile (CP) algorithm is an innovative method extending the concept of automated calibration processes. It computes a profile that depicts the effect of each single parameter on the model behaviour, independently from the others. A 2-dimensional graph is thus produced exposing the impact of the parameter under study on the capacity of the model to produce expected dynamics. The first part of this paper is devoted to the formal description of the CP algorithm. In the second part,we apply it to an agent based geographical model (SimpopLocal). The analysis of the results brings to light novel insights on the model.";"Clara Schmitt,Jean Baptiste Mouret,Romain Reuillon,Ricardo De Aldama,"
"Spatially explicit inverse modeling for urban planning";"10473726185885497239";"2012";"Urban modeling methods have traditionally followed a forward modeling approach. That is, they use data from today's situation to forecast or simulate future states of an urban system. In this paper, we propose an inverse modeling approach by which we shift our attention from solely forecasting or simulating future states of an urban system to steering it to a desired state in the future via key variables characterizing the system in the present. We first present a theoretical framework for the use of the inverse approach in urban planning. We test the power of the proposed method using a hedonic house price model in a metropolitan area in Switzerland to investigate the negative effects of densification on house prices. The model is calibrated by mixed geographically weighted regression in order to account for spatial variability of both key variables and model outputs.We show how devaluation of house prices caused by densification can be compensated by different levels of socioeconomic, locational as well as structural variables. We illustrate and discuss how trade-offs between variables may lead to more feasible results from an urban planning perspective. We conclude that the proposed method might be valuable for urban planners for developing implementable spatial plans based on future visions. In particular, the fact that other model specifications than hedonic house price model can also be employed to formulate an inverse model application, allows planners to address other type of problems or externalities from urbanization processes such as urban sprawls, environmental pollution or land uses change. © 2011 Elsevier Ltd.";"R Crespo,A Grêt-Regamey,"
" Complexity, cognition and the city";"12899164016634241157";"2013";"Predicting the binding mode of flexible polypeptides to proteins is an important task that falls outside the domain of applicability of most small molecule and protein−protein docking tools. Here, we test the small molecule flexible ligand docking program Glide on a set of 19 non-α-helical peptides and systematically improve pose prediction accuracy by enhancing Glide sampling for flexible polypeptides. In addition, scoring of the poses was improved by post-processing with physics-based implicit solvent MM- GBSA calculations. Using the best RMSD among the top 10 scoring poses as a metric, the success rate (RMSD ≤ 2.0 Å for the interface backbone atoms) increased from 21% with default Glide SP settings to 58% with the enhanced peptide sampling and scoring protocol in the case of redocking to the native protein structure. This approaches the accuracy of the recently developed Rosetta FlexPepDock method (63% success for these 19 peptides) while being over 100 times faster. Cross-docking was performed for a subset of cases where an unbound receptor structure was available, and in that case, 40% of peptides were docked successfully. We analyze the results and find that the optimized polypeptide protocol is most accurate for extended peptides of limited size and number of formal charges, defining a domain of applicability for this approach.";"A.G Fallis,"
