&$\rho[s,\bar{c}]$&$\rho[s,\bar{l}]$&$\rho[s,\bar{s}]$&$\rho[s,\delta]$\\
R2&0.05977&0.6849&0.5995&0.2071\\
(Intercept)&6.096e-02$\pm$8.136e-02 ()&-0.5291554$\pm$0.0585027 (***)&-6.684e-01$\pm$7.185e-02 (***)&-0.1327534$\pm$0.1006121 ()\\
$\alpha$&-7.487e-02$\pm$3.463e-02 (*)&0.7027361$\pm$0.0249003 (***)&7.155e-01$\pm$3.058e-02 (***)&-0.0529688$\pm$0.0428232 ()\\
$\beta$&-2.238e-01$\pm$1.171e-01 (.)&-0.1743332$\pm$0.0841774 (*)&-1.466e-01$\pm$1.034e-01 ()&1.1937758$\pm$0.1447669 (***)\\
$n_d$&-1.854e-02$\pm$1.124e-02 (.)&-0.0047797$\pm$0.0080849 ()&1.271e-02$\pm$9.929e-03 ()&0.0711684$\pm$0.0139043 (***)\\
$N_C$&2.594e-04$\pm$4.968e-04 ()&-0.0004555$\pm$0.0003573 ()&-5.483e-05$\pm$4.388e-04 ()&-0.0004681$\pm$0.0006144 ()\\
$N_G$&9.746e-01$\pm$2.319e-01 (***)&-1.5677015$\pm$0.1667878 (***)&-1.554e+00$\pm$2.048e-01 (***)&-0.7514017$\pm$0.2868391 (**)\\
$\gamma$&2.456e-03$\pm$8.598e-03 ()&0.0023678$\pm$0.0061827 ()&3.711e-03$\pm$7.593e-03 ()&0.0089657$\pm$0.0106330 ()\\
$d_0$&-1.572e-03$\pm$3.391e-03 ()&0.0047638$\pm$0.0024384 (.)&1.066e-03$\pm$2.995e-03 ()&-0.0017588$\pm$0.0041936 ()\\
$r_g$&5.791e-05$\pm$3.507e-04 ()&-0.0003370$\pm$0.0002522 ()&-4.783e-04$\pm$3.097e-04 ()&0.0000946$\pm$0.0004337 ()\\
$k_h$&3.367e-02$\pm$3.359e-02 ()&0.0492108$\pm$0.0241542 (*)&6.732e-02$\pm$2.966e-02 (*)&-0.0728540$\pm$0.0415401 (.)\\
$N_L$&-5.539e-03$\pm$2.139e-03 (**)&0.0017712$\pm$0.0015382 ()&9.329e-04$\pm$1.889e-03 ()&-0.0004517$\pm$0.0026454 ()\\
