Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 1368899979949066124 - t : Amirou R., Bachimon P. (dir.), 2000, <em>Le tourisme local - Une culture de l´exotisme</em>, Paris, L´Harmattan. - year : 2001-05-03
Corpus null : citing refs : 0.0 % ; ref Ref  - schID : 1368899979949066124 - t : Amirou R., Bachimon P. (dir.), 2000, <em>Le tourisme local - Une culture de l´exotisme</em>, Paris, L´Harmattan. - year : 2001-05-03
Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 11019484068941706860 - t : PAQUOT T., LUSSAULT M., BODY-GENDROT S. (dir.), 2000, La ville et l´urbain, l´état des savoirs, Paris , La Découverte, 442 p. - year : 2001-06-27
Corpus null : citing refs : 0.0 % ; ref Ref  - schID : 11019484068941706860 - t : PAQUOT T., LUSSAULT M., BODY-GENDROT S. (dir.), 2000, La ville et l´urbain, l´état des savoirs, Paris , La Découverte, 442 p. - year : 2001-06-27
Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 5437595076989925763 - t : L’émergence des politiques métropolitaines marseillaises : entre conflits et apprentissages - year : 2009
Corpus cited : citing refs : 0.0 % ; ref Ref  - schID : 11091879421060878497 - t : An agenda for creative governance in city regions - year : 2004
Corpus cited : citing refs : 5.555555555555555 % ; ref Ref  - schID : 15837930850592524734 - t :  La Méditerranée à l'heure de la métropolisation - year : 2009
Corpus cited : citing refs : 11.11111111111111 % ; ref Ref  - schID : 12293152025337192118 - t :  Du local à l'Europe: les nouvelles politiques d'aménagement du territoire - year : 2002
Corpus cited : citing refs : 16.666666666666668 % ; ref Ref  - schID : 1663823423943486895 - t : Métropoles ingouvernables: Les villes européennes entre globalisation et décentralisation. - year : 2002
Corpus cited : citing refs : 22.22222222222222 % ; ref Ref  - schID : 7450905939590972131 - t :  L'analyse des politiques publiques - year : 1998
Corpus cited : citing refs : 27.77777777777778 % ; ref Ref  - schID : 7384652851468743887 - t :  Métropolisation, gouvernance et citoyenneté dans la région urbaine marseillaise - year : 2001
Corpus cited : citing refs : 33.333333333333336 % ; ref Ref  - schID : 1440881697330474261 - t :  Les villes européennes. Etude comparative - year : 2003
Corpus cited : citing refs : 38.888888888888886 % ; ref Ref  - schID : 7070335303158561155 - t : Information in communicative planning - year : 1998
Corpus cited : citing refs : 44.44444444444444 % ; ref Ref  - schID : 14531005107696499363 - t :  Cities without suburbs - year : 1993
Corpus cited : citing refs : 50.0 % ; ref Ref  - schID : 15257427496960161372 - t : La planification urbaine à l'épreuve de la métropolisation: enjeux, acteurs et stratégies à Marseille et à Montréal - year : 2007
Corpus cited : citing refs : 55.55555555555556 % ; ref Ref  - schID : 14343839892051888333 - t : L'Etat et la gestion publique territoriale - year : 1996
Corpus cited : citing refs : 61.111111111111114 % ; ref Ref  - schID : 4250470718141459422 - t :  Gouverner par les instruments - year : 2005
Corpus cited : citing refs : 66.66666666666667 % ; ref Ref  - schID : 14473315852790015177 - t :  Les agglomérations françaises face aux défis métropolitains - year : 2007
Corpus cited : citing refs : 72.22222222222223 % ; ref Ref  - schID : 8101238883677072846 - t :  L'invention politique de l'agglomération - year : 2001
Corpus cited : citing refs : 77.77777777777777 % ; ref Ref  - schID : 10108390556713667532 - t :  Le leadership politique et le territoire. Les cadres d'analyse en débat - year : 2003
Corpus cited : citing refs : 83.33333333333333 % ; ref Ref  - schID : 8882384092969482929 - t :  Collaborative planning: Shaping places in fragmented societies - year : 1997
Corpus cited : citing refs : 88.88888888888889 % ; ref Ref  - schID : 17259074633333915162 - t :  La métropolisation. Croissance, diversité, fractures - year : 1999
Corpus cited : citing refs : 94.44444444444444 % ; ref Ref  - schID : 7837236789667587521 - t :  La ville et ses territoires - year : 1990
Corpus null : citing refs : 0.0 % ; ref Ref  - schID : 5437595076989925763 - t : L’émergence des politiques métropolitaines marseillaises : entre conflits et apprentissages - year : 2009
