diffusion,distance,entropy,moran,slope
0.1,0.39730940527371356,0.9996219621510521,0.24394130703138,-0.07200290100050434
0.1,0.20742074488223186,0.9996900363731426,0.15918348148892317,-0.06767134982229991
0.1,0.18226033635766364,0.9997513816143061,0.18282721045000888,-0.06016313777571245
0.1,0.3005890684690874,0.9998073614446712,0.1371465889134394,-0.05287663292663274
0.1,0.33633870584387515,0.9998021098940001,0.13993997185245496,-0.05412157601573508
0.1,0.3252852119577368,0.999573352248085,0.19053294806138724,-0.07496040152501804
0.1,0.14901532905579254,0.9995187762411483,0.23367814220530192,-0.08420185819586685
0.1,0.20352367547205005,0.9997077750206881,0.15337355218008986,-0.06458176046892748
0.1,0.28886050756274007,0.999578705316772,0.1545802568518787,-0.07010135965705519
0.1,0.33789046344179113,0.9997352973557125,0.14274807433907558,-0.05857318486601948
0.1,0.3393200503530174,0.9997433060577533,0.18178450485227993,-0.05770409422924738
0.1,0.2465067350553119,0.999753118706244,0.14358477473154765,-0.057940583998275175
0.1,0.3673029853508651,0.9996795933529886,0.1432563776640743,-0.0657784432580925
0.1,0.35482438956011125,0.999775603601846,0.13417984502416105,-0.05748936316201914
0.1,0.39751906842059703,0.9996908838887045,0.16420440303261014,-0.0644117179544241
0.1,0.23334126101467723,0.9997382033111901,0.1503170688668264,-0.060943417811845306
