alphalocalization,closed,diffusion,diffusionsteps,distance,entropy,growthrate,moran,slope
0.5,1.0,0.0,1.0,0.3725141956248492,0.8237996085611426,100.0,0.0030764700693463364,-0.9458555465232503
0.5,1.0,0.0,1.0,0.37590920876054557,0.8242301385919767,100.0,0.003352010084432972,-0.9419535706735104
0.5,1.0,0.0,1.0,0.37210623775277935,0.8248955990750692,100.0,0.003566491396008592,-0.9235802608652895
0.5,1.0,0.0,1.0,0.3702778030275724,0.8246620099183211,100.0,0.0031526151512683946,-0.9417267083379214
1.5,1.0,0.1,7.0,0.33431654847078973,0.9897557381553224,500.0,0.17104755543547787,-0.39076006798787105
1.5,1.0,0.1,7.0,0.3340867316530827,0.9838244873679037,500.0,0.21150118023236347,-0.4852569582166131
1.5,1.0,0.1,7.0,0.3437628215421304,0.986620537281386,500.0,0.17859876755562792,-0.432871678590539
1.5,1.0,0.1,7.0,0.11378570912178014,0.9817024315496449,500.0,0.19800562107712566,-0.503744757778368
1.5,1.0,0.1,7.0,0.06760895279532916,0.978756668652456,500.0,0.2302316330449041,-0.525243564317921
1.5,1.0,0.1,7.0,0.33899269275510197,0.9816194833741504,500.0,0.15219701418431833,-0.46451178532149273
1.5,1.0,0.1,7.0,0.2899829363705707,0.990091983226062,500.0,0.15859003613757378,-0.3750731135965287
1.5,1.0,0.1,7.0,0.07612394186172818,0.9787387720964118,500.0,0.2409252999912541,-0.5056383075349639
1.5,1.0,0.1,7.0,0.32643059959445614,0.9798003791366596,500.0,0.19738970804802367,-0.5139512694113394
1.5,1.0,0.1,7.0,0.19785346051549008,0.9863364008114903,500.0,0.22123186205714215,-0.44950610687106607
1.5,1.0,0.1,7.0,0.16185109875296336,0.9919196442489299,500.0,0.18509136967168766,-0.347230314711977
1.5,1.0,0.1,7.0,0.1746041686186172,0.9816573885931772,500.0,0.308120128954655,-0.5272382163500672
1.5,1.0,0.1,7.0,0.1672360472913285,0.9911914957101453,500.0,0.19664989904548105,-0.36647025862852906
1.5,1.0,0.1,7.0,0.2693419847059067,0.9815661391260823,500.0,0.23750698755279603,-0.5248817560446867
1.5,1.0,0.1,7.0,0.1526897393331461,0.9805339125512663,500.0,0.2532982946993549,-0.5382674740117309
1.5,1.0,0.1,7.0,0.41672046210671154,0.9862294626923767,500.0,0.18441044550982238,-0.4586628308591992
1.5,1.0,0.1,7.0,0.0676311967747414,0.9837430764036552,500.0,0.28136646699433876,-0.4812588691222296
1.5,1.0,0.1,7.0,0.07776023450406355,0.9777464819930515,500.0,0.25813095821528603,-0.5431813603749971
1.5,1.0,0.1,7.0,0.23017410699502033,0.9836653593100554,500.0,0.21319932529513616,-0.47276330491860935
1.5,1.0,0.1,7.0,0.2367155513111931,0.9830919697520231,500.0,0.24690148814814838,-0.5013527066252456
1.5,1.0,0.1,7.0,0.06910287472660859,0.9831371723006345,500.0,0.20882088558588247,-0.4647029480619548
1.5,1.0,0.1,7.0,0.0683602490650082,0.985865349898498,500.0,0.2360606281357354,-0.4300144696229763
1.5,1.0,0.1,7.0,0.2382742297030155,0.9916842730258387,500.0,0.17971211887066396,-0.35298931136843675
1.5,1.0,0.1,7.0,0.3669977780742614,0.9844483437505362,500.0,0.21554825746410303,-0.4953049841704369
1.5,1.0,0.1,7.0,0.09000994826960748,0.9919072577134469,500.0,0.20969384284145579,-0.3512861856053885
1.5,1.0,0.1,7.0,0.13097006450590754,0.9860229568747004,500.0,0.2184851154391109,-0.4484359969002113
1.5,1.0,0.1,7.0,0.12658336149250202,0.9876785759228631,500.0,0.23513743091730588,-0.42537653408604087
1.5,1.0,0.1,7.0,0.3631231965259427,0.9859653738781756,500.0,0.17210644275921702,-0.4535795452795491
1.5,1.0,0.1,7.0,0.2399082732786902,0.9924193430406658,500.0,0.2049602394118333,-0.33854196759718735
1.5,1.0,0.1,7.0,0.18435640737499914,0.9930186967482125,500.0,0.1926314235803127,-0.3244430423364685
1.5,1.0,0.1,7.0,0.0735419754255086,0.97893739124034,500.0,0.19332482048160352,-0.5120596505381642
1.5,1.0,0.1,7.0,0.21756327245309678,0.9824632601387386,500.0,0.18262321456435535,-0.48441556467275154
1.5,1.0,0.1,7.0,0.2696198569548605,0.9816656770496094,500.0,0.20261090111849808,-0.513112937287072
1.5,1.0,0.1,7.0,0.4410077175704669,0.9889886844946594,500.0,0.17254334384660333,-0.40637155479139536
1.5,1.0,0.1,7.0,0.21801864053547948,0.9857532282503132,500.0,0.17713369746184823,-0.43520666429610466
1.5,1.0,0.1,7.0,0.3066268571064628,0.9845930509201359,500.0,0.23103222416880717,-0.4879409584958189
1.5,1.0,0.1,7.0,0.38651790607741787,0.9856321084993888,500.0,0.23959124845190075,-0.4760326816429405
1.5,1.0,0.1,7.0,0.31929082544887094,0.9895889197382256,500.0,0.17020557504909717,-0.3989711364386522
1.5,1.0,0.1,7.0,0.08696514129191574,0.985757827901145,500.0,0.21240596585270569,-0.4512355763090458
1.5,1.0,0.1,7.0,0.16111264131844188,0.9834333604882999,500.0,0.196845753797659,-0.4850933631691764
1.5,1.0,0.1,7.0,0.11860402821357575,0.9899654103816428,500.0,0.17067916180747889,-0.3831541792717891
1.5,1.0,0.1,7.0,0.1090949009937046,0.9867106421729666,500.0,0.21844213948306632,-0.454531532089786
1.5,1.0,0.1,7.0,0.07177770999334857,0.9773886060755197,500.0,0.23298670697280638,-0.5081665511640765
1.5,1.0,0.1,7.0,0.24200505413702086,0.9860839747242836,500.0,0.18811746013827021,-0.4420224449720152
1.5,1.0,0.1,7.0,0.2939733701602989,0.9896239841153317,500.0,0.1431463898430069,-0.3533643056465814
1.5,1.0,0.1,7.0,0.0782650275761481,0.9851617279339597,500.0,0.2069797350935245,-0.4487455421842177
1.5,1.0,0.1,7.0,0.2770773406126235,0.9909050966583147,500.0,0.1836108458497715,-0.3687476992763426
1.5,1.0,0.1,7.0,0.1693117095873769,0.9896497701339402,500.0,0.22247911271351908,-0.39266699321332205
1.5,1.0,0.1,7.0,0.06857972412022129,0.981027310179222,500.0,0.21172342663375524,-0.4832987245441766
1.5,1.0,0.1,7.0,0.37789598647811584,0.9821340435698787,500.0,0.19815366430655904,-0.5164718188238205
1.5,1.0,0.1,7.0,0.18527325665173563,0.9880179022112783,500.0,0.17104205366289957,-0.41270963563791735
1.5,1.0,0.1,7.0,0.24881235057160436,0.9900428435275612,500.0,0.1686541324984081,-0.38598933189840945
1.5,1.0,0.1,7.0,0.14075971072108506,0.9805484485009299,500.0,0.20372529589608251,-0.5176824453427664
1.5,1.0,0.1,7.0,0.07174754188925736,0.9785001580322027,500.0,0.23076192794677503,-0.5629813423381821
1.5,1.0,0.1,7.0,0.23326634590982037,0.9731647437525109,500.0,0.19691260567274319,-0.5496816576994454
