stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
complex network	complex networks	complex networks|&|Complex networks	2	6,29455750551	17,0180249053	20,2162020441	2,0	33,0	 
system transportation	transportation systems	transportation systems|&|transportation system	2	4,72091812914	10,8493510994	19,7773500211	3,0	36,0	 
growth management	growth management	growth management	2	3,14727875276	10,6905398466	4,913724473	1,0	28,0	 
pattern street	street patterns	street patterns	2	3,14727875276	10,6905398466	128,681108084	1,0	3,0	 
structure urban	urban structure	urban structure	2	3,14727875276	8,50901245264	19,1824359195	2,0	29,0	 
network protoplasmic	protoplasmic networks	protoplasmic networks|&|protoplasmic network	2	3,14727875276	10,6905398466	385,290108166	1,0	2,0	 
network science	network science	network science	2	3,14727875276	8,50901245264	6,71752398936	2,0	39,0	 
city formation	city formation	city formation	2	3,14727875276	8,50901245264	99,8926174809	2,0	11,0	 
datum panel	panel data	panel data	2	3,14727875276	8,50901245264	72,6763938035	2,0	6,0	 
growth modeling	growth modeling	growth modeling	2	3,14727875276	10,6905398466	4,913724473	1,0	28,0	 
center city	center of cities	center of cities|&|centers of cities	3	3,14727875276	10,6905398466	38,5728350044	1,0	12,0	 
art state	state of the art	state of the art	4	3,14727875276	8,50901245264	46,0430877848	2,0	19,0	 
model such	such models	such models|&|models such	2	3,14727875276	8,50901245264	151,283992064	2,0	8,0	 
network transport	transport networks	transport networks|&|transport network|&|Transport networks	2	9,44183625827	18,9824551762	91,5975089207	4,0	33,0	 
growth urban	urban growth	urban growth|&|Urban growth	2	9,44183625827	21,6987021987	60,3949448396	4,0	34,0	 
fault tolerance	fault tolerance	fault tolerance	2	3,14727875276	10,6905398466	42,5073280489	1,0	1,0	 
growth network	network growth	network growth	2	6,29455750551	12,6549701175	10,5831056509	5,0	45,0	 
model simple	simple model	simple model	2	4,72091812914	12,763518679	146,647773562	2,0	8,0	 
