stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
national system	national system	national system	2	3,14727875276	14,0804929375	505,52407153	2,0	5,0	 
employment housing	employment and housing	employment and housing	3	3,14727875276	16,2620203314	165,789374671	1,0	11,0	 
environment urban	urban environment	urban environment	2	3,14727875276	14,0804929375	218,637938821	2,0	11,0	 
landscape urban	urban landscapes	urban landscapes|&|urban landscape|&|landscape and urban	2	11,0154756347	37,1799883833	324,635465879	6,0	15,0	 
investor property residential single-family	Investors in single-family residential properties	Investors in single-family residential properties	5	3,9714236158	19,5966857103	834,677372456	1,0	3,0	 
metropolitan region	metropolitan regions	metropolitan regions	2	3,14727875276	14,0804929375	372,451321545	2,0	9,0	 
Analyst accessibility	Accessibility Analyst	Accessibility Analyst	2	3,14727875276	16,2620203314	112,30618014	1,0	8,0	 
gravity model principal	gravity model and principal	gravity model and principal	4	3,9714236158	16,8439046282	118,399562113	2,0	28,0	 
sprawl urban	urban sprawl	urban sprawl	2	6,29455750551	25,6087624354	83,1369220436	3,0	18,0	 
concentric zone	concentric zone	concentric zone	2	3,14727875276	14,0804929375	176,084628817	2,0	21,0	 
change innovation	change and innovation	change and innovation|&|innovation and change	3	3,14727875276	14,0804929375	108,854589382	2,0	4,0	 
1990s geography urban	urban geography in the 1990s	urban geography in the 1990s|&|urban geography during the 1990s|&|urban geography beyond the 1990s	5	5,95713542369	25,2658569423	325,130627222	2,0	7,0	 
environmental impact	environmental impacts	environmental impacts	2	4,72091812914	19,2065718266	118,365005709	3,0	19,0	 
50th anniversary publication	50th anniversary of the publication	50th anniversary of the publication	5	3,9714236158	16,8439046282	176,084628817	2,0	21,0	 
American city	American cities	American cities|&|American city	2	4,72091812914	19,2065718266	296,847577935	3,0	7,0	 
public space	public space	public space	2	4,72091812914	19,2065718266	161,565601142	3,0	18,0	 
method methodology	method and methodology	method and methodology	3	6,29455750551	28,1609858749	148,808300111	2,0	8,0	 
development transportation urban	urban transportation development	urban transportation development|&|development of urban transportation	3	3,9714236158	16,8439046282	183,125366411	2,0	10,0	 
freight planning transportation urban	urban freight transportation planning	urban freight transportation planning	4	3,9714236158	19,5966857103	182,355267143	1,0	5,0	 
issue special	special issue	special issue	2	4,72091812914	19,2065718266	172,028413802	3,0	11,0	 
benefit decentralization metropolitan	benefits of a metropolitan decentralization	benefits of a metropolitan decentralization	5	3,9714236158	19,5966857103	165,789374671	1,0	11,0	 
city development geography	Developments in the geography of cities	Developments in the geography of cities	6	3,9714236158	16,8439046282	176,084628817	2,0	21,0	 
freight movement	freight movement	freight movement	2	4,72091812914	21,1207394062	382,295737835	2,0	8,0	 
energy use	energy use	energy use	2	4,72091812914	21,1207394062	645,393390287	2,0	5,0	 
form new	new forms	new forms	2	4,72091812914	21,1207394062	174,991642518	2,0	15,0	 
energy passenger transportation	passenger transportation energy	passenger transportation energy	3	3,9714236158	19,5966857103	42,7155923763	1,0	3,0	 
decision make	decision making	decision making	2	6,29455750551	28,1609858749	252,647556064	2,0	7,0	 
demand travel	travel demand	travel demand	2	4,72091812914	19,2065718266	192,251937366	3,0	16,0	 
admission prison record	prison admission records	prison admission records	3	3,9714236158	16,8439046282	118,399562113	2,0	28,0	 
area metropolitan	metropolitan area	metropolitan area|&|metropolitan areas	2	9,44183625827	31,8685614714	364,242876317	6,0	12,0	 
planning transport	transport planning	transport planning	2	6,29455750551	25,6087624354	165,39313308	3,0	10,0	 
agency collective mobilization regional	mobilization of collective regional agency	mobilization of collective regional agency	5	3,9714236158	19,5966857103	368,406266128	1,0	6,0	 
new policy regional transportation	new regional transportation policies	new regional transportation policies	4	3,9714236158	19,5966857103	165,789374671	1,0	11,0	 
planning process urban	urban planning processes	urban planning processes|&|urban planning process	3	11,9142708474	50,5317138846	166,474826251	2,0	10,0	 
city internal model multiple nucleus pattern	multiple nuclei models of internal patterns of cities	multiple nuclei models of internal patterns of cities	8	3,9714236158	16,8439046282	176,084628817	2,0	21,0	 
affluent more suburbanite	more affluent suburbanites	more affluent suburbanites	3	3,9714236158	19,5966857103	165,789374671	1,0	11,0	 
process urban	urban processes	urban processes	2	4,72091812914	19,2065718266	263,686601604	3,0	5,0	 
freight planning transportation	freight transportation planning	freight transportation planning	3	3,9714236158	16,8439046282	234,25627981	2,0	8,0	 
neighborhood urban	urban neighborhoods	urban neighborhoods	2	4,72091812914	21,1207394062	157,52068878	2,0	13,0	 
planning process	planning process	planning process|&|planning processes	2	14,1627543874	47,8028422071	192,26182457	9,0	41,0	 
essential reading student	essential reading for students	essential reading for students	4	3,9714236158	16,8439046282	129,67192236	2,0	8,0	 
development urban	urban development	urban development	2	6,29455750551	23,7979310871	183,382038797	4,0	21,0	 
field geography urban	field of urban geography	field of urban geography|&|urban geography as a field	4	3,9714236158	16,8439046282	85,3006742929	2,0	14,0	 
form urban	urban form	urban form	2	4,72091812914	19,2065718266	229,836822794	3,0	11,0	 
life urban	urban life	urban life	2	7,86819688189	29,7474138589	169,87756413	4,0	12,0	 
social theory	social theory	social theory	2	4,72091812914	19,2065718266	219,832114948	3,0	11,0	 
health public	public health	public health	2	4,72091812914	21,1207394062	341,092582636	2,0	12,0	 
sustainability urban	urban sustainability	urban sustainability	2	4,72091812914	19,2065718266	433,548901864	3,0	6,0	 
Urban geography social	Urban geography and social	Urban geography and social|&|Urban social geography	4	3,9714236158	16,8439046282	124,25207967	2,0	11,0	 
geography student urban	students of urban geography	students of urban geography|&|urban geography for all geography students	4	5,95713542369	22,8504463837	129,723383529	3,0	25,0	 
