stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
availability growth-employment-land job	job growth-employment-land availability	job growth-employment-land availability	3	3,9714236158	15,1463433733	28,6354122651	2,0	74,0	 
demand model travel	travel demand models	travel demand models|&|travel demand model	3	3,9714236158	15,1463433733	213,417574202	2,0	18,0	 
analysis sensitivity	sensitivity analysis	sensitivity analysis	2	4,72091812914	19,1028112074	294,854657511	2,0	13,0	 
complex land urban use	complex urban land use	complex urban land use	4	3,9714236158	15,1463433733	28,6354122651	2,0	74,0	 
hierarchy network road	hierarchy of the road network	hierarchy of the road network	5	3,9714236158	15,1463433733	162,215263324	2,0	40,0	 
birth input parameter rate such	input parameters such as birth rate	input parameters such as birth rate	6	3,9714236158	15,1463433733	28,6354122651	2,0	74,0	 
affordability housing	housing affordability	housing affordability	2	4,72091812914	17,1886436278	253,731110297	3,0	39,0	 
feedback large loop number structure	feedback loop structure between a large number	feedback loop structure between a large number	7	3,9714236158	15,1463433733	28,6354122651	2,0	74,0	 
land manager resource	land resource managers	land resource managers|&|land and resource managers	3	3,9714236158	15,1463433733	546,765796597	2,0	6,0	 
city fastest-growing	fastest-growing city	fastest-growing city	2	3,14727875276	12,7352074716	162,215263324	2,0	40,0	 
land use-transportation	land use-transportation	land use-transportation	2	11,0154756347	32,4714892528	277,089406226	8,0	34,0	 
environmental impact	environmental impacts	environmental impacts	2	4,72091812914	19,1028112074	259,677317598	2,0	16,0	 
interaction land system transportation use	land use and transportation system interactions	land use and transportation system interactions	6	3,9714236158	15,1463433733	28,6354122651	2,0	74,0	 
policy public transport	public transport policy	public transport policy	3	3,9714236158	15,1463433733	162,215263324	2,0	40,0	 
dynamics system	system dynamics	system dynamics	2	4,72091812914	19,1028112074	28,6354122651	2,0	74,0	 
causal-loop diagram major	causal-loop diagrams and major	causal-loop diagrams and major	4	3,9714236158	15,1463433733	28,6354122651	2,0	74,0	 
