"x";"y";"moran";"distance";"entropy";"slope";"rsquaredslope";"pop";"max"
"1";1;1;NA;NA;NA;NA;NA;NA;NA
"2";101;1;NA;NA;NA;NA;NA;NA;NA
"3";201;1;NA;NA;NA;NA;NA;NA;NA
"4";301;1;NA;NA;NA;NA;NA;NA;NA
"5";401;1;NA;NA;NA;NA;NA;NA;NA
"6";501;1;NA;NA;NA;NA;NA;NA;NA
"7";601;1;NA;NA;NA;NA;NA;NA;NA
"8";701;1;NA;NA;NA;NA;NA;NA;NA
"9";801;1;NA;NA;NA;NA;NA;NA;NA
"10";901;1;NA;NA;NA;NA;NA;NA;NA
"11";1001;1;NA;NA;NA;NA;NA;NA;NA
"12";1101;1;NA;NA;NA;NA;NA;NA;NA
"13";1201;1;NA;NA;NA;NA;NA;NA;NA
"14";1301;1;NA;NA;NA;NA;NA;NA;NA
"15";1401;1;NA;NA;NA;NA;NA;NA;NA
"16";1501;1;NA;NA;NA;NA;NA;NA;NA
"17";1601;1;NA;NA;NA;NA;NA;NA;NA
"18";1701;1;NA;NA;NA;NA;NA;NA;NA
"19";1801;1;NA;NA;NA;NA;NA;NA;NA
"20";1901;1;NA;NA;NA;NA;NA;NA;NA
"21";2001;1;NA;NA;NA;NA;NA;NA;NA
"22";2101;1;NA;NA;NA;NA;NA;NA;NA
"23";2201;1;NA;NA;NA;NA;NA;NA;NA
"24";2301;1;NA;NA;NA;NA;NA;NA;NA
"25";2401;1;NA;NA;NA;NA;NA;NA;NA
"26";2501;1;NA;NA;NA;NA;NA;NA;NA
"27";2601;1;NA;NA;NA;NA;NA;NA;NA
"28";2701;1;NA;NA;NA;NA;NA;NA;NA
"29";2801;1;NA;NA;NA;NA;NA;NA;NA
"30";2901;1;NA;NA;NA;NA;NA;NA;NA
"31";3001;1;NA;NA;NA;NA;NA;NA;NA
"32";3101;1;NA;NA;NA;NA;NA;NA;NA
"33";3201;1;NA;NA;NA;NA;NA;NA;NA
"34";3301;1;NA;NA;NA;NA;NA;NA;NA
"35";3401;1;NA;NA;NA;NA;NA;NA;NA
"36";3501;1;NA;NA;NA;NA;NA;NA;NA
